PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TylerHerro,18,6,6,9,2,6,0,0,3,38,80.0,100.0,0,6,4,0,0,1,-9,16,MiamiHeat
BamAdebayo,15,15,4,12,0,1,7,11,6,40,55.6,75.0,3,12,0,1,6,3,3,30,MiamiHeat
CalebMartin,15,4,1,3,3,5,4,4,1,29,71.4,100.0,2,2,2,2,1,2,-8,17,MiamiHeat
JimmyButler,15,4,3,8,1,2,6,8,3,35,23.8,80.0,3,1,4,2,0,1,-4,12,MiamiHeat
JoshRichardson,9,3,3,3,1,4,0,0,2,18,71.4,0,0,3,1,0,1,2,6,11,MiamiHeat
TerryRozier,9,4,2,6,1,5,2,2,5,29,36.4,0,2,2,3,2,0,2,-13,9,MiamiHeat
HaywoodHighsmith,8,4,1,2,2,4,0,0,1,24,100.0,50.0,1,3,1,2,1,1,-9,12,MiamiHeat
DuncanRobinson,7,3,2,4,1,5,0,0,0,16,40.0,0,0,3,2,0,0,4,3,2,MiamiHeat
ThomasBryant,0,0,0,0,0,0,0,0,0,7,0.0,0,0,0,0,0,0,1,-7,0,MiamiHeat
KevinLove,0,1,0,1,0,2,0,0,0,5,45.0,0,0,1,0,0,0,0,-7,-2,MiamiHeat
MiamiHeat,96,44,22,48,11,34,19,25,21,240,40.2,0,11,33,17,9,9,17,-45,107,MiamiHeat
VinceWilliamsJr.,25,5,3,4,5,6,4,4,4,33,80.0,100.0,0,5,1,1,0,3,10,32,MemphisGrizzlies
GregoryJackson,17,4,1,3,4,6,3,4,2,26,55.6,75.0,0,4,1,0,0,3,20,17,MemphisGrizzlies
ScottyPippenJr.,15,6,4,6,1,1,4,4,6,24,71.4,100.0,0,6,2,0,0,1,12,23,MemphisGrizzlies
JarenJacksonJr.,15,6,4,14,1,7,4,5,3,35,23.8,80.0,0,6,5,1,1,1,11,4,MemphisGrizzlies
JohnKonchar,11,10,4,4,1,3,0,0,2,31,71.4,0,3,7,2,1,1,4,-6,21,MemphisGrizzlies
DavidRoddy,10,3,2,7,2,4,0,0,4,32,36.4,0,2,1,3,2,1,2,-9,10,MemphisGrizzlies
XavierTillman,6,4,1,1,1,1,1,2,1,18,100.0,50.0,1,3,1,1,3,3,4,13,MemphisGrizzlies
JacobGilyard,6,0,0,1,2,4,0,0,7,24,40.0,0,0,0,2,1,0,1,-3,9,MemphisGrizzlies
ZiaireWilliams,0,6,0,4,0,4,0,0,1,17,0.0,0,1,5,1,1,0,1,6,-1,MemphisGrizzlies
MemphisGrizzlies,105,44,19,44,17,36,16,19,30,240,45.0,0,7,37,18,8,6,19,45,128,MemphisGrizzlies
