PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
GiannisAntetokounmpo,26,11,9,13,0,1,8,10,3,29,35.7,77.8,5,6,3,1,2,2,-11,33,MilwaukeeBucks
MalikBeasley,18,4,2,2,4,10,2,4,1,32,60.0,100.0,1,3,2,2,0,3,-26,15,MilwaukeeBucks
BrookLopez,13,3,3,6,2,5,1,1,1,20,60.0,100.0,1,2,0,1,0,0,-22,12,MilwaukeeBucks
BobbyPortis,12,4,5,8,0,2,2,2,2,21,50.0,100.0,1,3,3,0,0,2,-5,10,MilwaukeeBucks
MarJonBeauchamp,8,1,1,3,2,2,0,0,0,16,63.6,0,1,0,1,0,0,3,-2,6,MilwaukeeBucks
A.J.Green,7,1,0,0,2,2,1,1,0,6,60.0,0,0,1,0,0,0,0,10,8,MilwaukeeBucks
CameronPayne,6,1,0,0,2,3,0,0,1,14,44.4,80.0,0,1,1,0,0,4,3,6,MilwaukeeBucks
DamianLillard,6,4,0,4,2,8,0,0,5,29,50.0,100.0,1,3,6,2,0,2,-29,1,MilwaukeeBucks
PatConnaughton,5,3,1,3,1,6,0,0,2,23,66.7,0,1,2,1,2,0,1,-15,4,MilwaukeeBucks
TyTyWashington,3,0,0,1,1,1,0,0,0,3,0.0,50.0,0,0,1,0,0,0,10,1,MilwaukeeBucks
JaeCrowder,2,3,1,1,0,3,0,0,3,26,0,0,0,3,0,0,1,1,-27,6,MilwaukeeBucks
ThanasisAntetokounmpo,2,0,1,1,0,0,0,0,2,8,0.0,0,0,0,3,1,0,2,14,2,MilwaukeeBucks
RobinLopez,2,0,0,0,0,0,2,2,1,6,0.0,0,0,0,1,0,0,0,10,2,MilwaukeeBucks
AndreJacksonJr.,0,4,0,0,0,1,0,0,1,7,50.5,0,1,3,1,1,0,2,5,4,MilwaukeeBucks
MilwaukeeBucks,110,47,23,42,16,44,16,20,22,240,45.3,0,17,30,23,10,3,22,-85,110,MilwaukeeBucks
TraeYoung,20,3,2,6,3,8,7,9,11,32,35.7,77.8,0,3,3,1,0,1,13,21,AtlantaHawks
BogdanBogdanovic,17,1,2,3,4,7,1,1,6,26,60.0,100.0,0,1,2,2,0,1,12,20,AtlantaHawks
De&#039;AndreHunter,15,3,4,6,2,4,1,1,1,24,60.0,100.0,1,2,2,4,0,3,17,17,AtlantaHawks
DejounteMurray,15,1,5,7,1,5,2,2,5,30,50.0,100.0,0,1,3,2,1,0,26,15,AtlantaHawks
OnyekaOkongwu,14,7,7,9,0,2,0,0,2,23,63.6,0,4,3,1,1,0,4,5,19,AtlantaHawks
JalenT.Johnson,14,7,4,7,2,3,0,0,1,26,60.0,0,1,6,2,2,1,4,14,19,AtlantaHawks
SaddiqBey,13,9,3,6,1,3,4,5,3,31,44.4,80.0,3,6,1,0,0,0,23,18,AtlantaHawks
ClintCapela,12,12,5,10,0,0,2,2,1,23,50.0,100.0,2,10,0,1,0,1,15,21,AtlantaHawks
AJGriffin,6,1,0,1,2,2,0,0,1,10,66.7,0,1,0,1,1,0,0,-7,7,AtlantaHawks
KobeBufkin,1,2,0,1,0,1,1,2,0,3,0.0,50.0,1,1,0,0,0,0,-10,0,AtlantaHawks
TrentForrest,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,-7,1,AtlantaHawks
MouhamedGueye,0,0,0,0,0,1,0,0,0,3,0.0,0,0,0,0,1,0,1,-9,0,AtlantaHawks
BrunoFernando,0,0,0,0,0,1,0,0,0,5,0.0,0,0,0,2,0,0,1,-7,-3,AtlantaHawks
AtlantaHawks,127,48,32,56,15,37,18,22,32,240,50.5,0,15,33,19,15,2,17,85,155,AtlantaHawks
