PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
BobbyPortis,28,12,6,12,5,6,1,2,0,22,46.2,100.0,1,11,0,1,0,1,15,33,MilwaukeeBucks
GiannisAntetokounmpo,24,12,10,13,0,0,4,5,6,26,50.0,100.0,5,7,4,1,1,2,38,36,MilwaukeeBucks
DamianLillard,21,4,3,4,3,8,6,6,4,27,50.0,83.3,0,4,0,0,0,1,25,23,MilwaukeeBucks
MalikBeasley,16,4,2,3,4,8,0,0,0,27,35.7,0,1,3,0,0,0,0,18,15,MilwaukeeBucks
BrookLopez,15,5,4,4,2,4,1,2,3,28,60.0,50.0,1,4,1,0,2,3,20,21,MilwaukeeBucks
A.J.Green,9,2,1,1,2,5,1,1,2,9,33.3,75.0,0,2,0,0,1,1,1,11,MilwaukeeBucks
CameronPayne,7,4,2,2,1,2,0,0,3,15,33.3,0,0,4,0,0,0,0,-4,13,MilwaukeeBucks
ThanasisAntetokounmpo,6,1,3,5,0,0,0,0,1,9,22.2,100.0,1,0,2,0,1,4,-2,5,MilwaukeeBucks
KhrisMiddleton,5,2,1,4,1,5,0,0,7,20,16.7,75.0,0,2,0,1,0,2,25,8,MilwaukeeBucks
PatConnaughton,2,1,1,1,0,0,0,0,3,21,20.0,50.0,1,0,0,0,0,3,20,6,MilwaukeeBucks
ChrisLivingston,2,2,1,1,0,0,0,0,1,9,50.0,0,0,2,1,0,0,0,-2,4,MilwaukeeBucks
AndreJacksonJr.,0,4,0,0,0,2,0,0,4,16,25.0,0,2,2,0,0,0,5,19,6,MilwaukeeBucks
MarJonBeauchamp,0,1,0,0,0,2,0,0,0,12,0,0,0,1,1,0,1,0,-8,-1,MilwaukeeBucks
MilwaukeeBucks,135,59,34,50,18,42,13,16,34,240,37.4,0,12,47,9,3,6,22,165,180,MilwaukeeBucks
PaytonPritchard,21,4,4,4,2,9,7,7,4,31,46.2,100.0,0,4,1,0,1,1,-13,22,BostonCeltics
SamHauser,15,4,0,0,4,8,3,3,0,24,50.0,100.0,1,3,1,1,0,1,-16,15,BostonCeltics
OshaeBrissett,13,2,4,5,0,3,5,6,1,17,50.0,83.3,0,2,0,0,0,0,-1,11,BostonCeltics
JaylenBrown,10,4,5,13,0,1,0,0,3,18,35.7,0,1,3,0,0,0,1,-17,8,BostonCeltics
SviatoslavMykhailiuk,9,1,1,2,2,3,1,2,1,17,60.0,50.0,0,1,0,1,0,0,-5,9,BostonCeltics
JaysonTatum,7,1,2,5,0,1,3,4,3,16,33.3,75.0,0,1,1,0,0,2,-31,5,BostonCeltics
KristapsPorzingis,6,2,3,6,0,3,0,0,4,21,33.3,0,1,1,1,1,1,2,-27,7,BostonCeltics
JrueHoliday,6,4,2,5,0,4,2,2,2,19,22.2,100.0,1,3,1,0,0,1,-31,4,BostonCeltics
LamarStevens,5,4,1,6,0,0,3,4,0,19,16.7,75.0,1,3,0,0,1,2,3,4,BostonCeltics
DalanoBanton,4,1,0,3,1,2,1,2,3,18,20.0,50.0,0,1,0,2,1,1,7,6,BostonCeltics
NeemiasQueta,4,3,2,4,0,0,0,0,0,13,50.0,0,1,2,1,0,1,1,-4,5,BostonCeltics
DerrickWhite,2,1,1,3,0,1,0,0,0,18,25.0,0,0,1,0,0,0,0,-14,0,BostonCeltics
LukeKornet,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,1,-16,1,BostonCeltics
BostonCeltics,102,37,25,56,9,35,25,30,22,240,37.4,0,8,29,7,5,5,13,-165,97,BostonCeltics
