PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
GiannisAntetokounmpo,32,12,9,13,0,0,14,18,6,41,46.7,83.3,1,11,2,2,0,2,13,42,MilwaukeeBucks
MalikBeasley,19,4,2,3,5,8,0,0,2,40,60.0,75.0,0,4,0,1,0,2,6,22,MilwaukeeBucks
BrookLopez,19,3,4,5,2,6,5,6,3,40,42.9,100.0,2,1,1,1,3,4,-1,22,MilwaukeeBucks
BobbyPortis,17,7,6,8,1,3,2,2,0,25,37.5,0,2,5,1,0,0,3,-4,19,MilwaukeeBucks
DamianLillard,14,4,1,8,2,9,6,7,9,41,25.0,100.0,0,4,2,0,1,2,0,11,MilwaukeeBucks
KhrisMiddleton,13,13,5,8,0,3,3,4,6,33,60.0,0,1,12,4,1,0,4,0,22,MilwaukeeBucks
A.J.Green,12,5,0,1,4,5,0,0,3,14,22.2,50.0,0,5,0,0,0,1,0,18,MilwaukeeBucks
CameronPayne,5,0,1,2,1,2,0,0,5,18,50.0,0,0,0,1,0,0,2,0,7,MilwaukeeBucks
MarJonBeauchamp,2,0,1,1,0,1,0,0,0,14,0,0,0,0,0,0,0,1,6,1,MilwaukeeBucks
MilwaukeeBucks,133,53,29,49,15,37,30,37,34,265,0.0,0,10,43,11,5,4,24,20,164,MilwaukeeBucks
DeMarDerozan,41,2,11,24,3,6,10,12,11,42,46.7,83.3,0,2,2,0,0,5,6,34,ChicagoBulls
CobyWhite,33,6,6,10,6,10,3,4,4,45,60.0,75.0,0,6,2,1,0,3,1,33,ChicagoBulls
PatrickWilliams,15,7,5,12,1,2,2,2,2,41,42.9,100.0,4,3,1,0,0,4,-3,15,ChicagoBulls
NikolaVucevic,14,10,4,11,2,5,0,0,5,39,37.5,0,1,9,1,1,1,5,-2,20,ChicagoBulls
AndreDrummond,9,16,3,12,0,0,3,3,1,14,25.0,100.0,11,5,0,1,0,1,-2,18,ChicagoBulls
JevonCarter,7,5,2,3,1,2,0,0,0,13,60.0,0,1,4,0,0,1,0,-1,11,ChicagoBulls
TorreyCraig,7,5,1,4,1,5,2,4,1,29,22.2,50.0,1,4,0,0,1,6,-11,5,ChicagoBulls
DalenTerry,3,0,0,0,1,2,0,0,1,11,50.0,0,0,0,0,0,1,2,-6,4,ChicagoBulls
JulianPhillips,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-4,0,ChicagoBulls
AyoDosunmu,0,0,0,4,0,2,0,0,0,26,0.0,0,0,0,0,0,0,1,2,-6,ChicagoBulls
ChicagoBulls,129,59,32,80,15,34,20,25,25,265,41.2,0,18,41,6,3,4,27,-20,134,ChicagoBulls
