PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
GiannisAntetokounmpo,30,12,10,15,1,1,7,11,4,29,50.0,75.0,1,11,1,2,0,3,23,38,MilwaukeeBucks
DamianLillard,26,6,4,7,3,7,9,10,9,29,57.1,100.0,0,6,0,2,0,1,23,35,MilwaukeeBucks
BrookLopez,24,3,2,2,6,9,2,2,0,35,75.0,0,0,3,2,1,0,2,29,23,MilwaukeeBucks
BobbyPortis,20,7,7,10,2,5,0,0,2,22,50.0,100.0,1,6,1,1,0,6,2,23,MilwaukeeBucks
CameronPayne,11,2,1,3,3,4,0,0,5,18,44.4,0,0,2,0,2,0,0,4,17,MilwaukeeBucks
MalikBeasley,8,4,2,3,1,7,1,2,2,28,66.7,80.0,1,3,2,2,0,2,26,6,MilwaukeeBucks
MarJonBeauchamp,6,0,3,3,0,0,0,0,0,6,20.0,100.0,0,0,0,0,0,0,-4,6,MilwaukeeBucks
PatConnaughton,5,3,1,1,1,3,0,0,4,20,50.0,33.3,2,1,1,1,0,1,10,10,MilwaukeeBucks
JaeCrowder,5,4,1,1,1,4,0,0,1,22,28.6,100.0,1,3,0,0,0,3,18,7,MilwaukeeBucks
AndreJacksonJr.,3,2,0,0,1,1,0,0,2,17,50.0,100.0,0,2,0,1,0,3,8,8,MilwaukeeBucks
A.J.Green,3,1,0,0,1,3,0,0,0,4,0.0,50.0,0,1,1,0,0,1,-8,1,MilwaukeeBucks
ChrisLivingston,0,1,0,1,0,0,0,0,0,2,0.0,0,0,1,0,0,0,2,-3,0,MilwaukeeBucks
RobinLopez,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,1,-3,0,MilwaukeeBucks
ThanasisAntetokounmpo,0,0,0,0,0,0,0,0,0,3,47.1,0,0,0,1,0,0,0,-5,-1,MilwaukeeBucks
MilwaukeeBucks,141,45,31,46,20,45,19,25,30,240,56.0,0,6,39,10,12,0,25,120,173,MilwaukeeBucks
BrandonIngram,26,6,7,16,2,2,6,8,1,28,50.0,75.0,0,6,1,0,0,0,-22,21,NewOrleansPelicans
ZionWilliamson,23,2,8,14,0,0,7,7,2,29,57.1,100.0,1,1,5,1,0,0,-20,17,NewOrleansPelicans
JonasValanciunas,13,10,5,5,1,3,0,0,6,24,75.0,0,1,9,0,0,0,3,-8,27,NewOrleansPelicans
LarryNance,10,5,1,3,2,3,2,2,0,18,50.0,100.0,2,3,0,0,0,2,-21,12,NewOrleansPelicans
HerbertJones,9,0,3,5,1,4,0,0,0,20,44.4,0,0,0,0,0,1,3,-14,5,NewOrleansPelicans
JeremiahRobinson-Earl,8,3,2,2,0,1,4,5,0,7,66.7,80.0,3,0,0,0,0,0,5,9,NewOrleansPelicans
JordanHawkins,8,7,0,4,2,6,2,2,1,29,20.0,100.0,1,6,3,0,0,0,-11,5,NewOrleansPelicans
NajiMarshall,8,1,3,6,0,0,2,6,1,15,50.0,33.3,1,0,1,1,0,2,-7,3,NewOrleansPelicans
C.J.McCollum,7,1,1,3,1,4,2,2,4,23,28.6,100.0,0,1,2,0,1,2,-30,6,NewOrleansPelicans
JoseAlvarado,4,1,1,2,0,0,2,2,2,21,50.0,100.0,0,1,0,2,0,4,0,8,NewOrleansPelicans
CodyZeller,1,3,0,1,0,0,1,2,0,7,0.0,50.0,0,3,0,0,0,0,5,2,NewOrleansPelicans
DysonDaniels,0,2,0,1,0,0,0,0,3,18,0.0,0,0,2,2,1,1,1,-2,4,NewOrleansPelicans
E.J.Liddell,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,5,2,NewOrleansPelicans
NewOrleansPelicans,117,43,31,62,9,23,28,36,20,240,47.1,0,9,34,15,5,3,17,-120,121,NewOrleansPelicans
