PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
GiannisAntetokounmpo,35,8,14,21,1,1,4,9,10,34,73.7,91.7,3,5,4,3,0,3,19,40,MilwaukeeBucks
DamianLillard,28,3,3,6,5,7,7,8,7,34,45.5,57.1,1,2,3,1,1,4,17,31,MilwaukeeBucks
MalikBeasley,18,3,0,1,6,10,0,0,0,33,38.9,100.0,0,3,0,0,0,4,16,16,MilwaukeeBucks
KhrisMiddleton,14,4,4,9,2,3,0,0,7,26,62.5,0,2,2,2,1,0,1,11,18,MilwaukeeBucks
BobbyPortis,13,4,4,6,1,3,2,2,1,24,40.0,100.0,2,2,1,0,2,4,-7,15,MilwaukeeBucks
CameronPayne,12,2,3,3,2,3,0,0,2,14,14.3,100.0,0,2,1,1,0,2,7,15,MilwaukeeBucks
BrookLopez,9,8,3,4,1,4,0,0,3,34,66.7,0,2,6,0,3,3,4,28,22,MilwaukeeBucks
A.J.Green,9,0,0,0,3,4,0,0,1,15,100.0,0,0,0,0,0,0,0,8,9,MilwaukeeBucks
MarJonBeauchamp,6,2,0,1,2,2,0,0,1,19,50.0,0,0,2,0,1,0,1,9,9,MilwaukeeBucks
ThanasisAntetokounmpo,2,1,1,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,4,4,MilwaukeeBucks
ChrisLivingston,0,2,0,1,0,0,0,0,0,2,0.0,0,1,1,1,1,0,0,4,1,MilwaukeeBucks
AndreJacksonJr.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MilwaukeeBucks
RobinLopez,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,-1,MilwaukeeBucks
MilwaukeeBucks,146,38,32,53,23,38,13,19,32,240,0.0,0,12,26,13,12,6,23,120,179,MilwaukeeBucks
JuliusRandle,41,6,12,17,2,2,11,12,5,37,73.7,91.7,3,3,4,0,0,3,-21,42,NewYorkKnicks
JalenBrunson,24,3,10,17,0,5,4,7,6,34,45.5,57.1,0,3,3,1,0,1,-14,16,NewYorkKnicks
R.J.Barrett,23,8,6,14,1,4,8,8,1,31,38.9,100.0,3,5,2,0,0,0,-6,19,NewYorkKnicks
JoshHart,11,4,4,7,1,1,0,0,1,26,62.5,0,1,3,0,3,0,3,-14,16,NewYorkKnicks
DonteDiVincenzo,7,1,1,1,1,4,2,2,2,17,40.0,100.0,0,1,0,0,0,2,-12,7,NewYorkKnicks
ImmanuelQuickley,7,1,0,3,1,4,4,4,3,19,14.3,100.0,0,1,1,0,0,0,-10,4,NewYorkKnicks
IsaiahHartenstein,4,7,2,3,0,0,0,0,5,18,66.7,0,4,3,1,0,2,2,-12,16,NewYorkKnicks
MilesMcBride,3,0,0,0,1,1,0,0,0,2,100.0,0,0,0,0,0,0,0,-4,3,NewYorkKnicks
MitchellRobinson,2,4,1,2,0,0,0,0,3,27,50.0,0,1,3,2,2,1,2,-10,9,NewYorkKnicks
RyanArcidiacono,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,-4,3,NewYorkKnicks
QuentinGrimes,0,1,0,0,0,1,0,0,0,18,0.0,0,0,1,0,1,0,4,-3,1,NewYorkKnicks
JacobToppin,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,-4,1,NewYorkKnicks
JerichoSims,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,-2,-1,NewYorkKnicks
CharlesBrown,0,0,0,0,0,1,0,0,0,2,0.0,0,0,0,2,0,0,0,-4,-3,NewYorkKnicks
NewYorkKnicks,122,37,36,64,7,23,29,33,27,240,49.4,0,12,25,16,8,4,17,-120,133,NewYorkKnicks
