PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
GiannisAntetokounmpo,37,10,11,22,0,3,15,19,6,37,56.5,50.0,2,8,5,0,2,4,9,32,MilwaukeeBucks
DamianLillard,24,5,1,9,4,8,10,10,8,35,35.3,80.0,0,5,3,0,0,1,9,22,MilwaukeeBucks
BrookLopez,14,7,3,3,2,4,2,2,0,37,66.7,0,0,7,2,2,2,5,17,21,MilwaukeeBucks
KhrisMiddleton,14,4,3,4,2,7,2,2,3,29,41.2,100.0,0,4,1,0,1,2,11,15,MilwaukeeBucks
PatConnaughton,8,8,3,3,0,3,2,2,2,21,45.5,66.7,2,6,0,0,0,4,-6,15,MilwaukeeBucks
MalikBeasley,8,5,1,4,2,4,0,0,2,28,33.3,0,1,4,0,0,0,1,15,10,MilwaukeeBucks
BobbyPortis,6,8,3,6,0,2,0,0,1,21,28.6,0.0,5,3,0,1,1,1,-18,12,MilwaukeeBucks
MarJonBeauchamp,5,3,1,1,1,2,0,0,0,11,0,50.0,0,3,2,0,0,2,-4,5,MilwaukeeBucks
CameronPayne,2,1,1,1,0,3,0,0,4,13,0.0,0,0,1,0,0,0,2,-5,4,MilwaukeeBucks
AndreJacksonJr.,0,0,0,0,0,1,0,0,0,7,45.5,0,0,0,0,0,0,0,-8,-1,MilwaukeeBucks
MilwaukeeBucks,118,54,27,53,11,37,31,35,26,240,42.2,0,11,43,13,3,6,22,20,135,MilwaukeeBucks
FranzWagner,29,6,12,17,1,6,2,4,6,39,56.5,50.0,1,5,2,1,0,4,-7,28,OrlandoMagic
PaoloBanchero,23,7,3,12,3,5,8,10,4,34,35.3,80.0,0,7,2,0,1,4,-10,20,OrlandoMagic
MoritzWagner,21,8,9,11,1,4,0,0,2,27,66.7,0,3,5,1,1,1,1,23,27,OrlandoMagic
ColeAnthony,18,11,6,11,1,6,3,3,6,33,41.2,100.0,4,7,0,2,0,2,16,27,OrlandoMagic
GaryHarris,14,2,3,5,2,6,2,3,5,35,45.5,66.7,1,1,0,0,0,4,-11,14,OrlandoMagic
WendellCarter,4,4,2,3,0,3,0,0,2,21,33.3,0,1,3,0,0,1,2,-27,7,OrlandoMagic
JonathanIsaac,4,4,2,7,0,0,0,1,0,14,28.6,0.0,3,1,1,1,3,2,6,5,OrlandoMagic
AnthonyBlack,1,2,0,0,0,0,1,2,1,20,0,50.0,0,2,1,1,2,2,-20,5,OrlandoMagic
CalebHoustan,0,1,0,0,0,3,0,0,0,18,0.0,0,0,1,0,0,1,2,10,-1,OrlandoMagic
OrlandoMagic,114,50,37,66,8,33,16,23,26,240,45.5,0,15,35,7,6,9,23,-20,132,OrlandoMagic
