PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
GiannisAntetokounmpo,25,10,10,18,0,2,5,9,11,38,33.3,87.5,4,6,4,0,0,5,-14,28,MilwaukeeBucks
KhrisMiddleton,23,3,4,10,3,6,6,6,8,34,50.0,100.0,0,3,3,2,1,1,-8,25,MilwaukeeBucks
MalikBeasley,17,4,1,4,5,8,0,0,2,24,53.8,100.0,1,3,0,1,1,1,-12,19,MilwaukeeBucks
BrookLopez,13,6,2,5,3,6,0,0,3,38,61.5,0,1,5,0,0,2,2,-9,18,MilwaukeeBucks
A.J.Green,8,1,1,1,2,3,0,0,0,11,53.3,0,1,0,0,0,0,0,-15,8,MilwaukeeBucks
BobbyPortis,8,3,4,9,0,2,0,0,0,16,66.7,75.0,1,2,0,0,0,4,-8,4,MilwaukeeBucks
AndreJacksonJr.,7,5,1,4,1,2,2,2,3,26,75.0,50.0,2,3,1,0,2,2,-6,12,MilwaukeeBucks
PatConnaughton,6,2,0,0,2,3,0,0,1,22,100.0,0,0,2,0,0,0,3,-12,8,MilwaukeeBucks
ChrisLivingston,6,2,2,5,0,0,2,2,0,15,33.3,0,1,1,1,1,0,1,0,5,MilwaukeeBucks
MarJonBeauchamp,3,2,0,2,1,4,0,0,3,14,50.0,0,0,2,0,2,0,1,4,5,MilwaukeeBucks
RobinLopez,0,0,0,0,0,0,0,0,0,1,52.2,0,0,0,0,0,0,0,0,0,MilwaukeeBucks
ThanasisAntetokounmpo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MilwaukeeBucks
MilwaukeeBucks,116,38,25,58,17,36,15,19,31,240,44.7,0,11,27,9,6,6,20,-80,132,MilwaukeeBucks
LauriMarkkanen,21,14,1,5,4,10,7,8,2,32,33.3,87.5,4,10,0,1,2,1,8,29,UtahJazz
JordanClarkson,21,4,5,11,2,3,5,5,6,31,50.0,100.0,1,3,1,0,1,0,13,24,UtahJazz
KeyonteGeorge,19,6,3,4,4,9,1,1,4,22,53.8,100.0,0,6,2,0,0,0,7,21,UtahJazz
CollinSexton,19,0,5,7,3,6,0,0,3,18,61.5,0,0,0,0,1,0,0,1,18,UtahJazz
JohnCollins,19,3,5,8,3,7,0,0,1,27,53.3,0,0,3,3,1,0,3,6,14,UtahJazz
KellyOlynyk,13,6,2,4,2,2,3,4,3,17,66.7,75.0,2,4,2,0,0,4,9,17,UtahJazz
WalkerKessler,8,6,3,4,0,0,2,4,0,21,75.0,50.0,2,4,0,1,2,1,10,14,UtahJazz
KrisDunn,5,4,1,1,1,1,0,0,13,24,100.0,0,1,3,1,1,2,1,11,24,UtahJazz
SimoneFontecchio,5,3,1,1,1,5,0,0,1,32,33.3,0,0,3,1,1,1,4,4,6,UtahJazz
OchaiAgbaji,2,1,1,1,0,1,0,0,0,15,50.0,0,0,1,0,0,0,1,11,2,UtahJazz
UtahJazz,132,47,27,46,20,44,18,22,33,240,52.2,0,10,37,10,6,8,15,80,169,UtahJazz
