PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
AnthonyEdwards,44,3,6,12,6,11,14,18,4,38,52.2,77.8,0,3,6,3,1,2,11,34,MinnesotaTimberwolves
RudyGobert,20,11,7,7,0,0,6,7,2,38,100.0,85.7,2,9,2,0,3,2,3,33,MinnesotaTimberwolves
JadenMcDaniels,12,0,3,5,2,3,0,1,0,34,62.5,0.0,0,0,2,1,4,3,4,11,MinnesotaTimberwolves
MikeConley,10,2,1,3,2,4,2,2,6,28,42.9,100.0,1,1,1,0,1,5,15,14,MinnesotaTimberwolves
Karl-AnthonyTowns,10,8,1,6,2,6,2,4,3,27,25.0,50.0,2,6,5,0,0,5,14,5,MinnesotaTimberwolves
NazReid,9,4,0,0,3,5,0,0,2,18,60.0,0.0,0,4,3,0,0,4,12,10,MinnesotaTimberwolves
KyleAnderson,8,10,2,7,1,1,1,2,3,27,37.5,50.0,1,9,3,0,0,0,-11,12,MinnesotaTimberwolves
NickeilAlexander-Walker,3,0,0,0,1,3,0,0,3,24,33.3,0.0,0,0,0,4,1,0,-3,9,MinnesotaTimberwolves
TroyBrown,2,0,1,1,0,0,0,0,0,6,100.0,0.0,0,0,0,1,0,0,-5,3,MinnesotaTimberwolves
MinnesotaTimberwolves,118,38,21,41,17,33,25,34,23,240,51.4,0.0,6,32,22,9,10,21,40,131,MinnesotaTimberwolves
TimHardawayJr.,32,3,6,8,5,11,5,7,3,32,57.9,71.4,0,3,1,2,0,2,5,29,DallasMavericks
JadenHardy,17,2,4,10,3,8,0,0,1,31,38.9,0.0,0,2,0,1,1,2,0,11,DallasMavericks
DerrickJones,15,9,2,6,1,3,8,8,0,30,33.3,100.0,3,6,1,3,1,5,3,21,DallasMavericks
DwightPowell,12,14,6,8,0,0,0,0,6,30,75.0,0.0,7,7,1,2,1,3,15,32,DallasMavericks
DanteExum,11,2,4,10,1,1,0,0,6,24,45.5,0.0,0,2,4,0,0,4,-9,9,DallasMavericks
SethCurry,11,2,1,4,2,4,3,4,3,30,37.5,75.0,0,2,3,0,0,2,6,7,DallasMavericks
GrantWilliams,8,3,1,4,2,5,0,0,3,30,33.3,0.0,0,3,2,1,0,4,-30,7,DallasMavericks
JoshGreen,2,0,1,2,0,1,0,0,5,15,33.3,0.0,0,0,1,0,0,0,-7,4,DallasMavericks
DereckLively,2,4,1,4,0,0,0,0,2,15,25.0,0.0,3,1,2,0,0,5,-16,3,DallasMavericks
MarkieffMorris,0,0,0,1,0,0,0,0,0,3,0.0,0.0,0,0,1,0,0,0,-7,-2,DallasMavericks
DallasMavericks,110,39,26,57,14,33,16,19,29,240,44.4,0.0,13,26,16,9,3,27,-40,121,DallasMavericks
