PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
AnthonyEdwards,32,6,7,14,4,8,6,8,1,34,50.0,0.0,1,5,4,1,1,3,27,24,MinnesotaTimberwolves
RudyGobert,17,13,7,9,0,0,3,5,1,31,30.8,50.0,3,10,0,1,4,1,32,32,MinnesotaTimberwolves
Karl-AnthonyTowns,14,10,3,9,1,3,5,5,0,27,36.4,100.0,2,8,2,0,2,4,26,16,MinnesotaTimberwolves
NazReid,13,6,4,7,1,4,2,3,0,22,28.6,66.7,0,6,1,1,2,2,4,14,MinnesotaTimberwolves
MikeConley,8,3,1,4,1,2,3,4,9,25,20.0,66.7,0,3,2,1,0,2,17,14,MinnesotaTimberwolves
KyleAnderson,6,2,3,4,0,1,0,0,4,17,28.6,100.0,1,1,0,1,1,2,-7,12,MinnesotaTimberwolves
NickeilAlexander-Walker,5,7,1,3,1,4,0,0,1,21,33.3,100.0,1,6,2,1,0,2,13,7,MinnesotaTimberwolves
JadenMcDaniels,5,4,1,4,1,3,0,0,2,29,50.0,100.0,2,2,2,0,1,1,27,5,MinnesotaTimberwolves
LukaGarza,5,0,1,1,1,1,0,0,0,4,100.0,0,0,0,0,0,0,1,-7,5,MinnesotaTimberwolves
JordanMcLaughlin,4,4,0,1,1,3,1,2,2,17,33.3,50.0,1,3,1,0,0,0,-6,5,MinnesotaTimberwolves
WendellMoore,2,0,1,1,0,1,0,0,1,4,50.0,0,0,0,1,0,0,0,-7,1,MinnesotaTimberwolves
TroyBrown,0,1,0,0,0,0,0,0,0,4,25.0,0,0,1,0,0,0,1,-7,1,MinnesotaTimberwolves
ShakeMilton,0,2,0,3,0,0,0,0,0,4,33.3,0,0,2,0,0,0,0,-7,-1,MinnesotaTimberwolves
MinnesotaTimberwolves,111,58,29,60,11,30,20,27,21,240,0,0,11,47,15,6,11,19,105,135,MinnesotaTimberwolves
AlperenSengun,15,10,6,13,1,1,0,2,1,31,50.0,0.0,4,6,3,1,1,4,-14,16,HoustonRockets
CamWhitmore,14,2,1,5,3,8,3,6,1,19,30.8,50.0,0,2,2,1,0,2,-16,4,HoustonRockets
FredVanVleet,11,3,2,5,2,6,1,1,1,32,36.4,100.0,0,3,2,2,4,1,-27,12,HoustonRockets
AmenThompson,8,7,2,7,0,0,4,6,2,20,28.6,66.7,3,4,0,1,0,1,-11,11,HoustonRockets
JalenGreen,8,2,3,10,0,5,2,3,7,30,20.0,66.7,0,2,2,0,1,2,-19,3,HoustonRockets
DillonBrooks,7,2,1,4,1,3,2,2,3,28,28.6,100.0,0,2,1,2,0,3,-18,8,HoustonRockets
AaronHoliday,5,2,1,2,0,1,3,3,2,16,33.3,100.0,0,2,1,2,0,3,10,8,HoustonRockets
NateHinton,5,1,0,0,1,2,2,2,2,4,50.0,100.0,0,1,0,0,0,1,7,7,HoustonRockets
JermaineSamuels,4,1,2,2,0,0,0,0,0,4,100.0,0,0,1,0,0,0,0,7,5,HoustonRockets
JeffGreen,4,2,0,1,1,2,1,2,0,16,33.3,50.0,1,1,0,0,0,1,-8,3,HoustonRockets
JockLandale,4,0,2,4,0,0,0,0,0,7,50.0,0,0,0,0,0,1,0,-1,3,HoustonRockets
JabariSmithJr.,3,2,0,2,1,2,0,0,0,19,25.0,0,0,2,0,1,0,5,-14,3,HoustonRockets
Jae&#039;SeanTate,2,4,1,3,0,0,0,0,1,10,33.3,0,1,3,0,0,0,3,-6,5,HoustonRockets
ReggieBullock,0,3,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,5,3,HoustonRockets
HoustonRockets,90,41,21,58,10,30,18,27,20,240,35.2,0,10,31,11,10,7,26,-105,91,HoustonRockets
