PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
AnthonyEdwards,28,5,10,13,1,6,5,6,5,34,65.2,60.0,0,5,3,1,0,2,10,27,MinnesotaTimberwolves
NazReid,20,3,4,8,4,5,0,0,1,24,66.7,100.0,0,3,0,2,1,2,16,22,MinnesotaTimberwolves
MikeConley,17,4,4,5,3,6,0,0,10,30,35.7,33.3,2,2,0,2,0,1,11,29,MinnesotaTimberwolves
RudyGobert,17,10,5,9,0,1,7,10,4,39,37.5,100.0,3,7,3,0,6,3,20,26,MinnesotaTimberwolves
Karl-AnthonyTowns,14,7,3,7,2,5,2,3,2,29,45.5,0,0,7,1,0,1,2,-1,15,MinnesotaTimberwolves
JadenMcDaniels,11,3,4,7,1,2,0,0,0,36,28.6,75.0,1,2,2,1,1,0,5,10,MinnesotaTimberwolves
NickeilAlexander-Walker,7,2,2,2,1,3,0,0,5,25,100.0,0,0,2,2,0,0,0,13,10,MinnesotaTimberwolves
KyleAnderson,4,3,1,3,0,0,2,2,3,15,20.0,0,0,3,1,1,0,3,5,8,MinnesotaTimberwolves
JordanMcLaughlin,0,2,0,0,0,0,0,0,0,7,0.0,50.0,0,2,2,1,0,0,-4,1,MinnesotaTimberwolves
WendellMoore,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,MinnesotaTimberwolves
LukaGarza,0,0,0,0,0,0,0,0,0,1,45.9,0,0,0,0,0,0,0,0,0,MinnesotaTimberwolves
MinnesotaTimberwolves,118,39,33,54,12,28,16,21,30,240,54.9,0,6,33,14,8,9,13,75,148,MinnesotaTimberwolves
JarenJacksonJr.,36,3,12,17,3,6,3,5,1,27,65.2,60.0,1,2,3,0,1,5,-10,28,MemphisGrizzlies
LukeKennard,18,2,1,2,5,7,1,1,2,31,66.7,100.0,0,2,1,1,0,1,4,19,MemphisGrizzlies
SantiagoAldama,13,5,3,9,2,5,1,3,0,25,35.7,33.3,0,5,2,1,1,4,-2,7,MemphisGrizzlies
VinceWilliamsJr.,10,7,1,3,2,5,2,2,5,35,37.5,100.0,2,5,2,3,1,3,-8,19,MemphisGrizzlies
XavierTillman,10,5,5,9,0,2,0,0,6,36,45.5,0,2,3,2,1,1,1,-2,15,MemphisGrizzlies
DavidRoddy,8,4,1,5,1,2,3,4,1,23,28.6,75.0,1,3,0,0,0,2,-13,7,MemphisGrizzlies
JohnKonchar,5,3,1,1,1,1,0,0,2,27,100.0,0,0,3,1,1,0,4,14,10,MemphisGrizzlies
ZiaireWilliams,2,1,1,3,0,2,0,0,2,12,20.0,0,0,1,2,2,0,1,-26,1,MemphisGrizzlies
GregoryJackson,1,3,0,1,0,2,1,2,0,10,0.0,50.0,2,1,1,0,0,2,-25,-1,MemphisGrizzlies
JacobGilyard,0,1,0,1,0,2,0,0,3,13,0.0,0,0,1,0,0,0,0,-7,1,MemphisGrizzlies
MemphisGrizzlies,103,34,25,51,14,34,11,17,22,240,45.9,0,8,26,14,9,4,23,-75,106,MemphisGrizzlies
