PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
RudyGobert,24,17,9,11,0,0,6,8,0,28,54.5,100.0,5,12,1,0,2,2,33,38,MinnesotaTimberwolves
Karl-AnthonyTowns,23,8,4,5,3,3,6,7,1,28,62.5,75.0,1,7,0,2,0,2,38,32,MinnesotaTimberwolves
NazReid,14,2,3,4,2,6,2,5,1,21,42.9,0.0,0,2,0,2,0,2,-4,11,MinnesotaTimberwolves
MikeConley,9,4,0,2,3,5,0,0,10,20,26.7,100.0,0,4,0,0,0,1,35,19,MinnesotaTimberwolves
AnthonyEdwards,9,3,4,6,0,3,1,2,6,27,28.6,75.0,0,3,0,1,1,2,41,14,MinnesotaTimberwolves
JadenMcDaniels,9,2,3,5,1,3,0,0,3,24,75.0,28.6,0,2,4,2,0,1,36,8,MinnesotaTimberwolves
ShakeMilton,6,0,3,5,0,0,0,0,2,10,0.0,100.0,0,0,0,0,0,1,-11,6,MinnesotaTimberwolves
TroyBrown,6,2,0,0,2,5,0,0,3,9,100.0,0,1,1,3,0,0,1,-10,5,MinnesotaTimberwolves
WendellMoore,4,0,2,2,0,0,0,0,0,8,33.3,0,0,0,0,2,0,2,-11,6,MinnesotaTimberwolves
LeonardMiller,4,2,2,2,0,2,0,0,0,8,50.0,50.0,0,2,1,1,1,2,-9,5,MinnesotaTimberwolves
NickeilAlexander-Walker,2,2,1,1,0,2,0,0,3,19,100.0,0,0,2,2,2,0,1,0,5,MinnesotaTimberwolves
JordanMcLaughlin,2,0,1,1,0,2,0,0,5,13,0.0,100.0,0,0,2,1,0,2,-9,4,MinnesotaTimberwolves
KyleAnderson,2,2,1,2,0,0,0,0,1,15,39.0,0,0,2,2,0,0,2,-4,2,MinnesotaTimberwolves
JoshMinott,2,0,0,3,0,0,2,2,0,9,0.0,100.0,0,0,0,1,1,2,-10,1,MinnesotaTimberwolves
MinnesotaTimberwolves,116,45,33,49,11,31,17,24,35,240,55.0,0,8,37,16,14,5,23,115,156,MinnesotaTimberwolves
JabariWalker,17,13,5,9,1,2,4,4,3,32,54.5,100.0,2,11,4,1,0,4,2,25,PortlandTrailBlazers
ToumaniCamara,14,5,4,5,1,3,3,4,0,25,62.5,75.0,2,3,3,0,1,1,-16,13,PortlandTrailBlazers
DuopReath,14,6,4,8,2,6,0,3,0,24,42.9,0.0,3,3,1,1,1,4,-20,10,PortlandTrailBlazers
JeramiGrant,13,0,2,8,2,7,3,3,1,31,26.7,100.0,0,0,0,2,0,3,-36,5,PortlandTrailBlazers
MalcolmBrogdon,9,2,0,2,2,5,3,4,3,26,28.6,75.0,0,2,1,0,0,1,-8,7,PortlandTrailBlazers
ScootHenderson,8,2,3,4,0,0,2,7,4,25,75.0,28.6,0,2,6,0,0,2,-27,2,PortlandTrailBlazers
AnferneeSimons,5,2,0,8,0,2,5,5,3,29,0.0,100.0,0,2,3,0,1,0,-35,-2,PortlandTrailBlazers
JustinMinaya,3,0,0,0,1,1,0,0,2,9,100.0,0,0,0,0,1,1,0,13,7,PortlandTrailBlazers
MatisseThybulle,3,1,0,1,1,2,0,0,0,14,33.3,0,0,1,0,2,0,1,-14,4,PortlandTrailBlazers
RayanRupert,3,1,1,2,0,0,1,2,1,7,50.0,50.0,0,1,0,0,0,0,11,3,PortlandTrailBlazers
IbouBadji,2,6,1,1,0,0,0,0,0,9,100.0,0,3,3,1,0,1,3,2,8,PortlandTrailBlazers
KrisMurray,2,0,0,1,0,0,2,2,1,9,0.0,100.0,0,0,0,1,0,0,13,3,PortlandTrailBlazers
PortlandTrailBlazers,93,42,20,49,10,28,23,34,18,240,39.0,0,12,30,19,8,5,19,-115,85,PortlandTrailBlazers
