PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MikeConley,18,4,1,3,4,10,4,4,4,33,56.3,0,0,4,1,3,0,3,9,20,MinnesotaTimberwolves
AnthonyEdwards,17,7,2,12,2,5,7,8,6,37,53.3,80.0,1,6,3,1,1,2,14,15,MinnesotaTimberwolves
RudyGobert,16,20,7,8,0,0,2,2,2,30,30.8,66.7,5,15,1,0,2,3,31,38,MinnesotaTimberwolves
NazReid,15,9,6,11,1,7,0,0,2,29,30.0,0,4,5,1,0,1,2,10,15,MinnesotaTimberwolves
Karl-AnthonyTowns,14,10,3,3,2,3,2,3,2,32,37.5,100.0,1,9,6,0,1,2,-14,19,MinnesotaTimberwolves
TroyBrown,8,1,1,1,2,8,0,0,2,25,37.5,0.0,0,1,1,0,1,1,7,5,MinnesotaTimberwolves
KyleAnderson,7,1,2,6,0,0,3,4,2,22,30.0,0,0,1,0,0,4,2,-7,9,MinnesotaTimberwolves
NickeilAlexander-Walker,7,2,2,2,1,6,0,0,0,20,25.0,0,0,2,1,0,0,1,2,3,MinnesotaTimberwolves
ShakeMilton,0,1,0,1,0,1,0,0,0,12,0.0,0,0,1,0,0,0,0,-12,-1,MinnesotaTimberwolves
MinnesotaTimberwolves,102,58,24,47,12,40,18,21,20,240,0.0,0,11,47,14,4,10,16,40,123,MinnesotaTimberwolves
DevinVassell,22,3,5,8,4,8,0,0,2,31,56.3,0,0,3,0,1,1,1,4,22,SanAntonioSpurs
KeldonJohnson,21,10,7,13,1,2,4,5,3,32,53.3,80.0,1,9,4,2,1,4,-3,25,SanAntonioSpurs
VictorWembanyama,12,10,4,11,0,2,4,6,1,32,30.8,66.7,3,7,2,1,1,1,4,12,SanAntonioSpurs
ZachCollins,12,8,6,14,0,6,0,0,4,30,30.0,0,4,4,3,0,0,3,-17,7,SanAntonioSpurs
DougMcDermott,11,3,0,0,3,8,2,2,2,22,37.5,100.0,0,3,0,0,0,1,2,11,SanAntonioSpurs
CediOsman,6,8,3,5,0,3,0,2,6,32,37.5,0.0,2,6,1,2,0,2,-10,14,SanAntonioSpurs
JeremySochan,6,2,3,8,0,2,0,0,0,22,30.0,0,1,1,1,0,1,1,-5,1,SanAntonioSpurs
TreJones,4,2,2,5,0,3,0,0,5,24,25.0,0,0,2,0,1,0,2,-7,6,SanAntonioSpurs
MalakiBranham,0,2,0,1,0,1,0,0,0,10,0.0,0,2,0,0,0,0,2,-7,0,SanAntonioSpurs
JulianChampagnie,0,1,0,0,0,1,0,0,0,4,0.0,0,0,1,0,0,0,0,-1,0,SanAntonioSpurs
SanAntonioSpurs,94,51,30,65,8,36,10,15,23,240,37.6,0,15,36,10,7,4,16,-40,98,SanAntonioSpurs
