PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ZionWilliamson,28,8,10,14,1,2,5,10,4,34,52.4,82.4,2,6,3,2,1,1,2,30,NewOrleansPelicans
BrandonIngram,19,3,6,10,0,2,7,9,5,36,71.4,66.7,1,2,0,0,2,2,2,21,NewOrleansPelicans
TreyMurphyIII,14,6,1,4,3,7,3,3,0,34,27.3,66.7,1,5,1,2,0,2,4,14,NewOrleansPelicans
C.J.McCollum,13,5,2,3,2,7,3,4,2,34,25.0,83.3,1,4,4,1,1,4,-2,11,NewOrleansPelicans
JonasValanciunas,10,11,5,9,0,2,0,0,5,26,36.4,0,2,9,6,2,1,6,5,17,NewOrleansPelicans
NajiMarshall,6,2,2,2,0,0,2,3,2,12,28.6,0,1,1,0,0,0,1,4,9,NewOrleansPelicans
HerbertJones,6,3,0,4,2,4,0,0,1,18,50.0,100.0,3,0,0,0,0,1,-13,4,NewOrleansPelicans
JeremiahRobinson-Earl,4,3,2,2,0,3,0,0,2,22,33.3,0,0,3,0,2,1,2,-8,9,NewOrleansPelicans
JoseAlvarado,4,2,2,2,0,2,0,0,0,10,25.0,0,0,2,1,0,1,3,2,4,NewOrleansPelicans
DysonDaniels,0,3,0,1,0,2,0,0,0,14,0.0,50.0,2,1,1,0,0,0,-6,-1,NewOrleansPelicans
NewOrleansPelicans,104,48,30,51,8,31,20,29,21,240,42.7,0,14,34,16,9,7,22,-10,118,NewOrleansPelicans
AlperenSengun,37,11,10,20,1,1,14,17,6,38,52.4,82.4,4,7,2,1,1,4,-2,41,HoustonRockets
JabariSmithJr.,26,11,6,9,4,5,2,3,2,37,71.4,66.7,4,7,1,1,1,3,1,35,HoustonRockets
FredVanVleet,10,0,1,4,2,7,2,3,3,36,27.3,66.7,0,0,1,1,0,1,1,4,HoustonRockets
JalenGreen,9,4,2,4,0,4,5,6,2,22,25.0,83.3,0,4,6,1,0,1,-2,3,HoustonRockets
TariEason,8,4,4,9,0,2,0,0,0,20,36.4,0,2,2,0,2,0,5,-6,7,HoustonRockets
DillonBrooks,5,5,1,3,1,4,0,0,5,28,28.6,0,0,5,0,1,0,3,6,11,HoustonRockets
AaronHoliday,5,1,0,0,1,2,2,2,1,15,50.0,100.0,0,1,1,1,0,0,2,6,HoustonRockets
JeffGreen,2,3,1,2,0,1,0,0,2,21,33.3,0,1,2,0,0,0,1,6,5,HoustonRockets
Jae&#039;SeanTate,2,5,1,2,0,2,0,0,0,11,25.0,0,2,3,0,0,0,2,1,4,HoustonRockets
AmenThompson,2,0,0,0,0,1,2,4,0,10,0.0,50.0,0,0,0,1,0,0,3,0,HoustonRockets
HoustonRockets,106,49,26,53,9,29,27,35,21,240,42.7,0,17,32,11,9,2,21,10,116,HoustonRockets
