PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ZionWilliamson,36,5,13,17,0,0,10,12,2,33,45.5,85.7,2,3,1,1,1,1,26,38,NewOrleansPelicans
C.J.McCollum,23,4,4,8,4,7,3,3,4,29,54.5,50.0,0,4,1,1,1,2,21,25,NewOrleansPelicans
BrandonIngram,20,3,3,8,2,5,8,9,5,29,46.7,0,0,3,4,0,0,2,13,15,NewOrleansPelicans
JonasValanciunas,14,13,5,8,0,1,4,7,4,35,40.0,100.0,3,10,3,2,2,3,13,25,NewOrleansPelicans
TreyMurphyIII,10,3,3,3,1,5,1,2,1,24,41.7,0.0,0,3,2,0,0,0,-4,7,NewOrleansPelicans
HerbertJones,7,10,1,4,1,3,2,3,5,32,50.0,0,3,7,0,0,0,4,20,16,NewOrleansPelicans
DysonDaniels,6,2,0,2,1,1,3,4,2,28,28.6,100.0,1,1,0,2,1,3,5,10,NewOrleansPelicans
NajiMarshall,5,5,1,2,1,2,0,0,1,14,50.0,0,0,5,1,0,1,2,-10,9,NewOrleansPelicans
JoseAlvarado,0,2,0,2,0,3,0,0,3,15,22.2,0,1,1,1,1,1,3,-11,1,NewOrleansPelicans
JordanHawkins,0,0,0,1,0,0,0,0,0,1,100.0,0,0,0,0,0,0,0,-3,-1,NewOrleansPelicans
NewOrleansPelicans,121,52,30,55,10,27,31,40,27,240,100.0,100.0,14,38,13,7,7,23,70,145,NewOrleansPelicans
Karl-AnthonyTowns,17,12,4,8,1,3,6,7,1,33,45.5,85.7,3,9,1,0,0,6,-12,22,MinnesotaTimberwolves
MikeConley,17,5,2,4,4,7,1,2,7,27,54.5,50.0,1,4,3,0,0,1,-19,20,MinnesotaTimberwolves
NazReid,17,6,4,8,3,7,0,0,2,24,46.7,0,3,3,0,1,0,3,0,18,MinnesotaTimberwolves
ShakeMilton,12,1,4,9,0,1,4,4,5,20,40.0,100.0,1,0,1,0,0,4,1,11,MinnesotaTimberwolves
JadenMcDaniels,12,3,3,6,2,6,0,1,0,27,41.7,0.0,0,3,1,0,0,4,-3,6,MinnesotaTimberwolves
RudyGobert,8,8,4,8,0,0,0,0,0,25,50.0,0,2,6,2,0,2,4,-20,12,MinnesotaTimberwolves
NickeilAlexander-Walker,7,1,1,3,1,4,2,2,5,24,28.6,100.0,0,1,3,1,1,4,-13,7,MinnesotaTimberwolves
KyleAnderson,6,4,3,6,0,0,0,0,3,19,50.0,0,1,3,0,2,0,1,7,12,MinnesotaTimberwolves
TroyBrown,5,6,1,2,1,7,0,0,2,27,22.2,0,0,6,0,0,0,1,-15,6,MinnesotaTimberwolves
JordanMcLaughlin,3,0,0,0,1,1,0,0,1,8,100.0,0,0,0,0,1,0,0,1,5,MinnesotaTimberwolves
JoshMinott,3,0,1,1,0,0,1,1,0,2,100.0,100.0,0,0,0,0,0,0,1,3,MinnesotaTimberwolves
WendellMoore,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,MinnesotaTimberwolves
DaishenNix,0,0,0,0,0,0,0,2,0,2,0,0.0,0,0,0,0,0,0,1,-2,MinnesotaTimberwolves
MinnesotaTimberwolves,107,55,27,55,13,36,14,19,26,240,44.0,0,11,44,11,5,3,28,-70,121,MinnesotaTimberwolves
