PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JonasValanciunas,14,9,6,12,0,0,2,2,0,20,47.6,88.9,5,4,2,0,0,1,-7,15,NewOrleansPelicans
HerbertJones,14,4,4,5,2,7,0,0,1,29,56.3,0,0,4,2,0,1,4,-17,12,NewOrleansPelicans
BrandonIngram,12,4,5,9,0,0,2,5,9,34,50.0,0,0,4,5,0,2,3,-15,15,NewOrleansPelicans
C.J.McCollum,12,6,2,8,2,7,2,2,3,35,50.0,0,1,5,4,2,0,4,-20,8,NewOrleansPelicans
JordanHawkins,9,1,0,1,2,4,3,3,4,20,80.0,0,0,1,1,0,0,1,-8,10,NewOrleansPelicans
TreyMurphyIII,6,7,1,1,1,6,1,2,1,28,60.0,0,0,7,0,0,0,1,-16,8,NewOrleansPelicans
JoseAlvarado,5,2,1,1,1,6,0,0,3,12,50.0,0,0,2,1,2,0,0,-3,6,NewOrleansPelicans
DysonDaniels,5,1,1,3,1,1,0,0,0,17,16.7,100.0,1,0,4,0,1,0,-11,1,NewOrleansPelicans
LarryNance,4,5,2,3,0,0,0,0,3,22,50.0,100.0,1,4,0,1,1,1,-10,13,NewOrleansPelicans
JeremiahRobinson-Earl,2,0,1,2,0,1,0,0,0,3,0.0,100.0,0,0,0,1,0,0,-1,1,NewOrleansPelicans
CodyZeller,0,1,0,0,0,0,0,0,0,3,0.0,0,0,1,0,0,0,0,-1,1,NewOrleansPelicans
E.J.Liddell,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,-1,1,NewOrleansPelicans
NajiMarshall,0,1,0,1,0,3,0,0,0,13,0,0,0,1,1,1,0,1,-10,-3,NewOrleansPelicans
NewOrleansPelicans,83,41,23,46,9,36,10,14,24,240,47.7,0,8,33,20,9,5,16,-120,88,NewOrleansPelicans
ShaiGilgeous-Alexander,31,4,7,13,3,8,8,9,5,32,47.6,88.9,0,4,4,2,1,0,12,27,OklahomaCityThunder
ChetHolmgren,20,13,7,10,2,6,0,0,0,30,56.3,0,2,11,0,1,2,1,18,29,OklahomaCityThunder
JalenWilliams,15,4,6,10,1,4,0,0,7,31,50.0,0,0,4,1,0,0,3,22,18,OklahomaCityThunder
CasonWallace,12,2,3,5,2,5,0,0,1,21,50.0,0,1,1,0,4,0,1,18,14,OklahomaCityThunder
KenrichWilliams,8,4,4,4,0,1,0,0,0,13,80.0,0,1,3,1,1,0,0,1,11,OklahomaCityThunder
AaronWiggins,8,2,1,3,2,2,0,0,1,17,60.0,0,0,2,1,0,0,1,11,8,OklahomaCityThunder
JoshGiddey,4,5,2,3,0,1,0,0,6,23,50.0,0,0,5,1,1,1,0,13,14,OklahomaCityThunder
LuguentzDort,4,2,1,3,0,3,2,2,0,26,16.7,100.0,0,2,0,0,1,3,9,2,OklahomaCityThunder
VasilijeMicic,3,2,1,2,0,0,1,1,1,17,50.0,100.0,0,2,2,0,0,0,12,3,OklahomaCityThunder
IsaiahJoe,2,1,0,1,0,2,2,2,0,13,0.0,100.0,1,0,1,1,0,0,7,0,OklahomaCityThunder
JaylinWilliams,0,6,0,1,0,1,0,0,1,15,0.0,0,1,5,0,1,0,2,1,6,OklahomaCityThunder
LindyWaters,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-2,0,OklahomaCityThunder
KeyontaeJohnson,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-2,0,OklahomaCityThunder
OklahomaCityThunder,107,45,32,55,10,33,13,14,22,240,47.7,0,6,39,11,11,5,11,120,132,OklahomaCityThunder
