PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
BrandonIngram,41,6,8,10,8,11,1,1,9,30,56.3,0,1,5,0,0,1,1,37,52,NewOrleansPelicans
C.J.McCollum,20,6,1,2,6,10,0,0,3,23,41.7,83.3,1,5,0,2,0,1,15,26,NewOrleansPelicans
ZionWilliamson,16,3,5,8,0,0,6,6,5,22,87.5,0.0,1,2,1,0,1,0,16,21,NewOrleansPelicans
JoseAlvarado,11,4,4,4,1,7,0,0,4,25,80.0,100.0,0,4,1,3,0,0,23,15,NewOrleansPelicans
JonasValanciunas,10,12,4,14,0,0,2,2,3,20,57.1,0,8,4,0,0,0,1,13,15,NewOrleansPelicans
TreyMurphyIII,10,6,2,2,2,8,0,0,0,25,30.0,100.0,1,5,0,0,2,1,23,12,NewOrleansPelicans
NajiMarshall,8,1,2,5,0,2,4,4,5,19,42.9,0,1,0,4,1,0,3,2,6,NewOrleansPelicans
HerbertJones,7,2,2,3,1,4,0,0,2,22,50.0,50.0,2,0,1,1,0,1,15,7,NewOrleansPelicans
DysonDaniels,5,3,1,3,1,2,0,0,4,21,100.0,50.0,1,2,0,3,1,1,19,13,NewOrleansPelicans
LarryNance,4,6,2,4,0,0,0,0,1,20,20.0,0,1,5,0,0,0,4,27,9,NewOrleansPelicans
JordanHawkins,4,0,2,2,0,1,0,0,0,7,20.0,0,0,0,0,1,0,0,-2,4,NewOrleansPelicans
CodyZeller,2,2,1,2,0,0,0,0,0,5,0.0,0,0,2,0,0,0,0,2,3,NewOrleansPelicans
NewOrleansPelicans,138,56,34,59,19,45,13,13,36,240,47.6,0,20,36,8,11,5,13,190,183,NewOrleansPelicans
GradeyDick,22,4,5,8,4,8,0,0,2,30,56.3,0,0,4,0,1,0,2,-24,22,TorontoRaptors
ScottieBarnes,17,5,3,7,2,5,5,6,4,25,41.7,83.3,2,3,1,0,2,1,-22,19,TorontoRaptors
JakobPoeltl,14,9,7,8,0,0,0,2,1,28,87.5,0.0,1,8,3,1,2,2,-21,21,TorontoRaptors
ChrisBoucher,11,6,3,3,1,2,2,2,1,12,80.0,100.0,1,5,1,0,1,0,-4,17,TorontoRaptors
BruceBrown,9,3,3,4,1,3,0,0,3,26,57.1,0,1,2,1,0,0,0,-31,11,TorontoRaptors
ImmanuelQuickley,8,1,2,7,1,3,1,1,6,24,30.0,100.0,1,0,2,0,0,1,-20,6,TorontoRaptors
JordanNwora,7,3,2,5,1,2,0,0,5,24,42.9,0,1,2,3,1,0,1,-6,9,TorontoRaptors
GarrettTemple,5,1,2,2,0,2,1,2,0,12,50.0,50.0,1,0,1,1,0,2,-4,3,TorontoRaptors
ThaddeusYoung,3,2,1,1,0,0,1,2,0,15,100.0,50.0,1,1,0,0,0,0,-13,4,TorontoRaptors
GaryTrentJr.,2,1,1,3,0,2,0,0,0,15,20.0,0,0,1,0,0,0,0,-16,-1,TorontoRaptors
JalenMcDaniels,2,3,1,3,0,2,0,0,0,12,20.0,0,1,2,4,0,0,3,-4,-3,TorontoRaptors
DennisSchroder,0,0,0,2,0,2,0,0,5,18,0.0,0,0,0,2,0,1,0,-25,0,TorontoRaptors
TorontoRaptors,100,46,30,53,10,31,10,15,27,240,47.6,0,14,32,19,4,6,12,-190,108,TorontoRaptors
