PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JuliusRandle,35,6,10,16,3,7,6,7,4,39,76.9,100.0,0,6,3,2,1,3,13,34,NewYorkKnicks
JalenBrunson,31,3,9,13,4,9,1,1,13,38,47.4,100.0,0,3,4,0,0,3,31,34,NewYorkKnicks
OguguaAnunoby,11,8,4,5,1,4,0,0,2,34,41.7,50.0,2,6,1,2,0,2,35,18,NewYorkKnicks
DonteDiVincenzo,11,5,1,2,3,8,0,0,5,25,38.5,100.0,1,4,3,1,0,2,18,13,NewYorkKnicks
IsaiahHartenstein,10,20,4,6,0,0,2,3,1,37,16.7,100.0,7,13,2,0,5,2,32,31,NewYorkKnicks
QuentinGrimes,8,1,1,3,2,6,0,0,0,18,25.0,0,0,1,0,1,0,0,-20,4,NewYorkKnicks
PreciousAchiuwa,4,3,2,2,0,0,0,0,1,11,66.7,0,2,1,0,0,1,2,-16,9,NewYorkKnicks
JoshHart,3,5,0,3,1,2,0,0,3,25,50.0,0,1,4,2,0,0,2,2,5,NewYorkKnicks
MilesMcBride,3,0,0,1,1,2,0,0,0,10,16.7,0,0,0,0,0,0,1,-15,1,NewYorkKnicks
JerichoSims,0,1,0,0,0,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,1,NewYorkKnicks
RyanArcidiacono,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NewYorkKnicks
NewYorkKnicks,116,55,31,51,15,38,9,11,29,240,41.6,0,15,40,16,6,7,17,80,150,NewYorkKnicks
DeMarDerozan,28,3,7,9,3,4,5,5,4,39,76.9,100.0,0,3,0,1,1,1,-25,34,ChicagoBulls
CobyWhite,26,4,3,10,6,9,2,2,8,38,47.4,100.0,0,4,3,0,1,1,-23,26,ChicagoBulls
AndreDrummond,13,16,5,12,0,0,3,6,0,30,41.7,50.0,8,8,1,2,1,3,-15,21,ChicagoBulls
AlexCaruso,13,4,3,5,2,8,1,1,3,33,38.5,100.0,0,4,1,4,1,4,-11,16,ChicagoBulls
AyoDosunmu,7,4,1,6,1,6,2,2,4,31,16.7,100.0,0,4,0,0,2,1,-11,7,ChicagoBulls
PatrickWilliams,5,4,1,6,1,2,0,0,2,27,25.0,0,1,3,5,1,0,3,-14,1,ChicagoBulls
TerryTaylor,4,2,2,3,0,0,0,0,0,16,66.7,0,1,1,0,0,0,0,0,5,ChicagoBulls
DalenTerry,2,1,1,2,0,0,0,0,1,8,50.0,0,0,1,0,0,0,2,6,3,ChicagoBulls
JevonCarter,2,0,1,3,0,3,0,0,2,16,16.7,0,0,0,1,1,1,2,13,0,ChicagoBulls
JulianPhillips,0,1,0,1,0,0,0,0,0,2,0.0,0,1,0,0,0,0,0,0,0,ChicagoBulls
AdamaSanogo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ChicagoBulls
ChicagoBulls,100,41,24,57,13,32,13,16,24,240,41.6,0,13,28,11,9,7,17,-80,113,ChicagoBulls
