PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JalenBrunson,27,5,7,18,4,7,1,1,5,37,42.3,100.0,1,4,4,0,0,4,-14,19,NewYorkKnicks
DonteDiVincenzo,16,7,4,9,2,12,2,4,2,36,63.2,50.0,5,2,3,1,1,2,-14,7,NewYorkKnicks
JoshHart,14,18,1,8,3,9,3,4,7,47,37.5,0,4,14,0,2,0,2,-11,27,NewYorkKnicks
MilesMcBride,14,2,4,5,2,3,0,0,1,22,37.5,75.0,0,2,0,3,0,2,2,18,NewYorkKnicks
JerichoSims,10,5,3,3,0,0,4,5,3,22,33.3,50.0,2,3,0,0,0,1,6,17,NewYorkKnicks
IsaiahHartenstein,6,6,2,5,0,0,2,2,2,20,75.0,50.0,0,6,2,1,0,2,-18,10,NewYorkKnicks
AlecBurks,5,2,1,3,1,3,0,0,1,11,75.0,0.0,1,1,0,0,0,0,6,4,NewYorkKnicks
BojanBogdanovic,4,3,0,3,0,4,4,4,1,18,100.0,0,0,3,1,0,0,0,0,0,NewYorkKnicks
PreciousAchiuwa,3,8,1,2,0,1,1,4,1,26,16.7,0.0,4,4,2,0,2,2,-12,7,NewYorkKnicks
NewYorkKnicks,99,58,23,56,12,39,17,24,23,240,0.0,0,18,40,12,7,3,15,-55,109,NewYorkKnicks
StephenCurry,31,11,3,8,8,18,1,1,1,32,42.3,100.0,2,9,3,1,0,0,20,26,GoldenStateWarriors
JonathanKuminga,25,8,12,18,0,1,1,2,2,30,63.2,50.0,5,3,1,2,2,3,19,30,GoldenStateWarriors
KlayThompson,16,5,2,6,4,10,0,0,0,27,37.5,0,1,4,2,0,0,1,-13,9,GoldenStateWarriors
ChrisPaul,11,4,1,4,2,4,3,4,6,26,37.5,75.0,0,4,1,3,0,2,-7,17,GoldenStateWarriors
MosesMoody,8,4,3,4,0,5,2,4,1,26,33.3,50.0,0,4,0,1,1,1,23,7,GoldenStateWarriors
DraymondGreen,7,10,3,4,0,0,1,2,6,27,75.0,50.0,4,6,2,0,1,3,19,20,GoldenStateWarriors
TrayceJackson-Davis,6,1,3,4,0,0,0,2,1,11,75.0,0.0,0,1,1,0,0,2,-3,4,GoldenStateWarriors
KevonLooney,4,2,2,2,0,0,0,0,1,10,100.0,0,0,2,1,0,0,3,-5,6,GoldenStateWarriors
BrandinPodziemski,2,3,1,2,0,4,0,1,4,32,16.7,0.0,1,2,0,1,0,1,17,4,GoldenStateWarriors
DarioSaric,0,3,0,0,0,3,0,0,3,11,0.0,0,3,0,0,0,0,1,-3,3,GoldenStateWarriors
GaryPaytonII,0,2,0,1,0,0,0,0,1,9,0.0,0,0,2,0,0,1,2,-12,3,GoldenStateWarriors
LesterQuinones,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GoldenStateWarriors
GoldenStateWarriors,110,54,30,53,14,45,8,16,26,240,44.9,0,16,38,11,8,5,19,55,129,GoldenStateWarriors
