PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JuliusRandle,27,10,6,13,3,8,6,6,3,37,50.0,0,2,8,6,0,0,3,2,22,NewYorkKnicks
R.J.Barrett,26,6,7,12,2,4,6,6,4,31,66.7,100.0,1,5,5,0,0,1,13,24,NewYorkKnicks
MitchellRobinson,13,15,6,10,0,0,1,1,0,35,61.5,0,9,6,0,4,0,2,4,28,NewYorkKnicks
DonteDiVincenzo,12,6,1,1,3,5,1,2,1,16,71.4,0,2,4,1,1,1,1,13,17,NewYorkKnicks
JoshHart,10,3,3,5,1,4,1,1,7,32,18.2,100.0,0,3,2,2,0,2,13,15,NewYorkKnicks
ImmanuelQuickley,7,1,2,2,1,3,0,0,5,20,100.0,50.0,0,1,0,0,0,0,22,11,NewYorkKnicks
JalenBrunson,7,3,1,9,1,3,2,2,6,35,22.2,0,2,1,4,3,0,1,-1,5,NewYorkKnicks
IsaiahHartenstein,6,3,3,5,0,0,0,0,2,13,100.0,100.0,2,1,0,2,0,2,10,11,NewYorkKnicks
QuentinGrimes,3,1,0,0,1,4,0,0,0,21,100.0,0,0,1,1,1,0,1,-6,1,NewYorkKnicks
NewYorkKnicks,111,48,29,57,12,31,17,18,28,240,0.0,100.0,18,30,19,13,1,13,70,134,NewYorkKnicks
KawhiLeonard,18,5,6,10,2,6,0,0,3,32,50.0,0,2,3,0,0,0,2,-12,18,LAClippers
JamesHarden,17,3,4,5,2,4,3,3,6,31,66.7,100.0,0,3,2,1,0,2,-18,22,LAClippers
RussellWestbrook,17,4,7,10,1,3,0,0,4,31,61.5,0,0,4,4,0,0,2,-7,16,LAClippers
NormanPowell,14,1,1,1,4,6,0,0,0,22,71.4,0,0,1,3,0,1,1,-6,11,LAClippers
PaulGeorge,10,7,1,5,1,6,5,5,3,34,18.2,100.0,0,7,4,3,0,2,-7,10,LAClippers
IvicaZubac,8,7,3,3,0,0,2,4,0,30,100.0,50.0,4,3,5,1,3,3,-18,12,LAClippers
BonesHyland,5,1,1,5,1,4,0,0,4,22,22.2,0,0,1,3,1,0,2,-5,1,LAClippers
MoussaDiabate,4,0,1,1,0,0,2,2,0,6,100.0,100.0,0,0,0,0,0,0,-2,4,LAClippers
MasonPlumlee,2,2,1,1,0,0,0,0,1,11,100.0,0,0,2,1,1,0,0,10,5,LAClippers
P.J.Tucker,2,1,0,0,0,2,2,2,0,11,0.0,100.0,1,0,0,1,0,1,-9,2,LAClippers
AmirCoffey,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,LAClippers
KobeBrown,0,0,0,0,0,1,0,0,0,4,0.0,0,0,0,0,0,0,0,2,-1,LAClippers
LAClippers,97,31,25,41,11,32,14,16,21,240,49.3,0,7,24,22,8,4,15,-70,100,LAClippers
