PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ShaiGilgeous-Alexander,30,9,7,15,1,3,13,14,5,28,50.0,100.0,0,9,2,4,0,4,30,35,OklahomaCityThunder
ChetHolmgren,17,6,5,10,2,4,1,1,2,25,42.9,50.0,2,4,2,1,7,2,13,24,OklahomaCityThunder
JoshGiddey,16,12,6,8,0,4,4,4,4,24,44.4,0,3,9,1,1,0,0,16,26,OklahomaCityThunder
LuguentzDort,11,2,1,1,3,6,0,0,2,21,42.9,80.0,0,2,0,0,1,2,24,13,OklahomaCityThunder
JalenWilliams,10,4,2,6,1,3,3,4,5,28,20.0,75.0,0,4,0,2,1,2,14,15,OklahomaCityThunder
CasonWallace,7,2,2,2,1,4,0,0,2,17,40.0,100.0,0,2,1,0,0,1,12,7,OklahomaCityThunder
KenrichWilliams,6,4,0,0,2,3,0,0,3,15,50.0,0,0,4,1,0,0,0,26,11,OklahomaCityThunder
OlivierSarr,6,3,3,3,0,2,0,0,0,7,33.3,100.0,1,2,0,0,0,3,-12,7,OklahomaCityThunder
IsaiahJoe,5,4,1,2,1,3,0,0,3,19,28.6,0,1,3,0,1,0,1,11,10,OklahomaCityThunder
OusmaneDieng,4,2,2,3,0,2,0,0,2,19,25.0,0,1,1,0,0,0,1,-9,5,OklahomaCityThunder
JaylinWilliams,2,3,1,2,0,1,0,0,0,9,0.0,0,1,2,2,1,0,2,0,2,OklahomaCityThunder
AaronWiggins,2,2,1,4,0,0,0,0,1,12,35.3,0,1,1,1,1,0,0,-8,2,OklahomaCityThunder
TreMann,0,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,-12,1,OklahomaCityThunder
VasilijeMicic,0,0,0,0,0,1,0,0,0,7,0.0,0,0,0,1,0,1,0,-10,-1,OklahomaCityThunder
OklahomaCityThunder,116,55,31,56,11,36,21,23,31,240,45.7,0,11,44,12,11,10,18,95,157,OklahomaCityThunder
ZiaireWilliams,19,7,4,5,2,7,5,5,5,22,50.0,100.0,0,7,4,0,0,3,6,21,MemphisGrizzlies
DesmondBane,17,1,2,5,4,9,1,2,5,28,42.9,50.0,0,1,5,0,1,1,-18,10,MemphisGrizzlies
JacobGilyard,12,1,0,3,4,6,0,0,7,34,44.4,0,0,1,3,1,0,2,-3,13,MemphisGrizzlies
JarenJacksonJr.,11,5,2,3,1,4,4,5,1,25,42.9,80.0,0,5,2,1,0,3,-15,11,MemphisGrizzlies
SantiagoAldama,9,9,0,3,2,7,3,4,1,20,20.0,75.0,2,7,1,0,0,1,-21,9,MemphisGrizzlies
DavidRoddy,8,4,1,2,1,3,3,3,1,22,40.0,100.0,0,4,3,1,0,1,-1,8,MemphisGrizzlies
GregoryJackson,8,0,1,3,2,3,0,0,0,12,50.0,0,0,0,0,0,1,2,9,6,MemphisGrizzlies
JohnKonchar,5,2,0,0,1,3,2,2,2,17,33.3,100.0,1,1,2,2,0,2,-20,7,MemphisGrizzlies
VinceWilliamsJr.,5,5,1,2,1,5,0,0,1,23,28.6,0,2,3,1,0,0,3,-26,5,MemphisGrizzlies
JakeLaRavia,3,3,0,0,1,4,0,0,0,12,25.0,0,2,1,0,0,0,0,9,3,MemphisGrizzlies
XavierTillman,0,8,0,5,0,3,0,0,2,25,0.0,0,0,8,1,1,1,1,-15,3,MemphisGrizzlies
MemphisGrizzlies,97,50,11,31,19,54,18,21,25,240,35.3,0,10,40,22,6,3,19,-95,96,MemphisGrizzlies
