PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ShaiGilgeous-Alexander,34,6,14,16,0,3,6,7,9,33,43.8,69.2,0,6,3,2,1,3,16,43,OklahomaCityThunder
JalenWilliams,21,1,3,5,4,6,3,3,3,26,60.0,0,0,1,1,0,2,3,12,22,OklahomaCityThunder
ChetHolmgren,20,4,5,7,3,6,1,2,5,29,50.0,100.0,0,4,1,0,1,4,17,23,OklahomaCityThunder
LuguentzDort,20,4,2,3,5,6,1,2,0,33,33.3,75.0,0,4,2,2,2,4,14,23,OklahomaCityThunder
JoshGiddey,10,2,4,5,0,2,2,2,7,25,100.0,0,0,2,2,0,0,3,21,14,OklahomaCityThunder
IsaiahJoe,8,2,1,1,2,3,0,0,2,16,30.0,100.0,1,1,0,0,0,3,9,11,OklahomaCityThunder
KenrichWilliams,6,3,0,1,2,3,0,0,2,16,100.0,0,0,3,0,1,0,0,9,10,OklahomaCityThunder
CasonWallace,5,1,1,1,1,4,0,0,1,24,50.0,100.0,1,0,1,2,0,0,4,5,OklahomaCityThunder
AaronWiggins,3,5,0,0,1,2,0,0,1,14,50.0,0,1,4,0,0,0,1,7,8,OklahomaCityThunder
VasilijeMicic,2,0,1,3,0,4,0,0,4,16,20.0,0,0,0,1,2,0,3,7,1,OklahomaCityThunder
JaylinWilliams,0,1,0,0,0,0,0,0,1,5,0,0,0,1,0,0,1,0,1,3,OklahomaCityThunder
TreMann,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,-2,0,OklahomaCityThunder
OklahomaCityThunder,129,29,31,42,18,39,13,16,35,240,0.0,0,3,26,11,9,7,24,115,163,OklahomaCityThunder
AnthonyEdwards,25,7,5,11,2,5,9,13,6,34,43.8,69.2,1,6,4,1,0,3,-16,22,MinnesotaTimberwolves
MikeConley,17,2,1,3,5,7,0,0,4,25,60.0,0,0,2,0,2,0,0,-10,21,MinnesotaTimberwolves
Karl-AnthonyTowns,16,6,5,8,0,2,6,6,1,29,50.0,100.0,2,4,5,0,0,2,-11,13,MinnesotaTimberwolves
RudyGobert,10,5,2,5,0,1,6,8,0,29,33.3,75.0,0,5,1,0,0,1,-14,8,MinnesotaTimberwolves
NickeilAlexander-Walker,8,1,1,1,2,2,0,0,3,19,100.0,0,1,0,0,1,0,3,-13,13,MinnesotaTimberwolves
JadenMcDaniels,8,1,3,7,0,3,2,2,1,27,30.0,100.0,1,0,2,1,1,5,-16,3,MinnesotaTimberwolves
LeonardMiller,7,1,2,2,1,1,0,0,0,5,100.0,0,0,1,0,0,0,0,-1,8,MinnesotaTimberwolves
KyleAnderson,7,0,2,3,0,1,3,3,1,23,50.0,100.0,0,0,2,0,0,1,-10,4,MinnesotaTimberwolves
NazReid,6,7,0,1,2,3,0,0,0,19,50.0,0,1,6,4,0,0,1,-9,7,MinnesotaTimberwolves
JordanMcLaughlin,2,4,1,4,0,1,0,0,2,14,20.0,0,2,2,1,3,0,0,-8,6,MinnesotaTimberwolves
ShakeMilton,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,-1,1,MinnesotaTimberwolves
JoshMinott,0,0,0,1,0,0,0,0,2,5,0.0,0,0,0,1,0,0,0,-1,0,MinnesotaTimberwolves
TroyBrown,0,0,0,0,0,1,0,0,1,2,0.0,0,0,0,0,0,0,0,-4,0,MinnesotaTimberwolves
WendellMoore,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,-1,-1,MinnesotaTimberwolves
MinnesotaTimberwolves,106,34,22,46,12,27,26,32,22,240,46.6,0,8,26,21,8,1,16,-115,105,MinnesotaTimberwolves
