PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ShaiGilgeous-Alexander,33,6,10,21,0,3,13,17,10,35,38.9,100.0,2,4,3,5,0,3,17,33,OklahomaCityThunder
JalenWilliams,19,4,8,17,1,3,0,0,2,32,60.0,50.0,0,4,0,2,2,1,8,18,OklahomaCityThunder
AaronWiggins,13,3,5,7,1,1,0,0,0,17,41.7,100.0,2,1,1,0,0,3,-2,13,OklahomaCityThunder
IsaiahJoe,9,1,3,3,1,2,0,0,2,20,41.7,75.0,0,1,0,0,0,2,3,11,OklahomaCityThunder
ChetHolmgren,8,10,3,4,0,2,2,4,3,32,42.9,0,1,9,1,0,6,1,8,21,OklahomaCityThunder
JoshGiddey,7,5,3,6,0,0,1,2,3,25,60.0,100.0,2,3,0,0,0,2,-2,11,OklahomaCityThunder
JaylinWilliams,7,2,2,3,1,2,0,1,1,15,50.0,0,0,2,0,1,1,1,0,9,OklahomaCityThunder
LuguentzDort,6,3,1,1,1,5,1,2,1,24,28.6,50.0,1,2,3,0,0,4,15,2,OklahomaCityThunder
KenrichWilliams,5,4,1,3,1,2,0,0,0,13,0.0,0,1,3,1,1,0,0,-18,6,OklahomaCityThunder
CasonWallace,3,4,0,0,1,2,0,0,0,12,43.0,0,0,4,2,0,0,0,-4,4,OklahomaCityThunder
VasilijeMicic,1,0,0,1,0,0,1,2,0,7,0.0,50.0,0,0,1,0,0,0,-8,-2,OklahomaCityThunder
KeyontaeJohnson,0,1,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,1,-4,2,OklahomaCityThunder
DavisBertans,0,0,0,0,0,1,0,0,0,3,0.0,0,0,0,0,0,1,0,-3,0,OklahomaCityThunder
OklahomaCityThunder,111,43,36,66,7,23,18,28,23,240,48.3,0,10,33,12,9,10,18,10,128,OklahomaCityThunder
ScootHenderson,19,4,5,12,2,6,3,3,7,26,38.9,100.0,0,4,1,1,0,5,17,19,PortlandTrailBlazers
JeramiGrant,18,5,2,5,4,5,2,4,1,30,60.0,50.0,0,5,1,1,1,0,-8,19,PortlandTrailBlazers
MalcolmBrogdon,18,2,3,8,2,4,6,6,7,35,41.7,100.0,0,2,7,0,1,2,-8,14,PortlandTrailBlazers
AnferneeSimons,17,3,1,3,4,9,3,4,5,33,41.7,75.0,0,3,4,0,1,3,-15,14,PortlandTrailBlazers
JabariWalker,14,13,4,7,2,7,0,0,0,34,42.9,0,6,7,1,0,1,0,-7,19,PortlandTrailBlazers
DuopReath,10,4,1,2,2,3,2,2,3,21,60.0,100.0,1,3,2,1,1,3,7,15,PortlandTrailBlazers
MatisseThybulle,8,3,1,1,2,5,0,0,1,20,50.0,0,1,2,0,1,1,2,8,11,PortlandTrailBlazers
DeandreAyton,5,7,2,7,0,0,1,2,2,27,28.6,50.0,2,5,3,0,0,2,-9,5,PortlandTrailBlazers
ToumaniCamara,0,5,0,2,0,0,0,0,1,14,0.0,0,2,3,0,2,0,2,5,6,PortlandTrailBlazers
PortlandTrailBlazers,109,46,19,47,18,39,17,21,27,240,43.0,0,12,34,19,6,6,19,-10,122,PortlandTrailBlazers
