PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
FranzWagner,36,3,7,10,5,12,7,10,5,44,45.8,83.3,1,2,1,0,0,3,3,30,OrlandoMagic
PaoloBanchero,19,7,3,7,2,6,7,8,8,43,48.0,50.0,1,6,3,1,1,1,1,24,OrlandoMagic
ColeAnthony,14,11,4,6,1,5,3,4,3,30,58.3,0,2,9,3,0,0,2,16,18,OrlandoMagic
JalenSuggs,13,1,2,4,3,5,0,0,1,26,23.8,100.0,0,1,3,1,0,1,-8,9,OrlandoMagic
JonathanIsaac,7,12,2,6,1,2,0,0,0,25,66.7,0,6,6,0,1,3,4,10,18,OrlandoMagic
MoritzWagner,7,1,2,2,1,1,0,0,0,9,40.0,0,0,1,2,0,0,0,2,6,OrlandoMagic
WendellCarter,6,3,3,4,0,2,0,0,1,26,33.3,50.0,0,3,1,0,1,2,-7,7,OrlandoMagic
MarkelleFultz,5,6,2,5,0,2,1,1,3,17,33.3,0,0,6,1,1,0,1,-13,9,OrlandoMagic
GogaBitadze,5,2,2,2,0,0,1,3,0,14,0,0,1,1,0,0,1,1,10,6,OrlandoMagic
GaryHarris,2,2,1,3,0,2,0,0,0,22,43.4,0,2,0,0,0,0,1,13,0,OrlandoMagic
JoeIngles,0,0,0,0,0,2,0,0,2,9,0.0,0,0,0,1,0,0,2,3,-1,OrlandoMagic
OrlandoMagic,114,52,28,49,13,39,19,26,23,265,46.6,0,15,37,17,4,6,18,30,126,OrlandoMagic
DeMarDerozan,28,4,10,20,1,4,5,6,4,44,45.8,83.3,1,3,1,0,0,3,-2,21,ChicagoBulls
NikolaVucevic,26,17,11,18,1,7,1,2,4,43,48.0,50.0,9,8,0,3,1,3,1,37,ChicagoBulls
AyoDosunmu,19,2,2,4,5,8,0,0,2,39,58.3,0,0,2,1,1,0,5,1,18,ChicagoBulls
CobyWhite,14,4,3,10,2,11,2,2,7,45,23.8,100.0,1,3,1,2,0,2,1,10,ChicagoBulls
AlexCaruso,9,8,3,4,1,2,0,0,1,36,66.7,0,3,5,2,1,4,3,-2,19,ChicagoBulls
DalenTerry,5,1,1,2,1,3,0,0,2,12,40.0,0,1,0,0,0,0,4,-9,5,ChicagoBulls
AndreDrummond,4,5,1,3,0,0,2,4,0,17,33.3,50.0,2,3,3,2,0,4,-11,4,ChicagoBulls
TorreyCraig,3,1,0,1,1,2,0,0,1,21,33.3,0,1,0,0,1,1,0,-6,5,ChicagoBulls
JulianPhillips,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,-3,1,ChicagoBulls
ChicagoBulls,108,44,31,62,12,37,10,14,21,265,43.4,0,19,25,11,10,6,24,-30,120,ChicagoBulls
