PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ColeAnthony,20,4,6,8,2,5,2,2,3,25,61.5,100.0,1,3,3,1,1,4,-6,21,OrlandoMagic
FranzWagner,15,6,5,10,0,4,5,6,5,32,35.7,83.3,0,6,0,2,1,1,-13,19,OrlandoMagic
MoritzWagner,11,7,5,8,0,0,1,1,1,18,62.5,100.0,5,2,2,0,0,5,2,14,OrlandoMagic
JalenSuggs,11,1,4,4,1,5,0,0,3,21,55.6,0.0,0,1,1,0,1,0,-23,11,OrlandoMagic
PaoloBanchero,10,8,2,9,0,3,6,8,8,34,16.7,75.0,0,8,3,1,0,1,-22,12,OrlandoMagic
JonathanIsaac,9,4,3,5,1,2,0,0,1,12,57.1,0.0,1,3,1,1,0,3,-10,11,OrlandoMagic
CalebHoustan,9,0,0,0,3,10,0,0,0,15,30.0,0.0,0,0,0,0,0,0,4,2,OrlandoMagic
WendellCarter,8,6,2,2,1,2,1,2,1,23,75.0,50.0,1,5,0,0,0,3,3,13,OrlandoMagic
ChumaOkeke,5,2,1,1,1,2,0,0,1,5,66.7,0.0,0,2,0,1,0,1,14,8,OrlandoMagic
GogaBitadze,4,6,2,3,0,0,0,0,1,12,66.7,0.0,3,3,1,0,2,0,0,11,OrlandoMagic
AnthonyBlack,4,2,2,3,0,1,0,0,4,22,50.0,0.0,1,1,0,0,0,3,2,8,OrlandoMagic
GaryHarris,0,3,0,0,0,2,0,0,1,20,0.0,0.0,3,0,0,2,0,3,4,4,OrlandoMagic
OrlandoMagic,106,53,32,53,9,36,15,19,29,240,46.1,0.0,17,36,11,8,5,24,-45,134,OrlandoMagic
TylerHerro,28,8,6,12,4,5,4,4,7,36,58.8,100.0,1,7,4,0,0,1,10,32,MiamiHeat
BamAdebayo,18,7,7,15,0,0,4,5,2,30,46.7,80.0,0,7,1,1,0,4,-6,18,MiamiHeat
HaywoodHighsmith,15,6,1,3,4,9,1,2,2,30,41.7,50.0,4,2,1,2,0,3,6,16,MiamiHeat
DuncanRobinson,12,3,3,4,1,1,3,3,6,23,80.0,100.0,0,3,1,0,0,3,16,19,MiamiHeat
ThomasBryant,12,5,5,7,0,0,2,2,1,17,71.4,100.0,3,2,2,0,0,1,20,14,MiamiHeat
JoshRichardson,12,2,0,4,4,8,0,0,4,34,33.3,0.0,0,2,0,1,1,1,7,12,MiamiHeat
JaimeJaquez,10,3,3,7,0,3,4,6,1,34,30.0,66.7,2,1,1,1,1,1,-8,6,MiamiHeat
CalebMartin,5,5,0,2,1,1,2,2,0,18,33.3,100.0,0,5,1,1,0,2,3,8,MiamiHeat
KyleLowry,3,0,0,0,1,2,0,0,2,18,50.0,0.0,0,0,0,0,0,1,2,4,MiamiHeat
OrlandoRobinson,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,-5,0,MiamiHeat
MiamiHeat,115,41,25,54,15,29,20,24,25,240,48.2,0.0,11,30,12,6,2,17,45,129,MiamiHeat
