PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JoelEmbiid,38,14,11,21,1,3,13,15,3,36,50.0,100.0,4,10,2,1,4,1,16,44,Philadelphia76ers
TyreseMaxey,30,2,4,10,4,8,10,12,7,39,41.2,100.0,0,2,0,1,1,3,-1,29,Philadelphia76ers
De&#039;AnthonyMelton,15,6,4,6,2,7,1,2,5,34,41.2,100.0,0,6,1,1,1,0,25,19,Philadelphia76ers
TobiasHarris,13,8,5,8,0,1,3,3,2,34,30.0,100.0,2,6,2,1,0,3,8,18,Philadelphia76ers
KellyOubre,11,3,3,5,1,4,2,4,1,24,50.0,75.0,2,1,0,2,1,1,1,11,Philadelphia76ers
NicolasBatum,8,4,1,1,2,3,0,0,4,29,42.9,50.0,2,2,0,0,0,1,3,15,Philadelphia76ers
PatrickBeverley,5,1,2,3,0,3,1,1,1,18,40.0,100.0,1,0,1,0,0,0,4,2,Philadelphia76ers
MarcusMorris,3,3,0,0,1,1,0,0,1,16,25.0,0,0,3,0,0,1,3,3,8,Philadelphia76ers
PaulReed,2,4,1,2,0,0,0,0,0,6,0.0,100.0,2,2,3,0,0,1,-3,2,Philadelphia76ers
MohamedBamba,0,3,0,1,0,0,0,0,0,5,0.0,0,1,2,1,0,0,1,-1,1,Philadelphia76ers
Philadelphia76ers,125,48,31,57,11,30,30,37,24,240,39.4,0,14,34,10,6,8,14,55,149,Philadelphia76ers
De&#039;AndreHunter,24,7,5,11,4,7,2,2,1,37,50.0,100.0,1,6,3,0,0,2,-13,20,AtlantaHawks
BogdanBogdanovic,20,9,4,6,3,11,3,3,2,39,41.2,100.0,1,8,2,1,0,5,-3,20,AtlantaHawks
DejounteMurray,20,4,5,12,2,5,4,4,9,36,41.2,100.0,1,3,4,1,0,1,-7,20,AtlantaHawks
SaddiqBey,16,8,3,11,3,9,1,1,1,38,30.0,100.0,5,3,0,0,0,1,2,11,AtlantaHawks
ClintCapela,15,16,6,12,0,0,3,4,2,30,50.0,75.0,10,6,2,0,1,5,-10,25,AtlantaHawks
OnyekaOkongwu,7,8,3,5,0,2,1,2,2,18,42.9,50.0,4,4,0,0,2,5,-1,14,AtlantaHawks
TrentForrest,6,1,2,5,0,0,2,2,1,13,40.0,100.0,1,0,1,0,0,2,-3,4,AtlantaHawks
PattyMills,3,1,0,1,1,3,0,0,2,17,25.0,0,0,1,1,1,1,2,1,4,AtlantaHawks
WesleyMatthews,3,0,0,2,0,1,3,3,0,10,0.0,100.0,0,0,0,0,0,0,-13,0,AtlantaHawks
GarrisonMathews,0,1,0,0,0,1,0,0,0,3,0.0,0,0,1,0,0,0,0,-8,0,AtlantaHawks
AtlantaHawks,114,55,28,65,13,39,19,21,20,240,39.4,0,23,32,13,3,4,23,-55,118,AtlantaHawks
