PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JoelEmbiid,40,14,13,22,2,6,8,9,6,37,52.9,100.0,1,13,4,0,2,5,-5,44,Philadelphia76ers
TyreseMaxey,29,5,4,12,5,11,6,6,8,39,55.6,0,2,3,3,1,0,3,11,26,Philadelphia76ers
PaulReed,8,4,3,4,0,1,2,2,1,12,33.3,83.3,2,2,0,1,1,2,-4,13,Philadelphia76ers
De&#039;AnthonyMelton,6,4,3,4,0,1,0,0,2,29,38.5,0,2,2,0,3,1,0,8,14,Philadelphia76ers
KellyOubre,6,3,1,5,1,5,1,2,0,24,36.4,0,0,3,0,1,0,3,-10,1,Philadelphia76ers
PatrickBeverley,4,3,2,4,0,2,0,0,1,19,62.5,0.0,0,3,1,0,0,1,-15,3,Philadelphia76ers
TobiasHarris,3,5,0,2,1,1,0,0,2,32,66.7,50.0,0,5,2,0,3,1,6,9,Philadelphia76ers
NicolasBatum,3,4,0,0,1,4,0,0,3,27,33.3,100.0,1,3,2,0,0,0,7,5,Philadelphia76ers
DanuelHouse,3,0,0,0,1,1,0,0,0,7,100.0,0,0,0,0,0,0,0,-3,3,Philadelphia76ers
RobertCovington,2,2,1,3,0,0,0,0,0,15,47.2,0,1,1,0,2,1,2,-15,5,Philadelphia76ers
Philadelphia76ers,104,46,27,56,11,32,17,19,23,240,43.2,0,10,36,12,8,8,17,-20,123,Philadelphia76ers
CobyWhite,24,8,7,11,2,6,4,4,9,40,52.9,100.0,1,7,2,0,1,0,0,32,ChicagoBulls
NikolaVucevic,23,8,7,11,3,7,0,0,4,34,55.6,0,3,5,2,0,2,4,-4,27,ChicagoBulls
DeMarDerozan,15,4,5,15,0,0,5,6,5,37,33.3,83.3,0,4,2,4,1,1,-5,16,ChicagoBulls
PatrickWilliams,13,6,2,9,3,4,0,0,0,37,38.5,0,0,6,0,0,1,1,-2,12,ChicagoBulls
JevonCarter,12,0,0,3,4,8,0,0,0,18,36.4,0,0,0,0,0,0,1,18,5,ChicagoBulls
AlexCaruso,10,4,5,5,0,3,0,1,4,31,62.5,0.0,0,4,2,1,2,5,18,15,ChicagoBulls
AndreDrummond,5,8,2,3,0,0,1,2,0,14,66.7,50.0,3,5,0,1,1,0,8,13,ChicagoBulls
AyoDosunmu,4,4,1,2,0,1,2,2,1,19,33.3,100.0,3,1,2,1,1,1,-23,7,ChicagoBulls
DalenTerry,2,3,1,1,0,0,0,0,1,10,100.0,0,1,2,0,0,0,2,10,6,ChicagoBulls
ChicagoBulls,108,46,30,60,12,29,12,15,24,240,47.2,0,11,35,10,7,9,15,20,133,ChicagoBulls
