PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TyreseMaxey,30,6,10,16,2,7,4,4,7,39,64.3,100.0,1,5,3,0,0,2,-3,29,Philadelphia76ers
BuddyHield,22,3,3,4,5,11,1,1,10,44,43.5,66.7,0,3,5,2,0,4,-8,25,Philadelphia76ers
PaulReed,18,12,6,11,1,1,3,3,2,39,63.6,100.0,3,9,0,0,1,3,-5,28,Philadelphia76ers
RickyCouncilIV,13,4,4,6,1,4,2,2,2,23,38.5,100.0,0,4,1,0,0,1,-2,13,Philadelphia76ers
KenyonMartin,9,5,3,5,1,2,0,0,3,28,50.0,0,1,4,2,0,0,1,-2,12,Philadelphia76ers
KellyOubre,9,3,4,7,0,4,1,2,2,33,33.3,100.0,0,3,1,1,0,6,-8,6,Philadelphia76ers
CameronPayne,2,3,1,2,0,5,0,0,3,22,50.0,0,1,2,0,0,0,1,3,2,Philadelphia76ers
MohamedBamba,1,3,0,0,0,0,1,4,0,9,50.0,0,0,3,2,0,0,2,0,-1,Philadelphia76ers
TerquavionSmith,0,0,0,0,0,1,0,0,0,3,0.0,100.0,0,0,0,0,0,0,0,-1,Philadelphia76ers
Philadelphia76ers,104,45,31,51,10,35,12,16,29,240,47.7,0,9,36,15,3,1,20,-25,113,Philadelphia76ers
BamAdebayo,23,14,9,14,0,0,5,5,4,39,64.3,100.0,4,10,2,2,0,2,1,36,MiamiHeat
TylerHerro,23,7,9,15,1,8,2,3,7,38,43.5,66.7,1,6,3,0,0,1,-1,20,MiamiHeat
DuncanRobinson,20,1,2,4,5,7,1,1,4,33,63.6,100.0,0,1,2,1,0,4,14,20,MiamiHeat
HaywoodHighsmith,16,2,1,3,4,10,2,2,1,36,38.5,100.0,1,1,1,2,1,1,6,13,MiamiHeat
JaimeJaquez,12,9,6,10,0,2,0,0,3,32,50.0,0,3,6,1,2,0,2,5,19,MiamiHeat
CalebMartin,8,1,3,5,0,4,2,2,3,25,33.3,100.0,1,0,1,2,0,2,1,7,MiamiHeat
NikolaJovic,3,3,0,0,1,2,0,0,3,14,50.0,0,0,3,2,0,0,4,-2,6,MiamiHeat
KevinLove,2,6,1,1,0,1,0,0,1,12,50.0,0,1,5,0,0,0,1,3,8,MiamiHeat
JamalCain,2,1,0,1,0,1,2,2,1,10,0.0,100.0,0,1,1,1,0,0,-2,2,MiamiHeat
MiamiHeat,109,48,31,53,11,35,14,15,27,240,47.7,0,12,36,15,10,1,17,25,131,MiamiHeat
