PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JoelEmbiid,26,11,6,15,3,3,5,5,3,31,45.0,85.7,3,8,4,0,1,2,4,28,Philadelphia76ers
KellyOubre,25,3,7,11,3,7,2,3,0,35,40.0,0,0,3,0,0,1,3,11,20,Philadelphia76ers
TyreseMaxey,22,5,7,12,2,6,2,2,10,36,28.6,50.0,2,3,3,0,1,0,25,26,Philadelphia76ers
TobiasHarris,18,10,7,9,0,1,4,4,2,34,50.0,100.0,2,8,3,1,0,4,20,25,Philadelphia76ers
De&#039;AnthonyMelton,8,2,1,3,2,7,0,2,4,25,50.0,0.0,2,0,2,1,1,3,0,5,Philadelphia76ers
FurkanKorkmaz,5,2,1,1,1,1,0,0,1,18,42.9,0,0,2,1,1,0,2,-3,8,Philadelphia76ers
PaulReed,4,5,2,4,0,0,0,0,1,15,20.0,50.0,1,4,0,0,0,3,13,8,Philadelphia76ers
RobertCovington,2,4,0,0,0,3,2,2,0,18,25.0,100.0,1,3,2,2,1,3,8,4,Philadelphia76ers
JadenSpringer,2,3,1,3,0,1,0,0,2,11,28.6,0,1,2,1,0,1,1,-6,4,Philadelphia76ers
PatrickBeverley,0,4,0,0,0,1,0,0,1,12,0,100.0,1,3,0,0,0,1,-2,4,Philadelphia76ers
MohamedBamba,0,2,0,2,0,0,0,0,0,2,0.0,100.0,2,0,0,0,0,1,-5,0,Philadelphia76ers
KenyonMartin,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,1,0,0,1,-5,-1,Philadelphia76ers
Philadelphia76ers,112,51,32,60,11,30,15,18,24,240,36.0,0,15,36,17,5,6,24,60,131,Philadelphia76ers
KevinDurant,31,8,8,16,1,4,12,14,3,36,45.0,85.7,1,7,5,1,2,1,-13,27,PhoenixSuns
EricGordon,13,1,5,11,1,4,0,0,3,34,40.0,0,0,1,1,2,2,1,-19,11,PhoenixSuns
JusufNurkic,11,9,3,8,1,6,2,4,5,23,28.6,50.0,3,6,0,1,1,2,-3,15,PhoenixSuns
DrewEubanks,10,5,2,4,0,0,6,6,4,20,50.0,100.0,2,3,0,1,1,1,-13,19,PhoenixSuns
KeitaBates-Diop,8,3,1,3,2,3,0,1,2,24,50.0,0.0,0,3,0,1,2,0,-2,12,PhoenixSuns
GraysonAllen,8,3,1,2,2,5,0,0,2,27,42.9,0,1,2,1,0,0,3,0,8,PhoenixSuns
JordanGoodwin,6,3,1,4,1,6,1,2,0,16,20.0,50.0,2,1,0,2,2,0,5,4,PhoenixSuns
YutaWatanabe,5,5,0,0,1,4,2,2,0,22,25.0,100.0,3,2,1,1,0,2,-13,7,PhoenixSuns
JoshOkogie,4,1,2,5,0,2,0,0,2,26,28.6,0,1,0,1,2,1,0,-12,4,PhoenixSuns
NassirLittle,2,1,0,0,0,0,2,2,0,4,0,100.0,1,0,0,0,0,0,3,3,PhoenixSuns
ChimezieMetu,2,1,0,0,0,1,2,2,0,5,0.0,100.0,0,1,1,0,1,0,4,2,PhoenixSuns
SabenLee,0,2,0,1,0,0,0,0,1,4,0.0,0,1,1,0,0,0,1,3,2,PhoenixSuns
PhoenixSuns,100,42,23,54,9,35,27,33,22,240,36.0,0,15,27,10,11,12,11,-60,114,PhoenixSuns
