PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TobiasHarris,37,7,11,18,3,7,6,6,3,36,56.0,100.0,3,4,3,3,0,0,19,36,Philadelphia76ers
TyreseMaxey,21,3,3,11,3,6,6,6,4,40,35.3,100.0,0,3,3,3,2,3,17,19,Philadelphia76ers
NicolasBatum,14,6,1,1,4,4,0,0,3,25,100.0,0.0,4,2,0,0,0,2,2,23,Philadelphia76ers
MohamedBamba,11,3,2,4,2,2,1,2,0,20,66.7,50.0,2,1,2,1,4,1,9,14,Philadelphia76ers
PaulReed,8,7,3,8,0,1,2,2,2,24,33.3,100.0,4,3,0,2,3,4,9,16,Philadelphia76ers
De&#039;AnthonyMelton,6,4,0,1,2,8,0,0,3,25,22.2,0.0,1,3,1,1,0,3,9,6,Philadelphia76ers
PatrickBeverley,4,9,2,4,0,4,0,0,7,27,25.0,0.0,0,9,3,0,0,2,13,11,Philadelphia76ers
DanuelHouse,4,2,1,1,0,1,2,2,1,14,50.0,100.0,0,2,0,0,0,3,12,6,Philadelphia76ers
FurkanKorkmaz,3,0,0,1,1,2,0,0,0,3,33.3,0.0,0,0,0,1,0,0,1,2,Philadelphia76ers
KenyonMartin,2,0,1,1,0,0,0,0,0,3,100.0,0.0,0,0,0,0,0,0,1,2,Philadelphia76ers
JadenSpringer,2,1,1,3,0,0,0,0,0,3,33.3,0.0,0,1,0,0,0,1,1,1,Philadelphia76ers
MarcusMorris,0,4,0,5,0,0,0,0,0,17,0.0,0.0,0,4,1,0,0,0,2,-2,Philadelphia76ers
Philadelphia76ers,112,46,25,58,15,35,17,18,23,240,43.0,0.0,14,32,13,11,9,19,95,134,Philadelphia76ers
De&#039;AaronFox,21,5,3,8,2,7,9,11,4,38,33.3,81.8,1,4,2,1,0,2,-25,17,SacramentoKings
KeeganMurray,15,8,3,7,3,7,0,1,3,35,42.9,0.0,2,6,2,1,2,2,-6,18,SacramentoKings
MalikMonk,15,1,5,10,0,7,5,6,4,27,29.4,83.3,0,1,2,2,1,1,-9,8,SacramentoKings
DomantasSabonis,14,12,6,10,0,0,2,2,5,33,60.0,100.0,5,7,4,0,0,3,-20,23,SacramentoKings
TreyLyles,5,3,1,3,1,5,0,0,0,22,25.0,0.0,2,1,0,0,0,1,-6,2,SacramentoKings
DavionMitchell,4,0,2,3,0,0,0,0,0,6,66.7,0.0,0,0,0,0,0,0,3,3,SacramentoKings
HarrisonBarnes,4,2,1,1,0,4,2,2,0,21,20.0,100.0,2,0,1,1,0,1,-11,2,SacramentoKings
JuanToscano-Anderson,3,0,0,1,1,1,0,0,0,3,50.0,0.0,0,0,0,0,0,1,-5,2,SacramentoKings
KeonEllis,3,2,0,1,1,2,0,0,0,10,33.3,0.0,0,2,2,0,0,1,-11,1,SacramentoKings
AlexLen,2,4,1,1,0,0,0,0,1,8,100.0,0.0,2,2,0,0,0,1,-1,7,SacramentoKings
JaValeMcGee,2,5,0,2,0,1,2,2,0,5,0.0,100.0,1,4,0,0,1,0,1,5,SacramentoKings
SashaVezenkov,2,5,1,4,0,1,0,0,0,9,20.0,0.0,5,0,1,0,0,0,-5,2,SacramentoKings
KesslerEdwards,2,1,1,2,0,1,0,0,0,6,33.3,0.0,1,0,0,0,0,1,3,1,SacramentoKings
ChrisDuarte,1,3,0,1,0,1,1,2,0,10,0.0,50.0,1,2,1,0,0,1,-9,0,SacramentoKings
ColbyJones,0,3,0,3,0,1,0,0,3,9,0.0,0.0,1,2,1,1,0,3,6,2,SacramentoKings
SacramentoKings,93,54,24,57,8,38,21,26,20,240,33.7,0.0,23,31,16,6,4,18,-95,93,SacramentoKings
