PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JoelEmbiid,34,10,12,15,2,5,4,4,6,30,52.9,50.0,0,10,7,2,1,4,30,40,Philadelphia76ers
TyreseMaxey,24,1,3,4,5,9,3,3,6,25,36.4,50.0,0,1,2,0,0,1,26,24,Philadelphia76ers
MarcusMorris,12,2,3,3,2,3,0,0,1,12,71.4,66.7,0,2,0,1,0,3,24,15,Philadelphia76ers
PatrickBeverley,12,2,1,2,3,4,1,1,2,11,27.3,100.0,1,1,0,0,0,2,22,14,Philadelphia76ers
TobiasHarris,10,4,1,3,1,2,5,6,6,30,60.0,100.0,0,4,0,0,0,1,21,16,Philadelphia76ers
DanuelHouse,10,1,0,0,3,4,1,2,1,9,37.5,100.0,0,1,0,0,0,0,4,10,Philadelphia76ers
RobertCovington,8,4,0,0,2,3,2,2,0,14,44.4,0,1,3,0,1,0,1,18,12,Philadelphia76ers
KellyOubre,7,5,2,4,1,4,0,0,1,18,50.0,50.0,1,4,0,1,0,3,23,9,Philadelphia76ers
MohamedBamba,6,6,2,5,0,1,2,2,2,8,50.0,50.0,3,3,0,0,2,1,5,12,Philadelphia76ers
JadenSpringer,6,0,2,4,0,1,2,2,0,9,0,100.0,0,0,1,2,0,3,4,4,Philadelphia76ers
De&#039;AnthonyMelton,5,3,1,4,1,7,0,0,5,27,25.0,0,1,2,2,5,0,3,17,7,Philadelphia76ers
PaulReed,4,6,2,2,0,0,0,1,3,13,0.0,0.0,2,4,0,0,1,3,12,13,Philadelphia76ers
NicolasBatum,4,2,2,2,0,3,0,0,1,20,0.0,0,0,2,0,1,2,0,12,7,Philadelphia76ers
KenyonMartin,2,1,1,1,0,0,0,0,1,6,42.4,0,0,1,0,0,0,1,3,4,Philadelphia76ers
FurkanKorkmaz,2,0,0,0,0,0,2,2,2,9,0,100.0,0,0,1,1,0,1,4,4,Philadelphia76ers
Philadelphia76ers,146,52,32,49,20,46,22,25,37,240,54.7,0,13,39,13,14,6,30,225,191,Philadelphia76ers
KyleKuzma,21,9,8,15,1,2,2,4,1,27,52.9,50.0,2,7,2,0,0,0,-28,19,WashingtonWizards
BilalCoulibaly,13,8,2,4,2,7,3,6,4,31,36.4,50.0,3,5,3,1,1,0,-33,14,WashingtonWizards
JaredButler,12,0,5,7,0,0,2,3,4,19,71.4,66.7,0,0,1,2,0,2,-15,14,WashingtonWizards
JordanPoole,11,0,2,8,1,3,4,4,3,26,27.3,100.0,0,0,3,0,0,1,-30,3,WashingtonWizards
PatrickBaldwinJr.,10,4,1,2,2,3,2,2,1,17,60.0,100.0,0,4,0,0,0,2,-10,13,WashingtonWizards
DeniAvdija,9,6,2,5,1,3,2,2,3,26,37.5,100.0,2,4,3,1,0,1,-31,11,WashingtonWizards
TyusJones,9,5,3,4,1,5,0,0,3,21,44.4,0,0,5,2,1,0,0,-17,11,WashingtonWizards
CoreyKispert,9,2,2,3,1,3,2,4,1,23,50.0,50.0,1,1,3,0,0,4,-21,4,WashingtonWizards
AnthonyGill,3,4,1,2,0,0,1,2,0,10,50.0,50.0,1,3,2,0,1,2,2,4,WashingtonWizards
DaniloGallinari,2,1,0,0,0,0,2,2,0,11,0,100.0,0,1,2,0,0,2,-8,1,WashingtonWizards
JulesBernard,2,1,1,2,0,2,0,0,0,6,25.0,0,1,0,1,0,0,1,-5,-1,WashingtonWizards
MikeMuscala,0,4,0,1,0,3,0,2,1,20,0.0,0.0,3,1,0,0,0,3,-25,-1,WashingtonWizards
EugeneOmoruyi,0,0,0,1,0,0,0,0,0,2,0.0,0,0,0,0,0,0,1,-4,-1,WashingtonWizards
WashingtonWizards,101,52,27,54,9,31,20,31,21,240,42.4,0,13,39,22,5,2,19,-225,91,WashingtonWizards
