PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KevinDurant,32,8,4,10,3,4,15,15,2,34,47.1,100.0,0,8,6,0,2,2,5,31,PhoenixSuns
DevinBooker,25,8,3,12,2,3,13,14,10,31,66.7,60.0,3,5,3,1,0,2,23,30,PhoenixSuns
EricGordon,13,1,1,3,3,9,2,3,4,29,40.0,100.0,0,1,2,3,0,3,9,10,PhoenixSuns
JoshOkogie,12,2,3,3,1,2,3,4,0,27,36.4,75.0,1,1,1,1,1,1,-1,13,PhoenixSuns
NassirLittle,10,5,4,6,0,3,2,2,3,27,44.4,50.0,1,4,0,2,0,1,-9,15,PhoenixSuns
JusufNurkic,9,5,4,7,0,1,1,2,0,17,50.0,0.0,3,2,0,0,0,4,8,9,PhoenixSuns
GraysonAllen,9,3,0,0,1,4,6,8,3,34,42.9,50.0,1,2,2,1,0,5,13,9,PhoenixSuns
DrewEubanks,6,6,2,4,0,0,2,2,0,16,50.0,100.0,1,5,0,0,3,1,3,13,PhoenixSuns
ChimezieMetu,4,2,2,2,0,1,0,0,0,12,60.0,0,0,2,0,0,2,2,-10,7,PhoenixSuns
KeitaBates-Diop,3,3,0,1,1,1,0,2,0,13,66.7,40.0,1,2,1,1,0,1,4,3,PhoenixSuns
JordanGoodwin,0,0,0,0,0,0,0,0,0,1,33.3,50.0,0,0,0,0,0,0,-5,0,PhoenixSuns
PhoenixSuns,123,45,23,48,11,28,44,52,22,240,100.0,0,12,33,15,9,8,22,40,140,PhoenixSuns
KlayThompson,23,3,2,7,6,10,1,1,1,25,47.1,100.0,1,2,2,0,1,3,-24,17,GoldenStateWarriors
DarioSaric,17,6,4,6,2,3,3,5,4,22,66.7,60.0,2,4,1,2,0,4,12,23,GoldenStateWarriors
StephenCurry,16,3,5,7,1,8,3,3,6,28,40.0,100.0,0,3,2,0,0,2,-17,14,GoldenStateWarriors
AndrewWiggins,11,4,4,8,0,3,3,4,1,25,36.4,75.0,2,2,2,0,1,1,-14,7,GoldenStateWarriors
BrandinPodziemski,10,4,3,6,1,3,1,2,2,23,44.4,50.0,2,2,0,3,0,1,20,13,GoldenStateWarriors
MosesMoody,8,9,4,7,0,1,0,1,1,23,50.0,0.0,1,8,1,0,1,5,-3,13,GoldenStateWarriors
JonathanKuminga,7,1,3,6,0,1,1,2,2,21,42.9,50.0,0,1,0,1,0,5,-1,6,GoldenStateWarriors
ChrisPaul,6,2,1,1,0,1,4,4,6,17,50.0,100.0,0,2,1,0,0,1,-18,12,GoldenStateWarriors
KevonLooney,6,6,3,5,0,0,0,0,2,17,60.0,0,1,5,2,1,0,4,-5,11,GoldenStateWarriors
TrayceJackson-Davis,6,4,2,3,0,0,2,5,0,15,66.7,40.0,2,2,1,1,0,3,-5,6,GoldenStateWarriors
CoryJoseph,3,0,1,1,0,2,1,2,4,16,33.3,50.0,0,0,1,2,0,3,12,5,GoldenStateWarriors
GuiSantos,2,1,1,1,0,0,0,0,0,8,100.0,0,0,1,2,0,0,2,3,1,GoldenStateWarriors
GoldenStateWarriors,115,45,33,58,10,32,19,29,29,240,47.8,0,12,33,16,10,3,34,-40,128,GoldenStateWarriors
