PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KevinDurant,40,9,14,18,4,7,0,0,2,40,60.0,50.0,1,8,2,0,3,4,7,45,PhoenixSuns
DevinBooker,26,6,8,17,1,7,7,9,8,36,100.0,50.0,1,5,2,2,0,2,14,23,PhoenixSuns
BradleyBeal,25,4,11,15,0,1,3,3,3,38,42.9,100.0,1,3,2,1,0,4,11,26,PhoenixSuns
GraysonAllen,13,2,2,3,3,4,0,0,2,32,50.0,50.0,1,1,0,1,0,1,3,16,PhoenixSuns
JusufNurkic,4,13,2,2,0,0,0,0,4,19,45.5,50.0,0,13,6,0,1,6,11,16,PhoenixSuns
EricGordon,4,3,1,1,0,5,2,2,2,30,66.7,0,0,3,2,0,1,2,13,3,PhoenixSuns
DrewEubanks,3,2,1,1,0,0,1,2,0,11,33.3,75.0,0,2,1,0,0,2,-1,3,PhoenixSuns
ChimezieMetu,2,1,0,0,0,0,2,2,1,7,28.6,33.3,0,1,0,1,0,2,-6,5,PhoenixSuns
JoshOkogie,0,2,0,0,0,1,0,0,2,15,25.0,100.0,1,1,0,1,0,0,-14,4,PhoenixSuns
KeitaBates-Diop,0,2,0,0,0,0,0,0,1,12,25.0,0,1,1,1,1,0,1,-3,3,PhoenixSuns
PhoenixSuns,117,47,39,57,8,25,15,18,25,240,12.5,50.0,6,41,18,7,5,24,35,144,PhoenixSuns
BuddyHield,18,4,1,2,5,8,1,2,3,31,60.0,50.0,1,3,0,1,0,2,-20,21,IndianaPacers
JalenSmith,15,4,2,2,3,3,2,4,1,19,100.0,50.0,2,2,1,1,2,0,11,20,IndianaPacers
PascalSiakam,15,4,5,11,1,3,2,2,7,30,42.9,100.0,2,2,3,0,0,6,-9,15,IndianaPacers
ObiToppin,13,6,6,10,0,2,1,2,1,26,50.0,50.0,2,4,0,0,0,1,4,13,IndianaPacers
MylesTurner,12,2,4,9,1,2,1,2,1,19,45.5,50.0,1,1,1,0,2,1,-25,9,IndianaPacers
JaraceWalker,10,9,2,3,2,3,0,0,1,18,66.7,0,3,6,1,1,0,0,3,18,IndianaPacers
AndrewNembhard,9,0,3,9,0,0,3,4,6,25,33.3,75.0,0,0,4,1,0,3,2,5,IndianaPacers
AaronNesmith,6,3,1,2,1,5,1,3,1,26,28.6,33.3,1,2,0,1,0,4,-9,4,IndianaPacers
BenSheppard,4,4,1,3,0,1,2,2,4,20,25.0,100.0,2,2,0,2,0,3,10,11,IndianaPacers
T.J.McConnell,4,1,2,8,0,0,0,0,3,12,25.0,0,0,1,1,2,0,0,-9,3,IndianaPacers
BennedictMathurin,4,3,0,4,1,4,1,2,0,14,12.5,50.0,0,3,0,0,0,0,7,-1,IndianaPacers
IndianaPacers,110,43,27,63,14,31,14,23,28,240,43.6,0,16,27,11,9,4,20,-35,118,IndianaPacers
