PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KevinDurant,26,4,7,7,1,4,9,9,7,29,72.7,100.0,0,4,2,1,1,1,30,34,PhoenixSuns
EricGordon,21,2,6,7,3,7,0,0,4,26,64.3,0.0,0,2,0,1,0,1,23,23,PhoenixSuns
GraysonAllen,17,4,3,3,3,7,2,2,3,31,60.0,100.0,0,4,3,2,0,2,22,19,PhoenixSuns
DrewEubanks,12,5,6,7,0,0,0,0,2,19,85.7,0.0,2,3,0,0,2,3,11,20,PhoenixSuns
JordanGoodwin,12,5,0,4,2,5,6,6,5,25,22.2,100.0,2,3,2,1,0,2,3,14,PhoenixSuns
JusufNurkic,10,7,3,6,0,2,4,6,6,23,37.5,66.7,2,5,2,2,1,3,15,17,PhoenixSuns
YutaWatanabe,7,4,1,3,1,4,2,2,0,21,28.6,100.0,1,3,0,2,1,2,2,9,PhoenixSuns
JoshOkogie,7,1,2,2,0,2,3,3,0,23,50.0,100.0,0,1,0,0,0,3,25,6,PhoenixSuns
NassirLittle,6,1,3,3,0,5,0,0,0,21,37.5,0.0,0,1,0,1,0,2,-1,3,PhoenixSuns
UdokaAzubuike,2,3,1,1,0,0,0,0,0,6,100.0,0.0,0,3,0,0,0,0,-4,5,PhoenixSuns
SabenLee,2,0,1,1,0,1,0,0,2,4,50.0,0.0,0,0,0,0,1,0,-4,4,PhoenixSuns
ChimezieMetu,2,1,1,2,0,0,0,0,1,3,50.0,0.0,0,1,0,0,0,0,-4,3,PhoenixSuns
KeitaBates-Diop,2,1,1,2,0,0,0,0,1,6,50.0,0.0,0,1,0,0,0,0,-4,3,PhoenixSuns
BolBol,0,1,0,0,0,0,0,0,0,4,0.0,0.0,0,1,2,0,1,0,-4,0,PhoenixSuns
PhoenixSuns,126,39,35,48,10,37,26,28,31,240,52.9,0.0,7,32,11,10,7,19,110,160,PhoenixSuns
LauriMarkkanen,19,3,2,6,5,7,0,0,0,28,53.8,0.0,0,3,1,1,2,1,-21,18,UtahJazz
CollinSexton,14,2,4,8,0,0,6,6,6,23,50.0,100.0,1,1,2,0,0,1,-7,16,UtahJazz
SimoneFontecchio,13,3,2,2,3,6,0,0,0,18,62.5,0.0,1,2,2,0,1,1,6,12,UtahJazz
KeyonteGeorge,12,7,2,4,2,8,2,2,6,27,33.3,100.0,2,5,2,1,0,0,-8,16,UtahJazz
JohnCollins,11,10,4,6,1,3,0,0,3,28,55.6,0.0,5,5,1,0,0,3,-28,19,UtahJazz
KellyOlynyk,9,6,4,4,0,1,1,1,3,16,80.0,100.0,2,4,1,0,0,2,-5,16,UtahJazz
JordanClarkson,7,2,3,7,0,3,1,1,2,22,30.0,100.0,1,1,5,0,0,3,-26,-1,UtahJazz
LukaSamanic,5,1,1,3,1,1,0,0,0,6,50.0,0.0,0,1,0,1,0,0,4,5,UtahJazz
OmerYurtseven,4,4,2,2,0,1,0,0,1,6,66.7,0.0,1,3,0,0,0,0,4,8,UtahJazz
KrisDunn,4,2,2,6,0,1,0,0,3,20,28.6,0.0,0,2,1,2,0,2,4,5,UtahJazz
TalenHorton-Tucker,4,0,1,4,0,3,2,4,1,16,14.3,50.0,0,0,0,1,0,4,-13,-2,UtahJazz
WalkerKessler,2,5,1,2,0,2,0,0,1,23,25.0,0.0,2,3,3,0,1,3,-17,3,UtahJazz
OchaiAgbaji,0,0,0,0,0,1,0,0,0,6,0.0,0.0,0,0,0,0,1,0,-3,0,UtahJazz
UtahJazz,104,45,28,54,12,37,12,14,26,240,44.0,0.0,15,30,18,6,5,20,-110,115,UtahJazz
