PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KevinDurant,28,5,11,22,0,2,6,9,5,35,76.9,85.7,3,2,2,1,1,1,-2,22,PhoenixSuns
DevinBooker,27,4,7,13,3,11,4,5,8,41,60.0,0,0,4,5,1,1,4,2,21,PhoenixSuns
EricGordon,13,2,3,3,2,6,1,2,1,30,31.8,0.0,0,2,1,1,0,0,12,11,PhoenixSuns
DrewEubanks,12,5,5,7,0,0,2,2,0,17,29.4,100.0,1,4,2,1,1,0,10,15,PhoenixSuns
GraysonAllen,11,4,1,2,1,6,6,6,3,33,33.3,75.0,1,3,1,2,2,2,-4,15,PhoenixSuns
JusufNurkic,6,17,2,6,0,1,2,4,5,30,50.0,100.0,3,14,2,1,1,5,-6,21,PhoenixSuns
JordanGoodwin,6,8,3,4,0,3,0,0,6,20,28.6,0,3,5,2,0,0,2,17,14,PhoenixSuns
NassirLittle,5,7,1,1,1,2,0,0,1,23,22.2,0,2,5,1,0,0,2,-9,11,PhoenixSuns
ChimezieMetu,4,2,1,1,0,0,2,2,0,9,25.0,100.0,0,2,1,1,0,0,0,6,PhoenixSuns
PhoenixSuns,112,56,34,59,7,31,23,30,29,240,0,0,14,42,17,8,6,16,20,136,PhoenixSuns
DanielGafford,26,17,10,13,0,0,6,7,3,35,76.9,85.7,7,10,1,0,2,4,4,43,WashingtonWizards
TyusJones,22,4,5,9,4,6,0,0,11,39,60.0,0,0,4,1,6,1,0,6,37,WashingtonWizards
KyleKuzma,17,7,4,9,3,13,0,2,2,34,31.8,0.0,1,6,2,0,2,6,0,9,WashingtonWizards
JordanPoole,14,4,3,8,2,9,2,2,4,32,29.4,100.0,0,4,4,1,0,4,4,7,WashingtonWizards
DeniAvdija,7,6,2,5,0,1,3,4,2,32,33.3,75.0,0,6,2,0,0,5,7,8,WashingtonWizards
DaniloGallinari,6,1,0,0,1,2,3,3,0,12,50.0,100.0,0,1,0,1,0,0,-10,7,WashingtonWizards
BilalCoulibaly,6,1,0,1,2,6,0,0,1,20,28.6,0,0,1,0,0,0,3,-11,3,WashingtonWizards
CoreyKispert,6,0,0,2,2,7,0,0,1,25,22.2,0,0,0,0,0,1,2,-16,1,WashingtonWizards
MikeMuscala,4,4,1,2,0,2,2,2,0,10,25.0,100.0,2,2,0,0,0,1,-4,5,WashingtonWizards
AnthonyGill,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,WashingtonWizards
EugeneOmoruyi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,WashingtonWizards
WashingtonWizards,108,48,25,49,14,46,16,20,24,240,41.1,0,12,36,10,8,6,25,-20,120,WashingtonWizards
