PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
AnferneeSimons,30,5,6,11,4,10,6,6,8,36,39.3,87.5,2,3,6,1,0,4,-10,27,PortlandTrailBlazers
ShaedonSharpe,24,9,2,5,5,10,5,6,5,32,60.0,75.0,2,7,2,1,0,4,1,28,PortlandTrailBlazers
ToumaniCamara,14,9,4,10,2,10,0,0,0,32,58.3,100.0,6,3,0,1,0,5,-23,10,PortlandTrailBlazers
DuopReath,10,6,2,3,2,6,0,0,1,21,50.0,50.0,2,4,1,2,0,4,2,13,PortlandTrailBlazers
JabariWalker,10,3,2,7,1,3,3,3,2,27,66.7,100.0,1,2,0,0,0,2,-15,8,PortlandTrailBlazers
ScootHenderson,10,3,4,11,0,6,2,3,3,30,83.3,0,1,2,4,0,0,4,-19,-2,PortlandTrailBlazers
MatisseThybulle,9,8,0,2,3,5,0,0,1,36,40.0,100.0,3,5,2,3,1,0,-11,16,PortlandTrailBlazers
KrisMurray,5,5,1,3,1,3,0,0,0,18,50.0,100.0,1,4,0,1,0,0,7,7,PortlandTrailBlazers
JustinMinaya,0,0,0,0,0,0,0,0,0,8,33.3,0,0,0,0,0,0,1,3,0,PortlandTrailBlazers
PortlandTrailBlazers,112,48,21,52,18,53,16,18,20,240,100.0,0,18,30,15,9,1,24,-65,107,PortlandTrailBlazers
LukaDoncic,32,6,8,14,3,14,7,8,10,41,39.3,87.5,0,6,5,1,1,1,13,27,DallasMavericks
DanteExum,23,6,7,13,2,2,3,4,7,33,60.0,75.0,2,4,1,0,0,3,2,28,DallasMavericks
TimHardawayJr.,20,4,3,3,4,9,2,2,0,37,58.3,100.0,0,4,1,0,0,4,15,18,DallasMavericks
DerrickJones,14,8,5,5,1,7,1,2,1,39,50.0,50.0,4,4,1,2,2,2,21,19,DallasMavericks
KyrieIrving,11,2,4,6,0,0,3,3,2,13,66.7,100.0,0,2,0,1,0,1,-10,14,DallasMavericks
DereckLively,10,9,5,6,0,0,0,0,2,28,83.3,0,1,8,2,1,2,4,6,21,DallasMavericks
SethCurry,7,2,0,1,2,4,1,1,1,18,40.0,100.0,1,1,1,0,0,1,14,6,DallasMavericks
DwightPowell,4,2,1,2,0,0,2,2,3,12,50.0,100.0,1,1,1,3,0,5,6,10,DallasMavericks
A.J.Lawson,2,1,1,1,0,2,0,0,0,7,33.3,0,0,1,0,0,0,1,-4,1,DallasMavericks
MarkieffMorris,2,1,1,1,0,0,0,0,0,7,100.0,0,0,1,3,0,0,1,1,0,DallasMavericks
Olivier-MaxenceProsper,0,1,0,0,0,1,0,0,0,5,0.0,0,0,1,0,0,0,0,1,0,DallasMavericks
DallasMavericks,125,42,35,52,12,39,19,22,26,240,51.6,0,9,33,15,8,5,23,65,144,DallasMavericks
