PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JeramiGrant,30,7,8,10,3,9,5,5,6,41,68.8,100.0,1,6,3,1,0,4,-13,33,PortlandTrailBlazers
AnferneeSimons,24,3,9,15,0,5,6,6,7,36,75.0,75.0,0,3,4,1,0,3,-1,20,PortlandTrailBlazers
ScootHenderson,14,1,3,5,1,4,5,5,2,22,66.7,100.0,0,1,1,1,0,2,0,12,PortlandTrailBlazers
ShaedonSharpe,12,5,1,5,3,5,1,1,1,27,71.4,0.0,1,4,2,1,0,3,0,11,PortlandTrailBlazers
ToumaniCamara,11,3,0,1,3,3,2,4,0,22,50.0,100.0,1,2,1,2,0,2,-5,12,PortlandTrailBlazers
DeandreAyton,8,8,4,8,0,0,0,0,1,33,50.0,100.0,3,5,1,0,1,0,-3,13,PortlandTrailBlazers
MalcolmBrogdon,8,1,1,3,2,5,0,0,5,27,16.7,75.0,0,1,0,0,0,1,-2,9,PortlandTrailBlazers
JabariWalker,4,5,1,3,0,0,2,2,0,15,42.9,0,2,3,1,1,1,4,0,8,PortlandTrailBlazers
MatisseThybulle,3,4,0,0,1,4,0,0,1,18,28.6,0,1,3,0,3,2,1,4,10,PortlandTrailBlazers
PortlandTrailBlazers,114,39,27,50,13,35,21,23,23,240,40.0,0,10,29,13,10,4,20,-20,128,PortlandTrailBlazers
KlayThompson,28,4,6,6,5,10,1,1,1,29,68.8,100.0,0,4,1,1,0,3,-5,28,GoldenStateWarriors
AndrewWiggins,25,7,5,6,4,6,3,4,2,29,75.0,75.0,0,7,0,1,1,2,-3,32,GoldenStateWarriors
TrayceJackson-Davis,14,8,6,9,0,0,2,2,3,18,66.7,100.0,5,3,2,2,1,2,8,23,GoldenStateWarriors
JonathanKuminga,12,4,3,4,2,3,0,4,0,19,71.4,0.0,2,2,1,1,0,3,4,10,GoldenStateWarriors
BrandinPodziemski,10,5,4,6,0,2,2,2,5,33,50.0,100.0,0,5,1,1,0,3,1,16,GoldenStateWarriors
DarioSaric,8,1,0,1,2,3,2,2,1,15,50.0,100.0,0,1,2,0,0,3,-2,6,GoldenStateWarriors
StephenCurry,7,2,2,4,0,8,3,4,8,31,16.7,75.0,0,2,4,1,1,1,14,4,GoldenStateWarriors
MosesMoody,6,4,3,5,0,2,0,0,1,19,42.9,0,2,2,1,1,0,0,9,7,GoldenStateWarriors
ChrisPaul,4,4,2,3,0,4,0,0,8,32,28.6,0,1,3,2,1,0,1,-4,10,GoldenStateWarriors
KevonLooney,4,4,2,5,0,0,0,0,2,15,40.0,0,1,3,0,1,1,2,-2,9,GoldenStateWarriors
GoldenStateWarriors,118,47,33,49,13,38,13,19,31,240,52.9,0,13,34,14,10,4,20,20,145,GoldenStateWarriors
