PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JeramiGrant,27,3,6,9,4,13,3,4,3,38,48.1,100.0,2,1,2,0,0,3,-22,18,PortlandTrailBlazers
MalcolmBrogdon,18,7,4,12,2,8,4,4,11,39,61.1,66.7,3,4,1,1,0,2,-17,22,PortlandTrailBlazers
ShaedonSharpe,18,8,4,7,3,8,1,3,3,41,55.6,100.0,1,7,3,1,1,1,-16,18,PortlandTrailBlazers
ToumaniCamara,8,6,1,2,2,3,0,0,2,24,44.4,0,3,3,3,1,0,1,-4,12,PortlandTrailBlazers
SkylarMays,7,1,1,4,1,5,2,2,2,16,50.0,100.0,0,1,0,2,0,3,9,5,PortlandTrailBlazers
DeandreAyton,6,11,3,9,0,0,0,0,0,35,37.5,0,2,9,3,2,1,4,-18,11,PortlandTrailBlazers
MatisseThybulle,6,3,0,0,2,3,0,0,1,19,50.0,50.0,0,3,1,1,2,1,0,11,PortlandTrailBlazers
JabariWalker,5,5,2,4,0,5,1,1,1,16,66.7,0.0,3,2,0,3,1,2,4,8,PortlandTrailBlazers
RobertWilliams,5,3,2,3,0,0,1,1,0,11,40.0,0,2,1,1,0,0,4,4,6,PortlandTrailBlazers
PortlandTrailBlazers,100,47,23,50,14,45,12,15,23,240,0,0,16,31,14,11,5,21,-60,111,PortlandTrailBlazers
DesmondBane,30,8,10,18,3,9,1,1,5,34,48.1,100.0,0,8,3,1,0,5,8,27,MemphisGrizzlies
JarenJacksonJr.,27,7,10,14,1,4,4,6,2,37,61.1,66.7,3,4,2,1,1,1,11,27,MemphisGrizzlies
LukeKennard,15,5,1,3,4,6,1,1,2,32,55.6,100.0,0,5,1,1,0,0,30,18,MemphisGrizzlies
MarcusSmart,10,2,2,4,2,5,0,0,5,29,44.4,0,0,2,3,2,0,3,10,11,MemphisGrizzlies
BismackBiyombo,8,11,3,6,0,0,2,2,4,26,50.0,100.0,5,6,2,0,3,5,18,21,MemphisGrizzlies
SantiagoAldama,7,5,2,5,1,3,0,0,3,20,37.5,0,1,4,2,0,0,0,-4,8,MemphisGrizzlies
ZiaireWilliams,6,7,1,2,1,2,1,2,1,28,50.0,50.0,1,6,2,0,1,2,-17,10,MemphisGrizzlies
KennyLofton,5,2,1,1,1,2,0,1,3,10,66.7,0.0,0,2,0,0,1,0,4,9,MemphisGrizzlies
DavidRoddy,4,2,2,4,0,1,0,0,0,13,40.0,0,0,2,0,1,0,1,5,4,MemphisGrizzlies
JacobGilyard,0,0,0,0,0,0,0,0,2,11,0,0,0,0,1,0,1,1,-5,2,MemphisGrizzlies
MemphisGrizzlies,112,49,32,57,13,32,9,13,27,240,50.6,0,10,39,16,6,7,18,60,137,MemphisGrizzlies
