PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JeramiGrant,20,2,4,10,2,4,6,6,0,33,57.1,87.5,1,1,0,0,1,2,-19,15,PortlandTrailBlazers
ScootHenderson,15,1,5,8,0,4,5,6,4,31,61.5,100.0,0,1,3,1,0,1,-17,10,PortlandTrailBlazers
ToumaniCamara,13,5,4,4,1,1,2,3,2,18,54.5,100.0,1,4,1,0,2,2,-7,20,PortlandTrailBlazers
AnferneeSimons,12,5,1,7,3,8,1,1,6,33,50.0,100.0,0,5,5,0,0,5,-18,7,PortlandTrailBlazers
JabariWalker,8,4,3,5,0,1,2,2,1,24,62.5,100.0,1,3,0,1,0,1,-24,11,PortlandTrailBlazers
KrisMurray,6,4,1,2,1,3,1,4,0,12,57.1,75.0,1,3,2,0,0,1,-14,2,PortlandTrailBlazers
DuopReath,6,3,1,4,1,5,1,2,0,17,50.0,0,3,0,1,0,0,1,-14,0,PortlandTrailBlazers
DalanoBanton,4,2,1,4,0,0,2,4,0,18,66.7,0,0,2,1,2,0,1,-12,2,PortlandTrailBlazers
IbouBadji,3,2,1,2,0,0,1,2,1,11,25.0,0,1,1,1,0,1,1,-14,4,PortlandTrailBlazers
DeandreAyton,2,4,1,5,0,0,0,0,3,20,16.7,0,0,4,1,3,1,6,-9,8,PortlandTrailBlazers
AshtonHagans,2,1,1,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,-6,3,PortlandTrailBlazers
JustinMinaya,0,2,0,0,0,1,0,0,1,5,0.0,0,1,1,0,0,0,0,-6,2,PortlandTrailBlazers
MatisseThybulle,0,0,0,2,0,2,0,0,0,11,0.0,0,0,0,0,1,0,2,-25,-3,PortlandTrailBlazers
PortlandTrailBlazers,91,38,23,54,8,29,21,30,18,240,51.7,0,10,28,15,8,5,23,-185,81,PortlandTrailBlazers
AnthonyEdwards,34,6,9,14,3,7,7,8,7,33,57.1,87.5,1,5,1,2,1,1,36,39,MinnesotaTimberwolves
Karl-AnthonyTowns,23,8,7,11,1,2,6,6,1,30,61.5,100.0,2,6,3,1,2,3,22,27,MinnesotaTimberwolves
JadenMcDaniels,17,5,5,7,1,4,4,4,1,28,54.5,100.0,1,4,2,2,0,2,22,18,MinnesotaTimberwolves
MikeConley,12,4,1,2,2,4,4,4,3,22,50.0,100.0,2,2,0,1,0,1,6,17,MinnesotaTimberwolves
MonteMorris,12,1,4,4,1,4,1,1,3,15,62.5,100.0,0,1,1,1,0,0,-4,13,MinnesotaTimberwolves
RudyGobert,11,12,4,7,0,0,3,4,2,26,57.1,75.0,2,10,3,0,2,4,19,20,MinnesotaTimberwolves
NazReid,10,3,2,6,2,2,0,0,0,22,50.0,0,1,2,0,0,0,4,16,9,MinnesotaTimberwolves
DaishenNix,5,0,1,1,1,2,0,0,0,5,66.7,0,0,0,0,1,0,1,6,5,MinnesotaTimberwolves
KyleAnderson,2,7,1,4,0,0,0,0,3,21,25.0,0,2,5,2,0,0,1,16,7,MinnesotaTimberwolves
NickeilAlexander-Walker,2,2,1,2,0,4,0,0,1,21,16.7,0,0,2,1,0,0,3,26,-1,MinnesotaTimberwolves
JoshMinott,0,4,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,6,4,MinnesotaTimberwolves
LeonardMiller,0,0,0,1,0,0,0,0,2,5,0.0,0,0,0,0,0,0,0,8,1,MinnesotaTimberwolves
JordanMcLaughlin,0,0,0,0,0,1,0,0,1,6,0.0,0,0,0,0,0,0,2,6,0,MinnesotaTimberwolves
MinnesotaTimberwolves,128,55,35,59,11,30,25,27,24,240,51.7,0,11,44,14,8,5,22,185,159,MinnesotaTimberwolves
