PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JeramiGrant,14,0,3,7,1,5,5,6,1,27,33.3,83.3,0,0,2,1,0,1,-25,5,PortlandTrailBlazers
JabariWalker,13,7,5,10,1,5,0,1,2,22,40.0,0.0,3,4,3,1,0,2,-21,10,PortlandTrailBlazers
DeandreAyton,11,5,5,7,0,0,1,2,2,24,71.4,50.0,2,3,2,1,1,0,-26,15,PortlandTrailBlazers
SkylarMays,11,2,2,3,2,6,1,2,7,26,44.4,50.0,0,2,3,2,0,0,-37,13,PortlandTrailBlazers
KrisMurray,8,2,1,2,1,2,3,4,0,21,50.0,75.0,1,1,1,1,0,3,-10,7,PortlandTrailBlazers
ShaedonSharpe,7,4,2,7,1,1,0,0,1,24,37.5,0.0,2,2,1,0,0,3,-20,6,PortlandTrailBlazers
JustinMinaya,7,2,0,2,2,4,1,2,0,13,33.3,50.0,2,0,0,0,1,0,-7,5,PortlandTrailBlazers
ToumaniCamara,6,2,3,3,0,2,0,0,0,15,60.0,0.0,0,2,1,0,0,4,-15,5,PortlandTrailBlazers
RayanRupert,4,1,0,2,1,3,1,2,1,12,20.0,50.0,1,0,1,1,0,0,-8,1,PortlandTrailBlazers
DuopReath,4,2,1,4,0,2,2,2,0,12,16.7,100.0,0,2,1,0,0,2,-9,0,PortlandTrailBlazers
MatisseThybulle,2,1,1,1,0,2,0,0,2,19,33.3,0.0,0,1,0,2,0,0,-27,5,PortlandTrailBlazers
JamareeBouyea,2,2,1,2,0,2,0,0,5,16,25.0,0.0,1,1,2,0,0,0,-6,4,PortlandTrailBlazers
MosesBrown,2,1,1,1,0,0,0,0,0,7,100.0,0.0,1,0,0,1,0,0,-4,4,PortlandTrailBlazers
PortlandTrailBlazers,91,33,25,51,9,34,14,21,21,240,40.0,0.0,15,18,17,10,2,15,-215,80,PortlandTrailBlazers
ShaiGilgeous-Alexander,28,3,9,12,1,1,7,7,4,23,76.9,100.0,0,3,3,1,0,2,26,30,OklahomaCityThunder
ChetHolmgren,16,6,4,4,2,2,2,2,0,20,100.0,100.0,0,6,0,0,2,1,10,24,OklahomaCityThunder
IsaiahJoe,15,1,0,0,5,6,0,0,1,14,83.3,0.0,0,1,1,1,0,0,20,16,OklahomaCityThunder
AaronWiggins,13,5,2,4,2,3,3,3,1,16,57.1,100.0,2,3,2,3,0,1,11,17,OklahomaCityThunder
LindyWaters,12,3,0,0,4,7,0,0,1,16,57.1,0.0,0,3,0,0,0,0,6,13,OklahomaCityThunder
LuguentzDort,12,0,2,3,2,3,2,2,1,23,66.7,100.0,0,0,0,0,0,1,27,11,OklahomaCityThunder
TreMann,7,5,2,4,1,3,0,0,2,24,42.9,0.0,2,3,3,0,0,1,17,7,OklahomaCityThunder
JaylinWilliams,6,7,3,4,0,1,0,0,3,18,60.0,0.0,3,4,1,1,0,3,23,14,OklahomaCityThunder
JoshGiddey,6,4,3,6,0,0,0,0,5,23,50.0,0.0,0,4,4,1,0,1,12,9,OklahomaCityThunder
OlivierSarr,6,2,0,2,2,3,0,0,0,10,40.0,0.0,1,1,0,0,0,4,10,5,OklahomaCityThunder
AleksejPokusevski,5,3,1,2,1,1,0,0,4,9,66.7,0.0,2,1,0,0,0,1,9,11,OklahomaCityThunder
KenrichWilliams,3,1,0,1,1,1,0,0,3,8,50.0,0.0,0,1,0,0,0,2,11,6,OklahomaCityThunder
DavisBertans,3,2,0,0,1,5,0,0,2,11,20.0,0.0,0,2,0,0,1,0,11,4,OklahomaCityThunder
CasonWallace,2,1,1,2,0,0,0,0,0,21,50.0,0.0,0,1,1,1,0,1,19,2,OklahomaCityThunder
VasilijeMicic,0,0,0,1,0,0,0,0,1,6,0.0,0.0,0,0,2,0,0,0,3,-2,OklahomaCityThunder
OklahomaCityThunder,134,48,27,45,22,36,14,14,28,240,60.5,0.0,14,34,20,8,3,18,215,167,OklahomaCityThunder
