PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ScootHenderson,23,2,7,14,2,7,3,3,10,35,64.7,100.0,0,2,4,1,0,1,0,20,PortlandTrailBlazers
ToumaniCamara,18,6,4,6,3,4,1,2,0,24,87.5,100.0,4,2,1,0,0,3,-24,19,PortlandTrailBlazers
DuopReath,15,5,3,5,3,6,0,0,0,13,47.4,83.3,2,3,0,1,1,1,21,17,PortlandTrailBlazers
DeandreAyton,14,9,6,13,0,0,2,2,0,21,58.3,0,5,4,4,1,1,2,-13,14,PortlandTrailBlazers
JabariWalker,13,9,5,8,0,2,3,5,1,28,83.3,0,4,5,0,1,0,0,13,17,PortlandTrailBlazers
AnferneeSimons,9,1,1,2,2,6,1,2,6,22,44.4,0,0,1,2,1,0,1,-24,9,PortlandTrailBlazers
MalcolmBrogdon,9,0,0,0,3,6,0,2,1,14,37.5,0,0,0,0,0,0,0,-8,5,PortlandTrailBlazers
KrisMurray,6,5,0,2,2,5,0,0,3,17,28.6,0,3,2,0,2,1,0,24,12,PortlandTrailBlazers
ShaedonSharpe,4,7,1,7,0,5,2,2,2,27,16.7,0,2,5,0,0,1,3,-23,3,PortlandTrailBlazers
MatisseThybulle,3,3,0,1,1,4,0,0,2,17,0,0,0,3,0,1,0,1,-24,5,PortlandTrailBlazers
SkylarMays,0,1,0,0,0,0,0,0,5,17,53.3,0,1,0,0,1,0,0,24,7,PortlandTrailBlazers
MosesBrown,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,-6,1,PortlandTrailBlazers
PortlandTrailBlazers,114,52,27,58,16,45,12,18,30,240,41.7,0,24,28,12,9,4,12,-40,129,PortlandTrailBlazers
CollinSexton,27,2,9,12,2,5,3,3,4,32,64.7,100.0,1,1,2,1,0,2,17,26,UtahJazz
SimoneFontecchio,24,5,2,3,5,5,5,5,0,25,87.5,100.0,1,4,0,1,0,0,24,29,UtahJazz
TalenHorton-Tucker,23,2,9,13,0,6,5,6,4,30,47.4,83.3,1,1,3,4,0,2,31,19,UtahJazz
OchaiAgbaji,16,3,5,6,2,6,0,0,2,26,58.3,0,0,3,1,0,0,3,-17,15,UtahJazz
WalkerKessler,10,10,5,5,0,1,0,0,4,26,83.3,0,2,8,1,1,7,0,23,30,UtahJazz
TaylorHendricks,10,7,2,4,2,5,0,0,0,25,44.4,0,3,4,2,1,0,1,-21,11,UtahJazz
KrisDunn,6,2,3,6,0,2,0,0,5,26,37.5,0,1,1,0,0,0,2,-17,8,UtahJazz
OmerYurtseven,4,4,2,7,0,0,0,0,1,22,28.6,0,3,1,2,1,2,3,-15,5,UtahJazz
KellyOlynyk,2,10,1,3,0,3,0,0,7,24,16.7,0,1,9,0,0,0,1,27,14,UtahJazz
MicahPotter,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-12,0,UtahJazz
UtahJazz,122,50,38,59,11,33,13,14,27,240,53.3,0,15,35,12,9,9,14,40,157,UtahJazz
