PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
De&#039;AaronFox,29,3,3,8,6,8,5,6,3,26,76.9,66.7,2,1,3,3,0,4,-19,27,SacramentoKings
DomantasSabonis,13,10,6,13,0,1,1,4,8,26,52.4,85.7,5,5,1,0,1,2,-25,20,SacramentoKings
KeeganMurray,13,1,2,4,3,7,0,0,0,26,63.6,87.5,1,0,1,0,0,4,-23,7,SacramentoKings
KeonEllis,12,2,0,0,4,7,0,0,4,19,53.8,100.0,0,2,0,1,2,1,2,18,SacramentoKings
TreyLyles,11,5,1,1,3,6,0,0,3,27,50.0,66.7,1,4,0,0,1,1,-19,17,SacramentoKings
HarrisonBarnes,10,4,1,3,2,2,2,4,3,30,66.7,0,1,3,0,0,0,1,-21,13,SacramentoKings
MalikMonk,10,2,3,6,0,4,4,4,5,25,37.5,0,0,2,1,0,0,1,-7,9,SacramentoKings
KesslerEdwards,7,2,2,3,1,2,0,0,0,6,100.0,0,0,2,0,0,0,0,0,7,SacramentoKings
KevinHuerter,7,1,2,3,1,2,0,1,0,16,16.7,0,0,1,0,0,0,1,-7,5,SacramentoKings
JaValeMcGee,4,3,2,3,0,0,0,2,1,12,100.0,0,0,3,1,0,4,0,3,8,SacramentoKings
SashaVezenkov,3,3,0,1,1,3,0,0,0,13,55.4,0,2,1,0,0,0,0,1,3,SacramentoKings
JuanToscano-Anderson,0,0,0,0,0,1,0,0,1,3,0.0,0,0,0,0,0,0,0,-2,0,SacramentoKings
ChrisDuarte,0,1,0,1,0,1,0,0,0,5,0.0,0,0,1,0,0,0,0,-4,-1,SacramentoKings
DavionMitchell,0,0,0,1,0,0,0,2,1,5,0.0,0.0,0,0,0,0,0,0,-4,-2,SacramentoKings
SacramentoKings,119,40,22,47,21,44,12,23,29,240,47.3,0,14,26,7,4,8,15,-125,131,SacramentoKings
DerrickWhite,28,2,4,4,6,9,2,3,7,29,76.9,66.7,1,1,1,1,3,1,16,36,BostonCeltics
JaylenBrown,28,5,11,18,0,3,6,7,6,29,52.4,85.7,1,4,0,0,0,2,22,28,BostonCeltics
KristapsPorzingis,24,9,4,7,3,4,7,8,2,29,63.6,87.5,2,7,3,0,6,3,22,33,BostonCeltics
JrueHoliday,21,8,3,7,4,6,3,3,10,34,53.8,100.0,2,6,3,2,1,1,17,33,BostonCeltics
PaytonPritchard,20,4,0,1,6,11,2,3,4,29,50.0,66.7,0,4,1,1,0,1,10,21,BostonCeltics
SamHauser,10,5,2,2,2,4,0,0,1,35,66.7,0,0,5,0,0,0,3,24,14,BostonCeltics
NeemiasQueta,6,8,3,8,0,0,0,0,0,19,37.5,0,4,4,1,1,0,5,3,9,BostonCeltics
OshaeBrissett,3,5,0,0,1,1,0,0,2,17,100.0,0,2,3,0,0,0,0,4,10,BostonCeltics
SviatoslavMykhailiuk,2,4,1,2,0,4,0,0,3,16,16.7,0,2,2,0,1,0,1,7,5,BostonCeltics
LamarStevens,2,0,1,1,0,0,0,0,0,2,100.0,0,0,0,0,0,0,0,0,2,BostonCeltics
BostonCeltics,144,55,29,50,22,42,20,24,35,240,55.4,0,17,38,10,6,10,17,125,191,BostonCeltics
