PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MalikMonk,23,1,6,6,3,7,2,2,2,20,52.9,80.0,0,1,2,1,1,1,14,22,SacramentoKings
DomantasSabonis,17,17,6,8,1,1,2,2,10,31,62.5,50.0,1,16,3,1,0,3,18,40,SacramentoKings
KeeganMurray,17,1,5,7,1,4,4,4,2,27,50.0,100.0,0,1,1,0,0,3,9,14,SacramentoKings
TreyLyles,15,7,2,2,3,4,2,2,0,21,40.0,66.7,1,6,1,1,0,2,19,21,SacramentoKings
De&#039;AaronFox,15,2,6,13,1,2,0,0,10,28,30.0,50.0,0,2,3,5,0,3,26,21,SacramentoKings
KevinHuerter,12,2,2,2,2,4,2,2,0,21,60.0,100.0,1,1,2,0,0,1,15,10,SacramentoKings
AlexLen,11,2,4,4,0,1,3,5,1,15,33.3,75.0,2,0,1,1,0,3,13,11,SacramentoKings
HarrisonBarnes,9,2,1,2,2,4,1,1,2,21,37.5,0,1,1,0,1,0,0,10,11,SacramentoKings
KesslerEdwards,6,1,0,0,2,3,0,0,0,6,50.0,0,0,1,0,0,0,1,0,6,SacramentoKings
SashaVezenkov,6,0,0,3,2,4,0,0,1,16,100.0,0,0,0,0,1,0,2,20,3,SacramentoKings
ColbyJones,2,3,1,3,0,0,0,0,1,7,50.0,50.0,0,3,0,0,0,1,0,4,SacramentoKings
DavionMitchell,2,2,1,3,0,0,0,0,1,20,33.3,0,0,2,2,0,0,1,3,1,SacramentoKings
KeonEllis,0,1,0,0,0,0,0,0,2,6,46.3,0,0,1,1,0,0,0,0,2,SacramentoKings
JaValeMcGee,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,-2,1,SacramentoKings
SacramentoKings,135,44,34,53,17,34,16,18,32,240,58.6,0,6,38,16,11,1,22,145,167,SacramentoKings
NikolaJokic,23,8,8,16,1,1,4,5,7,30,52.9,80.0,2,6,1,3,0,2,-7,31,DenverNuggets
AaronGordon,14,3,4,6,1,2,3,6,2,27,62.5,50.0,2,1,2,0,1,0,-28,12,DenverNuggets
ChristianBraun,13,3,3,6,1,2,4,4,1,27,50.0,100.0,2,1,1,0,1,3,-13,13,DenverNuggets
JamalMurray,12,1,2,5,2,5,2,3,3,26,40.0,66.7,0,1,6,1,0,1,-21,4,DenverNuggets
JustinHoliday,10,3,0,1,3,9,1,2,2,37,30.0,50.0,0,3,1,2,0,1,-15,8,DenverNuggets
ReggieJackson,8,1,3,5,0,0,2,2,4,16,60.0,100.0,0,1,3,1,0,2,-9,9,DenverNuggets
ZekeNnaji,7,2,2,4,0,2,3,4,3,18,33.3,75.0,0,2,0,0,0,2,-11,7,DenverNuggets
JulianStrawther,7,3,2,3,1,5,0,0,2,20,37.5,0,0,3,2,1,0,1,-18,6,DenverNuggets
PeytonWatson,4,3,2,3,0,1,0,0,1,20,50.0,0,1,2,4,1,3,3,-10,6,DenverNuggets
JayHuff,3,2,0,0,1,1,0,0,0,4,100.0,0,0,2,0,0,0,0,-1,5,DenverNuggets
CollinGillespie,3,1,1,1,0,1,1,2,1,9,50.0,50.0,0,1,0,0,0,1,-2,3,DenverNuggets
DeAndreJordan,2,5,1,3,0,0,0,0,0,6,33.3,0,2,3,0,0,0,0,-10,5,DenverNuggets
DenverNuggets,106,38,28,53,10,29,20,28,26,240,46.3,0,11,27,20,9,5,16,-145,109,DenverNuggets
