PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,Eff,Team
KeeganMurray,28,5,4,7,6,7,2,2,1,36,61.1,85.7,2,3,1,3,1,5,33,SacramentoKings
De&#039;AaronFox,27,8,12,19,1,5,0,0,6,39,70.6,50.0,3,5,7,3,1,2,27,SacramentoKings
DomantasSabonis,14,14,5,7,1,1,1,4,10,40,66.7,83.3,3,11,4,0,0,2,29,SacramentoKings
KevinHuerter,14,5,3,6,2,9,2,2,2,38,42.9,100.0,0,5,1,0,0,2,10,SacramentoKings
HarrisonBarnes,10,2,1,4,2,3,2,2,0,20,66.7,0,1,1,0,1,0,1,9,SacramentoKings
MalikMonk,8,2,4,6,0,4,0,2,7,21,60.0,83.3,0,2,1,2,0,3,10,SacramentoKings
TreyLyles,5,3,1,2,1,1,0,0,0,21,9.1,66.7,1,2,1,0,1,5,7,SacramentoKings
DavionMitchell,4,1,2,2,0,0,0,0,3,9,0.0,0,0,1,0,0,1,0,9,SacramentoKings
ChrisDuarte,0,1,0,0,0,2,0,0,1,17,0.0,0,1,0,0,1,1,0,2,SacramentoKings
SacramentoKings,110,41,32,53,13,32,7,12,30,240,51.7,0,11,30,15,10,5,20,136,SacramentoKings
BamAdebayo,28,10,11,17,0,1,6,7,7,36,61.1,85.7,2,8,5,2,1,1,35,MiamiHeat
JaimeJaquez,26,5,11,15,1,2,1,2,2,38,70.6,50.0,1,4,2,3,0,2,28,MiamiHeat
KevinLove,19,7,4,6,2,3,5,6,1,15,66.7,83.3,1,6,1,0,0,1,22,MiamiHeat
CalebMartin,16,6,3,8,3,6,1,1,1,40,42.9,100.0,2,4,1,1,0,2,15,MiamiHeat
HaywoodHighsmith,15,4,3,4,3,5,0,0,0,29,66.7,0,3,1,0,3,1,3,20,MiamiHeat
DelonWright,13,2,1,1,2,4,5,6,5,35,60.0,83.3,0,2,0,2,1,0,20,MiamiHeat
DuncanRobinson,4,4,1,5,0,6,2,3,11,39,9.1,66.7,1,3,2,1,0,3,7,MiamiHeat
ColeSwider,0,1,0,0,0,2,0,0,0,5,0.0,0,0,1,0,0,0,0,-1,MiamiHeat
AlondesWilliams,0,0,0,1,0,1,0,0,0,3,0.0,0,0,0,0,0,0,0,-2,MiamiHeat
MiamiHeat,121,39,34,57,11,30,20,25,27,240,51.7,0,10,29,11,12,3,12,144,MiamiHeat
