PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
De&#039;AaronFox,27,4,7,12,3,11,4,4,6,39,43.5,100.0,2,2,3,2,0,1,-4,23,SacramentoKings
KeeganMurray,20,7,5,9,3,7,1,2,0,40,50.0,50.0,1,6,1,3,1,4,-8,21,SacramentoKings
DomantasSabonis,17,10,7,11,0,1,3,5,10,39,58.3,60.0,1,9,3,1,0,3,-17,28,SacramentoKings
HarrisonBarnes,12,3,3,4,0,2,6,6,1,31,50.0,100.0,0,3,0,0,0,3,-12,13,SacramentoKings
TreyLyles,10,7,3,4,1,4,1,3,3,27,50.0,33.3,3,4,1,0,0,1,7,13,SacramentoKings
JaValeMcGee,7,2,3,6,0,0,1,1,1,9,50.0,100.0,0,2,1,1,1,2,5,8,SacramentoKings
ChrisDuarte,3,4,0,0,1,3,0,0,0,18,33.3,0.0,1,3,1,2,0,1,4,6,SacramentoKings
KevinHuerter,2,1,1,5,0,2,0,0,1,15,14.3,0.0,0,1,1,0,0,3,-19,-3,SacramentoKings
ColbyJones,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0,1,0,0,0,0,3,1,SacramentoKings
SashaVezenkov,0,1,0,0,0,1,0,0,0,8,0.0,0.0,0,1,0,1,0,1,-5,1,SacramentoKings
KesslerEdwards,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,SacramentoKings
KeonEllis,0,0,0,1,0,2,0,0,1,11,0.0,0.0,0,0,0,0,0,1,-14,-2,SacramentoKings
SacramentoKings,98,42,29,52,8,33,16,21,23,240,43.5,0.0,9,33,11,10,2,20,-60,109,SacramentoKings
AnthonyEdwards,34,5,10,15,3,12,5,5,10,39,48.1,100.0,0,5,5,1,1,1,8,32,MinnesotaTimberwolves
RudyGobert,21,17,10,13,0,0,1,2,1,39,76.9,50.0,6,11,1,0,2,3,27,36,MinnesotaTimberwolves
JadenMcDaniels,20,5,5,7,3,9,1,2,1,41,50.0,50.0,0,5,0,4,1,4,12,22,MinnesotaTimberwolves
MikeConley,12,7,1,3,3,7,1,1,9,32,40.0,100.0,0,7,2,2,0,1,28,22,MinnesotaTimberwolves
KyleAnderson,10,5,4,9,0,0,2,2,5,29,44.4,100.0,1,4,2,0,1,4,9,14,MinnesotaTimberwolves
NazReid,6,2,2,3,0,1,2,2,2,19,50.0,100.0,0,2,1,2,0,0,-13,9,MinnesotaTimberwolves
ShakeMilton,5,1,1,2,1,2,0,0,1,14,50.0,0.0,0,1,1,0,0,0,-6,4,MinnesotaTimberwolves
NickeilAlexander-Walker,2,0,1,2,0,2,0,0,0,23,25.0,0.0,0,0,0,0,0,2,-1,-1,MinnesotaTimberwolves
JordanMcLaughlin,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0,0,0,0,0,0,-1,2,MinnesotaTimberwolves
TroyBrown,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0,1,0,0,0,3,-3,1,MinnesotaTimberwolves
MinnesotaTimberwolves,110,48,34,54,10,33,12,14,31,240,50.6,0.0,11,37,12,9,5,19,60,141,MinnesotaTimberwolves
