PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MalikMonk,37,3,5,7,7,13,6,8,9,46,52.0,78.6,0,3,3,2,1,5,14,39,SacramentoKings
KeeganMurray,28,12,11,15,2,6,0,0,1,46,44.4,100.0,4,8,0,1,0,0,-7,34,SacramentoKings
DomantasSabonis,22,23,8,14,0,0,6,9,12,45,66.7,100.0,6,17,6,2,1,2,10,45,SacramentoKings
HarrisonBarnes,17,3,1,3,4,6,3,5,1,36,80.0,0,1,2,0,1,0,4,1,16,SacramentoKings
De&#039;AaronFox,15,4,6,17,0,5,3,4,7,44,42.9,0,3,1,3,1,0,1,-1,7,SacramentoKings
TreyLyles,10,3,2,3,2,3,0,0,0,22,57.1,0,3,0,0,0,1,3,-1,12,SacramentoKings
JaValeMcGee,5,2,2,2,0,0,1,3,0,8,40.0,100.0,0,2,0,1,0,2,-3,6,SacramentoKings
KevinHuerter,2,7,0,1,0,4,2,2,2,18,50.0,100.0,1,6,1,0,0,1,4,5,SacramentoKings
DavionMitchell,2,1,1,1,0,2,0,0,3,14,28.6,50.0,0,1,2,0,0,0,6,2,SacramentoKings
JuanToscano-Anderson,0,0,0,0,0,0,0,0,0,1,50.0,0.0,0,0,0,0,0,0,-2,0,SacramentoKings
ChrisDuarte,0,0,0,2,0,1,0,0,1,10,0.0,100.0,0,0,2,1,0,3,-6,-3,SacramentoKings
SacramentoKings,138,61,36,65,15,40,21,31,36,290,0,0,20,41,18,9,3,21,15,163,SacramentoKings
PaoloBanchero,43,4,7,16,6,9,11,14,5,45,52.0,78.6,1,3,8,0,0,4,-2,29,OrlandoMagic
JalenSuggs,24,3,2,6,6,12,2,2,4,39,44.4,100.0,1,2,4,2,2,4,-13,21,OrlandoMagic
CalebHoustan,15,2,0,0,4,6,3,3,1,31,66.7,100.0,0,2,1,4,0,2,6,19,OrlandoMagic
ChumaOkeke,11,7,1,1,3,4,0,0,3,27,80.0,0,1,6,0,0,1,2,4,21,OrlandoMagic
WendellCarter,9,7,0,4,3,3,0,0,3,21,42.9,0,1,6,1,0,0,4,9,14,OrlandoMagic
AnthonyBlack,9,2,3,6,1,1,0,0,4,25,57.1,0,1,1,1,0,0,1,-1,11,OrlandoMagic
GogaBitadze,6,6,2,4,0,1,2,2,2,28,40.0,100.0,1,5,1,1,3,3,-15,14,OrlandoMagic
FranzWagner,6,2,1,3,1,1,1,1,1,5,50.0,100.0,0,2,0,0,0,0,-1,7,OrlandoMagic
TrevelinQueen,5,2,2,4,0,3,1,2,6,38,28.6,50.0,0,2,0,2,1,5,1,10,OrlandoMagic
GaryHarris,5,1,1,1,1,3,0,1,1,12,50.0,0.0,0,1,1,1,0,2,-8,4,OrlandoMagic
MoritzWagner,2,3,0,1,0,1,2,2,2,13,0.0,100.0,1,2,3,0,0,2,0,2,OrlandoMagic
AdmiralSchofield,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,5,1,OrlandoMagic
OrlandoMagic,135,41,19,46,25,44,22,27,33,290,48.9,0,9,32,20,10,7,30,-15,153,OrlandoMagic
