PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JeremySochan,33,8,9,11,3,3,6,6,6,36,85.7,100.0,3,5,5,1,0,5,-4,41,SanAntonioSpurs
DevinVassell,25,4,4,4,4,10,5,5,4,27,57.1,100.0,0,4,2,0,0,1,-4,25,SanAntonioSpurs
KeldonJohnson,22,11,6,12,2,3,4,5,3,33,53.3,80.0,4,7,2,1,0,2,-1,27,SanAntonioSpurs
VictorWembanyama,21,12,8,11,1,5,2,2,2,29,56.3,100.0,2,10,2,2,4,1,0,32,SanAntonioSpurs
JulianChampagnie,15,3,0,0,5,8,0,0,0,20,62.5,0.0,1,2,1,0,0,2,-6,14,SanAntonioSpurs
ZachCollins,11,2,2,3,1,2,4,4,7,34,60.0,100.0,0,2,3,0,0,3,0,15,SanAntonioSpurs
TreJones,3,2,0,2,1,3,0,1,7,24,20.0,0.0,0,2,2,0,0,1,-2,5,SanAntonioSpurs
CediOsman,3,1,0,2,1,5,0,0,2,15,14.3,0.0,0,1,1,0,0,3,-3,-1,SanAntonioSpurs
MalakiBranham,2,3,1,3,0,2,0,0,3,17,20.0,0.0,0,3,3,0,1,1,7,2,SanAntonioSpurs
CharlesBassey,0,1,0,0,0,0,0,0,0,4,0.0,0.0,1,0,0,0,2,3,3,3,SanAntonioSpurs
SanAntonioSpurs,135,47,30,48,18,41,21,23,34,240,53.9,0.0,11,36,21,4,7,22,-10,163,SanAntonioSpurs
TraeYoung,45,4,13,20,2,9,13,16,14,40,51.7,81.3,0,4,2,2,0,1,-1,46,AtlantaHawks
DejounteMurray,24,3,8,17,2,4,2,2,2,35,47.6,100.0,0,3,0,5,0,1,-1,23,AtlantaHawks
BogdanBogdanovic,14,2,3,6,2,4,2,2,3,32,50.0,100.0,0,2,1,2,0,4,12,15,AtlantaHawks
SaddiqBey,13,4,2,4,3,4,0,0,0,34,62.5,0.0,2,2,1,3,0,3,0,16,AtlantaHawks
ClintCapela,12,9,6,9,0,0,0,0,1,23,66.7,0.0,4,5,2,0,1,4,8,18,AtlantaHawks
De&#039;AndreHunter,12,6,1,4,2,4,4,4,2,22,37.5,100.0,0,6,3,1,0,6,-5,13,AtlantaHawks
OnyekaOkongwu,11,8,2,3,1,3,4,5,0,28,50.0,80.0,2,6,1,0,0,4,-4,14,AtlantaHawks
WesleyMatthews,3,0,0,0,1,1,0,0,2,15,100.0,0.0,0,0,0,0,1,1,1,6,AtlantaHawks
GarrisonMathews,3,1,0,0,1,4,0,0,0,12,25.0,0.0,0,1,0,1,0,1,0,2,AtlantaHawks
AtlantaHawks,137,37,35,63,14,33,25,29,24,240,51.0,0.0,8,29,10,14,2,25,10,153,AtlantaHawks
