PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
VictorWembanyama,26,11,7,11,2,3,6,6,1,20,35.7,93.8,3,8,3,0,2,2,22,32,SanAntonioSpurs
DougMcDermott,14,2,0,0,4,6,2,3,0,12,42.9,50.0,0,2,0,0,0,0,13,13,SanAntonioSpurs
JeremySochan,13,6,4,5,1,2,2,3,4,26,30.8,100.0,0,6,1,2,1,0,35,22,SanAntonioSpurs
DevinVassell,12,3,3,7,1,3,3,3,5,26,62.5,100.0,0,3,2,2,0,2,28,14,SanAntonioSpurs
CediOsman,11,4,2,2,2,2,1,2,1,14,71.4,100.0,1,3,3,1,0,2,3,13,SanAntonioSpurs
KeldonJohnson,10,2,1,4,2,7,2,2,1,19,44.4,0,0,2,2,1,0,2,6,4,SanAntonioSpurs
JulianChampagnie,9,2,0,1,2,7,3,3,1,21,28.6,0,0,2,1,0,0,2,15,5,SanAntonioSpurs
DevonteGraham,8,0,1,1,2,4,0,0,2,10,50.0,0,0,0,0,1,0,1,2,9,SanAntonioSpurs
MamadiDiakite,8,0,3,3,0,0,2,2,1,10,0.0,50.0,0,0,0,0,0,0,2,9,SanAntonioSpurs
MalakiBranham,8,2,1,4,2,3,0,0,4,20,0.0,0,0,2,2,0,0,0,19,8,SanAntonioSpurs
TreJones,6,3,2,3,0,1,2,2,7,22,0.0,0,0,3,0,1,0,3,19,15,SanAntonioSpurs
DominickBarlow,5,6,1,4,0,0,3,6,1,17,0.0,0,2,4,0,0,3,2,11,9,SanAntonioSpurs
BlakeWesley,4,2,2,3,0,0,0,0,3,17,36.0,0,0,2,0,1,0,3,3,9,SanAntonioSpurs
SandroMamukelashvili,1,2,0,1,0,0,1,2,0,10,0.0,50.0,1,1,0,0,1,1,2,2,SanAntonioSpurs
SanAntonioSpurs,135,46,27,49,18,38,27,34,31,240,51.7,0,8,38,15,9,7,20,180,164,SanAntonioSpurs
LaMeloBall,28,3,2,5,3,9,15,16,5,27,35.7,93.8,0,3,6,5,0,4,-16,25,CharlotteHornets
TerryRozier,16,2,3,5,3,9,1,2,2,28,42.9,50.0,0,2,1,2,1,2,-32,13,CharlotteHornets
MilesBridges,14,9,3,9,1,4,5,5,0,33,30.8,100.0,1,8,1,1,0,1,-32,14,CharlotteHornets
NickRichards,12,8,5,8,0,0,2,2,1,22,62.5,100.0,5,3,0,0,1,3,-19,19,CharlotteHornets
BryceMcGowens,12,0,4,5,1,2,1,1,0,24,71.4,100.0,0,0,4,1,0,1,-18,7,CharlotteHornets
NickSmith,9,6,3,6,1,3,0,0,5,25,44.4,0,2,4,1,0,0,2,-16,14,CharlotteHornets
J.T.Thor,5,4,1,4,1,3,0,0,0,19,28.6,0,2,2,1,0,0,3,-1,3,CharlotteHornets
LeakyBlack,2,0,1,1,0,1,0,0,0,7,50.0,0,0,0,0,0,0,1,-9,1,CharlotteHornets
BrandonMiller,1,2,0,4,0,1,1,2,1,9,0.0,50.0,2,0,1,1,0,1,-5,-2,CharlotteHornets
NathanMensah,0,7,0,4,0,0,0,0,2,19,0.0,0,4,3,2,0,0,6,-9,3,CharlotteHornets
IshmaelSmith,0,2,0,4,0,0,0,0,6,22,0.0,0,0,2,2,1,0,0,-14,3,CharlotteHornets
JamesBouknight,0,1,0,0,0,2,0,0,0,6,0.0,0,0,1,0,0,1,0,-9,0,CharlotteHornets
CharlotteHornets,99,48,22,55,10,34,25,28,22,240,36.0,0,18,30,19,11,3,24,-180,100,CharlotteHornets
