PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
VictorWembanyama,30,13,7,16,4,5,4,7,2,32,56.5,75.0,4,9,5,3,6,6,-5,36,SanAntonioSpurs
KeldonJohnson,28,5,6,10,4,4,4,4,8,36,50.0,50.0,1,4,1,0,0,3,1,36,SanAntonioSpurs
MalakiBranham,19,3,6,8,2,5,1,1,0,28,60.0,0,0,3,3,1,0,1,3,15,SanAntonioSpurs
DevinVassell,13,5,4,8,1,7,2,2,4,35,60.0,0,0,5,2,2,0,0,5,12,SanAntonioSpurs
ZachCollins,10,2,1,5,2,3,2,2,0,19,46.2,0.0,1,1,1,0,0,3,-2,6,SanAntonioSpurs
TreJones,6,1,3,3,0,2,0,0,5,22,57.1,0,0,1,2,0,0,0,-11,8,SanAntonioSpurs
CediOsman,5,7,1,2,1,2,0,0,2,17,57.1,0.0,0,7,0,0,0,0,9,12,SanAntonioSpurs
JeremySochan,5,8,1,5,1,4,0,2,5,29,66.7,0,4,4,3,0,0,3,-4,6,SanAntonioSpurs
DougMcDermott,3,1,0,2,1,3,0,0,1,15,20.0,0,0,1,0,1,0,0,-9,2,SanAntonioSpurs
JulianChampagnie,0,1,0,0,0,2,0,0,1,6,100.0,0,0,1,0,1,0,0,-2,1,SanAntonioSpurs
SanAntonioSpurs,119,47,29,59,16,37,13,18,28,240,53.8,0,11,36,17,8,6,16,-15,134,SanAntonioSpurs
AnthonyDavis,37,10,11,20,2,3,9,12,1,38,56.5,75.0,1,9,2,4,0,3,5,37,LosAngelesLakers
TaureanPrince,17,5,2,2,4,10,1,2,5,32,50.0,50.0,1,4,3,2,1,1,3,20,LosAngelesLakers
AustinReaves,15,4,3,4,3,6,0,0,8,29,60.0,0,2,2,1,1,0,2,-9,23,LosAngelesLakers
RuiHachimura,13,7,5,8,1,2,0,0,1,24,60.0,0,0,7,3,0,1,2,15,15,LosAngelesLakers
D&#039;AngeloRussell,12,3,6,9,0,4,0,1,10,33,46.2,0.0,0,3,3,3,0,4,-6,17,LosAngelesLakers
CameronReddish,10,2,2,4,2,3,0,0,3,24,57.1,0,0,2,1,3,1,0,12,15,LosAngelesLakers
ChristianWood,9,6,3,4,1,3,0,2,1,21,57.1,0.0,1,5,0,0,0,2,-13,11,LosAngelesLakers
JaxsonHayes,4,1,2,3,0,0,0,0,0,7,66.7,0,0,1,1,0,0,1,2,3,LosAngelesLakers
MaxChristie,3,5,0,1,1,4,0,0,2,14,20.0,0,0,5,2,0,0,0,8,4,LosAngelesLakers
JarredVanderbilt,2,3,1,1,0,0,0,0,0,17,100.0,0,0,3,0,1,1,1,-2,7,LosAngelesLakers
LosAngelesLakers,122,48,35,56,14,35,10,17,31,240,53.8,0,6,42,17,14,4,16,15,152,LosAngelesLakers
