PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DevinVassell,25,4,8,11,3,6,0,0,5,36,66.7,50.0,0,4,2,2,0,2,-9,28,SanAntonioSpurs
VictorWembanyama,23,10,6,11,3,6,2,5,6,30,88.9,75.0,0,10,6,2,2,3,19,26,SanAntonioSpurs
KeldonJohnson,14,7,5,11,1,3,1,2,2,27,56.3,0.0,5,2,1,2,2,2,0,17,SanAntonioSpurs
JeremySochan,13,4,5,8,0,1,3,4,2,31,41.7,50.0,2,2,2,0,1,0,-3,13,SanAntonioSpurs
TreJones,12,3,3,4,2,3,0,0,11,29,57.1,0,3,0,2,0,0,3,18,22,SanAntonioSpurs
DominickBarlow,9,4,4,5,0,0,1,2,1,18,40.0,100.0,2,2,0,0,1,1,-18,13,SanAntonioSpurs
DougMcDermott,9,1,0,0,3,5,0,0,1,17,60.0,0,0,1,0,0,0,0,11,9,SanAntonioSpurs
JulianChampagnie,4,3,0,1,1,3,1,2,0,18,33.3,0.0,2,1,0,0,0,1,1,3,SanAntonioSpurs
CediOsman,2,3,1,1,0,3,0,0,4,16,0.0,0,0,3,1,1,0,1,3,6,SanAntonioSpurs
BlakeWesley,2,0,1,2,0,0,0,0,3,20,57.0,0,0,0,1,0,1,1,-17,4,SanAntonioSpurs
SanAntonioSpurs,113,41,33,54,13,30,8,15,35,240,54.8,0,15,26,16,7,7,14,5,141,SanAntonioSpurs
AnthonyEdwards,32,6,6,10,6,8,2,4,12,38,66.7,50.0,1,5,4,1,0,0,7,39,MinnesotaTimberwolves
RudyGobert,19,7,8,9,0,0,3,4,1,37,88.9,75.0,2,5,1,1,1,4,-4,26,MinnesotaTimberwolves
Karl-AnthonyTowns,19,5,8,12,1,4,0,1,4,32,56.3,0.0,0,5,3,1,2,3,-14,20,MinnesotaTimberwolves
NazReid,13,2,3,7,2,5,1,2,0,22,41.7,50.0,0,2,1,0,3,2,5,9,MinnesotaTimberwolves
NickeilAlexander-Walker,11,4,1,3,3,4,0,0,7,33,57.1,0,1,3,1,1,0,1,2,19,MinnesotaTimberwolves
JadenMcDaniels,7,3,1,2,1,3,2,2,2,33,40.0,100.0,0,3,0,4,0,2,11,13,MinnesotaTimberwolves
ShakeMilton,7,1,2,4,1,1,0,0,2,16,60.0,0,0,1,1,0,0,1,4,7,MinnesotaTimberwolves
KyleAnderson,4,3,2,6,0,0,0,2,1,19,33.3,0.0,2,1,1,1,0,0,-5,2,MinnesotaTimberwolves
JordanMcLaughlin,0,1,0,0,0,1,0,0,1,9,0.0,0,1,0,1,0,0,0,-11,0,MinnesotaTimberwolves
MinnesotaTimberwolves,112,37,31,53,14,26,8,15,30,240,57.0,0,10,27,13,9,6,13,-5,135,MinnesotaTimberwolves
