PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DevinVassell,28,3,6,11,5,10,1,2,3,36,57.1,69.2,0,3,2,0,1,0,7,22,SanAntonioSpurs
TreJones,20,7,7,10,1,5,3,4,7,35,47.1,50.0,1,6,4,0,1,0,-4,23,SanAntonioSpurs
VictorWembanyama,16,14,7,11,0,3,2,2,7,28,46.7,100.0,5,9,5,2,3,2,-9,30,SanAntonioSpurs
JeremySochan,15,16,6,8,0,4,3,6,3,31,75.0,0,7,9,4,2,0,4,11,23,SanAntonioSpurs
ZachCollins,9,2,4,9,0,0,1,2,3,20,44.4,0,1,1,1,0,0,3,8,7,SanAntonioSpurs
MalakiBranham,7,2,2,2,1,2,0,0,3,16,42.9,0,1,1,0,0,0,0,-4,11,SanAntonioSpurs
DougMcDermott,6,2,0,0,2,5,0,0,0,12,33.3,0,0,2,0,0,0,0,-8,5,SanAntonioSpurs
JulianChampagnie,5,6,2,2,0,4,1,2,3,30,16.7,0,3,3,0,0,3,2,-3,12,SanAntonioSpurs
BlakeWesley,4,3,2,3,0,1,0,0,6,13,20.0,0,0,3,0,0,0,2,3,11,SanAntonioSpurs
CediOsman,3,0,0,1,1,5,0,0,0,19,0,0,0,0,2,2,2,3,-6,0,SanAntonioSpurs
SanAntonioSpurs,113,60,36,57,10,39,11,18,35,240,48.4,0,19,41,19,6,10,16,-5,144,SanAntonioSpurs
ZionWilliamson,33,8,12,21,0,0,9,13,4,36,57.1,69.2,3,5,1,1,1,2,15,33,NewOrleansPelicans
C.J.McCollum,21,4,5,7,3,10,2,4,4,39,47.1,50.0,1,3,2,1,1,3,13,18,NewOrleansPelicans
BrandonIngram,19,4,6,13,1,2,4,4,6,36,46.7,100.0,2,2,2,2,1,4,-6,22,NewOrleansPelicans
JonasValanciunas,18,9,9,12,0,0,0,0,4,27,75.0,0,3,6,0,0,0,2,-15,28,NewOrleansPelicans
TreyMurphyIII,9,1,3,7,1,2,0,0,0,27,44.4,0,0,1,1,2,0,0,-18,6,NewOrleansPelicans
JoseAlvarado,8,2,1,2,2,5,0,0,3,19,42.9,0,0,2,0,2,0,3,9,11,NewOrleansPelicans
DysonDaniels,2,6,1,2,0,1,0,0,5,21,33.3,0,2,4,1,3,0,1,20,13,NewOrleansPelicans
NajiMarshall,2,3,1,4,0,2,0,0,2,17,16.7,0,1,2,1,1,0,1,-19,2,NewOrleansPelicans
JordanHawkins,2,0,1,1,0,4,0,0,0,11,20.0,0,0,0,0,0,0,0,0,-2,NewOrleansPelicans
CodyZeller,0,2,0,0,0,0,0,0,1,8,0,0,1,1,1,2,0,1,6,4,NewOrleansPelicans
NewOrleansPelicans,114,43,39,69,7,26,15,21,29,240,48.4,0,15,28,10,14,3,17,5,135,NewOrleansPelicans
