PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
VictorWembanyama,24,12,9,15,0,3,6,8,4,28,50.0,75.0,6,6,3,1,4,2,-11,31,SanAntonioSpurs
DevinVassell,21,5,8,10,1,4,2,2,7,34,64.3,100.0,1,4,0,0,1,1,-19,29,SanAntonioSpurs
BlakeWesley,12,4,4,4,1,1,1,3,6,28,100.0,33.3,1,3,4,0,1,4,-7,17,SanAntonioSpurs
MalakiBranham,11,3,2,3,1,2,4,4,2,28,60.0,100.0,0,3,0,2,1,1,-28,17,SanAntonioSpurs
ZachCollins,10,3,2,6,1,2,3,4,2,17,37.5,75.0,2,1,2,1,2,1,-18,10,SanAntonioSpurs
CediOsman,9,0,2,2,1,3,2,3,0,14,60.0,66.7,0,0,0,0,1,0,-15,7,SanAntonioSpurs
DougMcDermott,8,1,1,2,2,4,0,0,3,17,50.0,0.0,0,1,3,0,0,1,-3,6,SanAntonioSpurs
KeldonJohnson,7,0,3,6,0,2,1,1,1,19,37.5,100.0,0,0,2,1,1,0,-32,3,SanAntonioSpurs
SandroMamukelashvili,4,1,2,2,0,1,0,0,0,5,66.7,0.0,0,1,0,0,0,0,7,4,SanAntonioSpurs
DevonteGraham,3,2,0,0,1,2,0,0,0,5,50.0,0.0,0,2,0,0,0,0,4,4,SanAntonioSpurs
JulianChampagnie,3,2,0,0,1,5,0,0,1,21,20.0,0.0,0,2,2,2,0,1,3,2,SanAntonioSpurs
JeremySochan,2,5,1,4,0,3,0,0,4,24,14.3,0.0,2,3,2,0,0,3,-11,3,SanAntonioSpurs
SanAntonioSpurs,114,41,34,54,9,32,19,25,30,240,50.0,0.0,14,27,18,7,11,14,-130,133,SanAntonioSpurs
ShaiGilgeous-Alexander,32,6,7,13,2,2,12,12,10,29,60.0,100.0,2,4,4,2,1,3,20,41,OklahomaCityThunder
AaronWiggins,22,3,5,5,4,6,0,0,1,19,81.8,0.0,0,3,0,0,1,1,6,25,OklahomaCityThunder
ChetHolmgren,17,9,5,9,2,4,1,3,4,30,53.8,33.3,4,5,3,1,3,3,11,23,OklahomaCityThunder
JalenWilliams,13,5,5,7,1,5,0,0,7,29,50.0,0.0,0,5,0,2,0,3,13,21,OklahomaCityThunder
CasonWallace,13,3,3,4,2,3,1,1,4,23,71.4,100.0,1,2,0,1,0,4,14,19,OklahomaCityThunder
JoshGiddey,12,8,6,10,0,3,0,0,4,22,46.2,0.0,5,3,2,0,0,1,1,15,OklahomaCityThunder
IsaiahJoe,9,1,0,0,3,5,0,0,0,13,60.0,0.0,1,0,0,0,1,0,17,9,OklahomaCityThunder
KenrichWilliams,7,3,2,2,1,2,0,0,0,10,75.0,0.0,1,2,0,1,1,1,21,11,OklahomaCityThunder
JaylinWilliams,6,4,0,1,2,2,0,0,0,11,66.7,0.0,1,3,1,0,0,2,17,8,OklahomaCityThunder
DavisBertans,3,0,0,0,1,1,0,0,1,5,100.0,0.0,0,0,0,1,0,0,-4,5,OklahomaCityThunder
LuguentzDort,2,3,1,1,0,5,0,0,1,25,16.7,0.0,1,2,1,2,1,2,12,3,OklahomaCityThunder
VasilijeMicic,2,1,1,1,0,1,0,0,3,14,50.0,0.0,0,1,3,1,0,0,10,3,OklahomaCityThunder
AleksejPokusevski,2,1,1,1,0,1,0,0,0,5,50.0,0.0,0,1,0,0,0,0,-4,2,OklahomaCityThunder
KeyontaeJohnson,0,0,0,2,0,0,0,0,1,5,0.0,0.0,0,0,1,0,0,0,-4,-2,OklahomaCityThunder
OklahomaCityThunder,140,50,36,56,18,40,14,16,36,240,56.3,0.0,18,32,17,11,8,20,130,183,OklahomaCityThunder
