PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JeremySochan,31,14,8,13,4,7,3,3,2,32,51.9,100.0,4,10,2,2,0,0,8,39,SanAntonioSpurs
VictorWembanyama,23,12,4,11,3,7,6,6,4,29,58.8,0,3,9,7,2,2,1,23,25,SanAntonioSpurs
KeldonJohnson,21,16,9,13,0,2,3,4,1,30,44.4,100.0,8,8,1,1,2,2,8,33,SanAntonioSpurs
DevinVassell,15,4,3,7,2,7,3,5,2,32,50.0,100.0,0,4,1,0,0,1,19,9,SanAntonioSpurs
TreJones,9,1,2,3,1,1,2,2,7,24,40.0,0,0,1,1,3,0,0,24,18,SanAntonioSpurs
CediOsman,7,3,3,3,0,1,1,1,1,18,33.3,0,0,3,2,1,1,1,-6,10,SanAntonioSpurs
JulianChampagnie,5,4,2,2,0,2,1,1,3,19,20.0,25.0,0,4,1,1,0,0,6,10,SanAntonioSpurs
ZachCollins,4,3,1,2,0,4,2,2,0,18,100.0,0,2,1,1,0,0,4,-8,1,SanAntonioSpurs
BlakeWesley,1,2,0,4,0,1,1,2,8,24,25.0,50.0,0,2,1,2,0,1,-8,6,SanAntonioSpurs
DougMcDermott,0,0,0,0,0,2,0,0,2,14,50.0,0,0,0,0,0,0,1,13,0,SanAntonioSpurs
SandroMamukelashvili,0,0,0,0,0,0,0,0,0,1,11.1,0.0,0,0,0,0,0,0,1,0,SanAntonioSpurs
SanAntonioSpurs,116,59,32,58,10,34,22,26,30,240,0.0,0,17,42,17,12,5,11,80,151,SanAntonioSpurs
AnferneeSimons,40,2,7,12,7,15,5,5,10,41,51.9,100.0,0,2,5,1,0,3,-5,35,PortlandTrailBlazers
DeandreAyton,20,12,10,17,0,0,0,0,2,34,58.8,0,2,10,2,2,0,2,-8,27,PortlandTrailBlazers
ToumaniCamara,12,4,4,8,0,1,4,4,1,23,44.4,100.0,2,2,3,2,1,0,-9,12,PortlandTrailBlazers
ScootHenderson,6,1,0,1,1,1,3,3,0,6,50.0,100.0,0,1,0,0,0,0,8,6,PortlandTrailBlazers
MatisseThybulle,5,1,1,1,1,4,0,0,4,27,40.0,0,1,0,1,2,0,4,-6,8,PortlandTrailBlazers
JeramiGrant,4,1,2,5,0,1,0,0,2,10,33.3,0,0,1,1,0,0,1,7,2,PortlandTrailBlazers
JabariWalker,3,9,1,3,0,2,1,4,2,37,20.0,25.0,2,7,0,2,1,2,-21,10,PortlandTrailBlazers
RayanRupert,3,0,0,0,1,1,0,0,1,8,100.0,0,0,0,0,0,0,1,-6,4,PortlandTrailBlazers
DuopReath,3,3,1,2,0,2,1,2,0,13,25.0,50.0,1,2,0,0,0,2,-7,2,PortlandTrailBlazers
TazeMoore,2,0,1,1,0,1,0,0,0,1,50.0,0,0,0,0,0,0,1,-1,1,PortlandTrailBlazers
KrisMurray,2,2,1,3,0,6,0,1,0,17,11.1,0.0,0,2,0,1,0,3,-22,-4,PortlandTrailBlazers
JustinMinaya,0,2,0,0,0,3,0,0,1,22,0.0,0,0,2,1,1,1,1,-10,1,PortlandTrailBlazers
PortlandTrailBlazers,100,37,28,53,10,37,14,19,23,240,42.2,0,8,29,13,11,3,20,-80,104,PortlandTrailBlazers
