PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DevinVassell,24,5,8,14,1,5,5,6,4,35,47.4,83.3,1,4,5,0,1,1,-3,18,SanAntonioSpurs
VictorWembanyama,22,11,9,15,0,4,4,4,4,31,47.4,100.0,3,8,4,1,3,1,-12,27,SanAntonioSpurs
CediOsman,20,3,4,6,4,6,0,0,2,29,66.7,0.0,2,1,0,2,0,1,-5,23,SanAntonioSpurs
KeldonJohnson,14,5,3,5,2,5,2,2,3,31,50.0,100.0,0,5,2,3,0,1,-4,18,SanAntonioSpurs
TreJones,11,2,4,10,1,2,0,0,8,33,41.7,0.0,0,2,0,0,0,0,-6,14,SanAntonioSpurs
BlakeWesley,7,1,1,3,1,1,2,2,2,12,50.0,100.0,0,1,1,3,1,3,2,11,SanAntonioSpurs
DougMcDermott,6,1,0,0,2,4,0,0,1,10,50.0,0.0,1,0,0,0,0,2,-5,6,SanAntonioSpurs
DominickBarlow,4,2,1,3,0,0,2,2,5,14,33.3,100.0,1,1,1,0,0,6,10,8,SanAntonioSpurs
JulianChampagnie,3,1,0,1,1,1,0,1,1,20,50.0,0.0,0,1,1,0,2,0,2,4,SanAntonioSpurs
JeremySochan,2,5,1,5,0,2,0,0,1,26,14.3,0.0,2,3,0,1,0,2,-4,3,SanAntonioSpurs
SanAntonioSpurs,113,39,31,62,12,30,15,17,31,240,46.7,0.0,10,29,16,10,7,17,-25,132,SanAntonioSpurs
KyleKuzma,18,11,7,14,0,4,4,4,5,32,38.9,100.0,2,9,2,0,2,2,3,23,WashingtonWizards
DanielGafford,16,13,6,8,0,0,4,8,2,28,75.0,50.0,8,5,1,2,1,2,3,27,WashingtonWizards
TyusJones,15,2,6,12,1,4,0,0,9,33,43.8,0.0,1,1,1,2,1,0,5,19,WashingtonWizards
MarvinBagley,15,3,5,6,0,0,5,6,1,20,83.3,83.3,0,3,5,0,0,3,2,12,WashingtonWizards
BilalCoulibaly,13,1,3,4,2,2,1,1,1,31,83.3,100.0,1,0,1,2,1,2,13,16,WashingtonWizards
JordanPoole,13,1,5,8,1,5,0,0,3,33,46.2,0.0,0,1,4,2,1,2,5,9,WashingtonWizards
DeniAvdija,9,8,3,6,0,0,3,5,5,25,50.0,60.0,2,6,3,1,1,3,-13,16,WashingtonWizards
CoreyKispert,8,4,1,1,2,5,0,0,3,20,50.0,0.0,0,4,1,0,1,1,-3,12,WashingtonWizards
LandryShamet,6,0,0,0,2,4,0,0,2,10,50.0,0.0,0,0,0,0,0,0,5,6,WashingtonWizards
DelonWright,5,2,1,2,1,1,0,0,1,9,66.7,0.0,0,2,0,0,0,0,5,7,WashingtonWizards
WashingtonWizards,118,47,37,61,9,25,17,24,32,240,53.5,0.0,14,33,18,9,8,15,25,147,WashingtonWizards
