PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ScottieBarnes,23,4,8,10,1,5,4,8,8,34,51.7,50.0,1,3,3,1,2,2,-19,25,TorontoRaptors
JakobPoeltl,15,8,7,7,0,0,1,2,0,25,43.8,100.0,2,6,3,2,1,4,-12,22,TorontoRaptors
PascalSiakam,15,5,3,8,2,3,3,4,4,34,75.0,0,0,5,1,2,0,1,-9,18,TorontoRaptors
MalachiFlynn,11,4,1,2,2,2,3,4,1,19,44.4,0,0,4,2,0,1,4,-3,13,TorontoRaptors
PreciousAchiuwa,9,2,4,5,0,2,1,2,5,17,85.7,100.0,0,2,0,0,0,1,-9,12,TorontoRaptors
GaryTrentJr.,8,2,1,3,2,5,0,0,3,20,33.3,0,0,2,1,0,0,1,-11,7,TorontoRaptors
ChrisBoucher,7,3,1,1,1,3,2,5,0,15,100.0,0,0,3,1,1,2,1,-7,7,TorontoRaptors
OguguaAnunoby,7,2,2,4,1,4,0,0,4,33,100.0,0,0,2,2,0,0,0,-19,6,TorontoRaptors
DennisSchroder,6,2,3,5,0,2,0,0,4,31,0.0,0,0,2,1,2,0,5,-20,9,TorontoRaptors
GradeyDick,3,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,1,1,TorontoRaptors
GarrettTemple,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,TorontoRaptors
ThaddeusYoung,0,0,0,0,0,0,0,0,0,3,51.5,0,0,0,0,0,0,0,1,0,TorontoRaptors
JalenMcDaniels,0,0,0,1,0,2,0,0,0,3,0.0,0,0,0,0,0,0,0,1,-3,TorontoRaptors
TorontoRaptors,104,36,30,46,10,31,14,25,30,240,51.9,0,6,30,14,8,6,19,-105,118,TorontoRaptors
TraeYoung,38,5,8,14,7,15,1,2,11,36,51.7,50.0,1,4,8,1,0,2,14,32,AtlantaHawks
BogdanBogdanovic,20,3,4,9,3,7,3,3,6,33,43.8,100.0,0,3,0,0,0,2,21,20,AtlantaHawks
ClintCapela,18,15,9,12,0,0,0,0,0,35,75.0,0,6,9,1,0,3,2,20,32,AtlantaHawks
DejounteMurray,17,7,7,12,1,6,0,0,9,33,44.4,0,1,6,1,1,0,3,18,23,AtlantaHawks
OnyekaOkongwu,14,11,5,5,1,2,1,1,0,33,85.7,100.0,4,7,1,0,1,3,14,24,AtlantaHawks
SaddiqBey,10,10,2,4,2,8,0,0,4,37,33.3,0,3,7,1,0,0,3,24,15,AtlantaHawks
GarrisonMathews,6,1,0,0,2,2,0,0,0,18,100.0,0,0,1,0,1,0,2,1,8,AtlantaHawks
SethLundy,2,0,1,1,0,0,0,0,0,1,100.0,0,0,0,0,0,0,1,-3,2,AtlantaHawks
TrentForrest,0,3,0,3,0,1,0,0,4,11,0.0,0,1,2,0,1,0,1,2,4,AtlantaHawks
BrunoFernando,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3,0,AtlantaHawks
PattyMills,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3,0,AtlantaHawks
AtlantaHawks,125,58,36,60,16,41,5,6,34,240,51.5,0,18,40,15,4,4,19,105,160,AtlantaHawks
