PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ScottieBarnes,31,7,9,12,2,6,7,9,6,37,61.1,77.8,1,6,6,3,3,1,-3,35,TorontoRaptors
R.J.Barrett,17,4,5,10,1,6,4,5,6,35,37.5,80.0,0,4,1,1,0,2,-5,16,TorontoRaptors
BruceBrown,15,7,6,7,1,3,0,0,1,25,70.0,0.0,2,5,0,1,0,4,11,21,TorontoRaptors
ImmanuelQuickley,12,3,2,3,2,7,2,2,3,35,40.0,100.0,0,3,2,1,0,2,-17,11,TorontoRaptors
JontayPorter,10,4,1,1,2,5,2,2,4,20,50.0,100.0,1,3,1,1,2,2,7,17,TorontoRaptors
DennisSchroder,7,0,2,3,1,4,0,0,5,26,42.9,0.0,0,0,0,0,0,1,4,8,TorontoRaptors
ChrisBoucher,6,9,1,1,1,3,1,2,2,18,50.0,50.0,2,7,2,0,0,1,13,12,TorontoRaptors
ThaddeusYoung,6,2,3,4,0,0,0,0,2,15,75.0,0.0,1,1,0,0,0,2,-19,9,TorontoRaptors
GaryTrentJr.,6,2,3,4,0,4,0,0,2,30,37.5,0.0,0,2,2,0,0,3,-21,3,TorontoRaptors
TorontoRaptors,110,38,32,45,10,38,16,20,31,240,50.6,0.0,7,31,14,7,5,18,-30,132,TorontoRaptors
NikolaVucevic,24,14,12,17,0,3,0,0,7,35,60.0,0.0,5,9,0,2,1,1,23,40,ChicagoBulls
DeMarDerozan,24,7,9,16,0,4,6,7,6,38,45.0,85.7,1,6,2,1,0,2,6,24,ChicagoBulls
CobyWhite,23,8,9,13,1,6,2,3,4,35,52.6,66.7,2,6,2,2,0,2,23,25,ChicagoBulls
PatrickWilliams,12,0,3,6,2,3,0,0,1,23,55.6,0.0,0,0,0,0,0,3,-2,9,ChicagoBulls
AlexCaruso,10,3,2,2,2,4,0,0,4,28,66.7,0.0,0,3,1,2,2,4,3,18,ChicagoBulls
AyoDosunmu,10,1,4,8,0,1,2,2,5,32,44.4,100.0,0,1,0,0,1,2,10,12,ChicagoBulls
ZachLaVine,8,2,2,4,1,3,1,1,3,24,42.9,100.0,0,2,2,0,0,4,-4,7,ChicagoBulls
AndreDrummond,5,4,1,1,0,0,3,4,0,10,100.0,75.0,0,4,1,0,1,1,-12,8,ChicagoBulls
DalenTerry,0,3,0,0,0,0,0,0,0,12,0.0,0.0,1,2,2,0,0,3,-13,1,ChicagoBulls
JevonCarter,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0,0,0,0,0,0,-4,0,ChicagoBulls
ChicagoBulls,116,42,42,67,6,24,14,17,30,240,52.7,0.0,9,33,10,7,5,22,30,144,ChicagoBulls
