PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ScottieBarnes,24,10,8,12,1,3,5,6,10,35,75.0,0.0,2,8,1,1,1,3,1,38,TorontoRaptors
GradeyDick,14,0,1,2,3,6,3,3,1,22,53.8,50.0,0,0,1,0,0,2,-22,10,TorontoRaptors
R.J.Barrett,14,7,5,12,0,2,4,7,1,33,45.5,100.0,2,5,2,1,0,0,-12,9,TorontoRaptors
KellyOlynyk,11,6,3,8,1,2,2,2,3,22,54.5,0,4,2,2,3,1,0,-19,16,TorontoRaptors
ImmanuelQuickley,10,3,2,6,2,4,0,0,4,32,75.0,0,1,2,0,1,0,1,-12,12,TorontoRaptors
OchaiAgbaji,8,2,3,4,0,5,2,3,0,19,62.5,0,0,2,1,0,0,3,-7,2,TorontoRaptors
JakobPoeltl,6,7,3,7,0,0,0,2,1,21,40.0,100.0,3,4,0,0,1,2,-14,9,TorontoRaptors
GaryTrentJr.,6,2,0,2,2,5,0,0,2,23,36.4,100.0,0,2,1,1,0,1,-2,5,TorontoRaptors
BruceBrown,2,2,1,3,0,2,0,0,0,20,66.7,0,0,2,1,0,0,1,-21,-1,TorontoRaptors
JalenMcDaniels,0,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,-3,0,TorontoRaptors
JordanNwora,0,0,0,0,0,1,0,0,0,3,0.0,0,0,0,0,0,0,1,-3,-1,TorontoRaptors
GarrettTemple,0,0,0,0,0,0,0,0,0,3,52.2,0,0,0,1,0,0,0,-3,-1,TorontoRaptors
JontayPorter,0,0,0,0,0,1,0,0,0,3,0.0,0,0,0,0,0,0,0,-3,-1,TorontoRaptors
TorontoRaptors,95,40,26,56,9,31,16,23,22,240,40.2,0,12,28,11,7,3,14,-120,97,TorontoRaptors
JarrettAllen,18,15,9,11,0,1,0,2,2,30,75.0,0.0,6,9,1,0,1,2,4,30,ClevelandCavaliers
EvanMobley,17,11,6,9,1,4,2,4,3,27,53.8,50.0,4,7,2,0,0,3,17,21,ClevelandCavaliers
DonovanMitchell,15,4,2,5,3,6,2,2,6,31,45.5,100.0,1,3,3,2,1,2,6,19,ClevelandCavaliers
MaxStrus,14,2,4,5,2,6,0,0,7,29,54.5,0,1,1,0,0,0,2,0,18,ClevelandCavaliers
CarisLeVert,13,5,5,6,1,2,0,0,5,22,75.0,0,1,4,2,0,1,2,24,20,ClevelandCavaliers
GeorgesNiang,13,1,2,3,3,5,0,0,0,18,62.5,0,0,1,0,0,1,4,4,12,ClevelandCavaliers
IsaacOkoro,12,2,3,5,1,5,3,3,4,27,40.0,100.0,0,2,0,1,0,1,19,13,ClevelandCavaliers
DariusGarland,11,3,3,6,1,5,2,2,8,29,36.4,100.0,1,2,2,1,0,0,14,14,ClevelandCavaliers
SamMerrill,6,0,0,0,2,3,0,0,0,10,66.7,0,0,0,0,0,0,0,3,5,ClevelandCavaliers
DamianJones,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,1,ClevelandCavaliers
DeanWade,0,4,0,1,0,4,0,0,0,14,0.0,0,0,4,0,1,0,2,26,0,ClevelandCavaliers
ClevelandCavaliers,119,47,34,51,14,41,9,13,36,240,52.2,0,14,33,10,5,4,18,120,153,ClevelandCavaliers
