PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ImmanuelQuickley,28,5,5,7,5,11,3,4,9,38,47.8,77.8,0,5,1,2,0,3,-6,34,TorontoRaptors
R.J.Barrett,26,5,5,10,4,6,4,9,6,35,55.0,100.0,0,5,1,0,0,0,-6,24,TorontoRaptors
ScottieBarnes,19,11,9,17,0,5,1,3,7,39,56.3,0,5,6,4,3,1,2,-3,22,TorontoRaptors
JakobPoeltl,16,7,7,12,0,0,2,3,6,29,38.5,100.0,3,4,0,4,2,4,-1,29,TorontoRaptors
KellyOlynyk,13,0,4,8,1,2,2,2,2,18,85.7,100.0,0,0,3,1,0,4,-10,8,TorontoRaptors
GaryTrentJr.,11,4,1,3,2,5,3,4,0,33,100.0,50.0,0,4,0,1,0,1,8,10,TorontoRaptors
GradeyDick,7,3,2,3,1,3,0,0,0,19,50.0,0,0,3,1,0,0,2,-14,6,TorontoRaptors
BruceBrown,5,8,0,3,0,2,5,5,3,21,40.0,0,3,5,0,0,0,2,-12,11,TorontoRaptors
OchaiAgbaji,0,1,0,0,0,1,0,0,1,8,50.0,50.0,1,0,1,0,0,3,-11,0,TorontoRaptors
TorontoRaptors,125,51,33,63,13,35,20,30,34,240,100.0,0,14,37,11,11,3,22,-55,144,TorontoRaptors
LukaDoncic,30,11,10,15,1,8,7,9,16,36,47.8,77.8,1,10,5,2,0,3,11,40,DallasMavericks
KyrieIrving,29,1,9,14,2,6,5,5,3,35,55.0,100.0,0,1,1,2,1,4,0,26,DallasMavericks
P.J.Washington,23,6,4,6,5,10,0,0,0,31,56.3,0,2,4,2,0,3,1,-2,23,DallasMavericks
TimHardawayJr.,16,4,1,3,4,10,2,2,4,25,38.5,100.0,0,4,0,0,0,3,14,16,DallasMavericks
DanielGafford,13,7,6,7,0,0,1,1,1,25,85.7,100.0,4,3,4,1,1,4,11,18,DallasMavericks
DereckLively,9,4,4,4,0,0,1,2,1,23,100.0,50.0,1,3,0,2,5,1,0,20,DallasMavericks
JoshGreen,5,7,1,1,1,3,0,0,1,31,50.0,0,2,5,2,0,0,1,1,9,DallasMavericks
DerrickJones,5,6,1,1,1,4,0,0,1,15,40.0,0,0,6,0,0,0,1,16,9,DallasMavericks
DanteExum,4,3,0,1,1,1,1,2,5,17,50.0,50.0,0,3,0,0,0,2,6,10,DallasMavericks
A.J.Lawson,2,1,1,1,0,0,0,0,0,1,100.0,0,1,0,0,0,0,0,-1,3,DallasMavericks
Olivier-MaxenceProsper,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,-1,-1,DallasMavericks
DallasMavericks,136,54,37,53,15,43,17,21,32,240,54.2,0,13,41,14,7,10,20,55,173,DallasMavericks
