PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ScottieBarnes,30,10,12,16,1,5,3,4,5,33,56.5,66.7,1,9,3,0,1,0,-4,34,TorontoRaptors
PascalSiakam,18,5,6,11,1,5,3,5,1,36,40.9,0,1,4,1,0,0,2,-17,12,TorontoRaptors
PreciousAchiuwa,13,5,5,8,1,2,0,1,1,25,66.7,0,4,1,1,1,1,2,6,15,TorontoRaptors
GaryTrentJr.,12,3,3,4,1,5,3,3,4,29,38.5,0,0,3,1,0,0,0,-11,13,TorontoRaptors
OguguaAnunoby,9,1,3,5,1,4,0,0,3,40,83.3,0,0,1,1,0,0,2,-5,7,TorontoRaptors
DennisSchroder,7,2,2,6,1,2,0,0,7,31,80.0,0,0,2,2,1,0,2,-17,10,TorontoRaptors
MalachiFlynn,6,3,0,5,2,3,0,0,2,16,50.0,0,0,3,1,1,0,1,7,5,TorontoRaptors
ChrisBoucher,5,7,1,2,1,1,0,0,0,12,42.9,50.0,2,5,1,0,1,1,8,11,TorontoRaptors
JakobPoeltl,4,5,2,5,0,0,0,0,3,19,25.0,0,2,3,1,0,2,2,-12,10,TorontoRaptors
TorontoRaptors,104,45,34,62,9,27,9,13,26,240,0.0,0.0,12,33,12,3,5,12,-45,117,TorontoRaptors
NikolaJokic,31,15,10,18,3,5,2,3,6,38,56.5,66.7,5,10,2,0,2,2,15,41,DenverNuggets
JamalMurray,20,4,7,15,2,7,0,0,6,32,40.9,0,1,3,2,1,2,2,12,18,DenverNuggets
AaronGordon,12,5,6,8,0,1,0,0,2,30,66.7,0,3,2,1,0,0,1,14,15,DenverNuggets
MichaelPorter,12,6,3,6,2,7,0,0,2,33,38.5,0,1,5,0,1,0,1,10,13,DenverNuggets
PeytonWatson,11,4,4,5,1,1,0,0,1,18,83.3,0,1,3,0,1,1,1,-5,17,DenverNuggets
KentaviousCaldwell-Pope,10,2,2,2,2,3,0,0,3,32,80.0,0,0,2,0,3,1,2,15,18,DenverNuggets
JulianStrawther,7,1,2,2,1,4,0,0,2,14,50.0,0,0,1,0,2,0,2,1,9,DenverNuggets
ReggieJackson,7,2,3,4,0,3,1,2,4,17,42.9,50.0,1,1,1,0,0,1,-5,7,DenverNuggets
ChristianBraun,3,3,0,2,1,2,0,0,2,17,25.0,0,1,2,0,1,0,0,-6,6,DenverNuggets
ZekeNnaji,0,3,0,3,0,0,0,2,1,10,0.0,0.0,2,1,2,1,2,1,-6,0,DenverNuggets
DenverNuggets,113,47,37,65,12,33,3,7,29,240,50.0,0,16,31,9,10,8,13,45,144,DenverNuggets
