PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ScottieBarnes,23,5,8,16,1,5,4,5,4,35,57.1,100.0,1,4,1,1,0,1,-13,19,TorontoRaptors
R.J.Barrett,22,6,9,17,0,2,4,8,4,36,40.0,85.7,2,4,3,1,0,1,-27,16,TorontoRaptors
DennisSchroder,13,4,3,5,1,4,4,5,5,28,50.0,100.0,0,4,1,2,1,2,4,18,TorontoRaptors
GaryTrentJr.,13,1,2,5,3,8,0,0,3,29,46.2,75.0,0,1,0,0,0,1,-12,9,TorontoRaptors
ThaddeusYoung,12,6,6,6,0,0,0,2,4,24,53.8,0,4,2,0,1,1,3,-15,22,TorontoRaptors
BruceBrown,9,9,3,6,1,2,0,0,2,32,50.0,0,2,7,3,0,1,3,-9,14,TorontoRaptors
ChrisBoucher,9,5,4,5,0,3,1,2,0,17,75.0,0,3,2,0,0,0,1,-4,9,TorontoRaptors
GradeyDick,6,4,3,4,0,3,0,0,2,21,50.0,0,1,3,0,1,0,3,-3,9,TorontoRaptors
JontayPorter,0,3,0,0,0,0,0,0,1,4,50.0,100.0,0,3,0,0,0,1,-3,4,TorontoRaptors
JavonFreeman-Liberty,0,0,0,0,0,0,0,0,0,2,100.0,0,0,0,0,0,0,0,-4,0,TorontoRaptors
KiraLewis,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,1,-4,0,TorontoRaptors
GarrettTemple,0,1,0,0,0,1,0,0,0,2,50.5,0,1,0,1,0,0,0,-4,-1,TorontoRaptors
JalenMcDaniels,0,0,0,0,0,1,0,0,0,2,0.0,0,0,0,0,0,0,0,-4,-1,TorontoRaptors
JordanNwora,0,1,0,0,0,3,0,0,1,8,0.0,0,1,0,2,0,0,1,-2,-3,TorontoRaptors
TorontoRaptors,107,45,38,64,6,32,13,22,26,240,45.8,0,15,30,11,6,3,18,-100,115,TorontoRaptors
JamesHarden,22,10,6,7,2,7,4,4,13,35,57.1,100.0,0,10,1,1,1,3,27,40,LAClippers
PaulGeorge,21,2,3,6,3,9,6,7,1,28,40.0,85.7,0,2,2,1,2,0,13,15,LAClippers
RussellWestbrook,20,5,7,12,0,2,6,6,3,26,50.0,100.0,3,2,0,2,2,3,-2,25,LAClippers
NormanPowell,17,4,4,6,2,7,3,4,0,26,46.2,75.0,0,4,2,1,0,2,-2,12,LAClippers
KawhiLeonard,16,7,5,9,2,4,0,0,3,31,53.8,0,1,6,1,1,2,0,11,22,LAClippers
MasonPlumlee,12,12,6,12,0,0,0,0,3,25,50.0,0,4,8,1,0,0,1,19,20,LAClippers
DanielTheis,6,4,3,4,0,0,0,0,1,18,75.0,0,2,2,2,0,0,1,6,8,LAClippers
TeranceMann,6,3,3,5,0,1,0,0,2,29,50.0,0,1,2,0,0,0,1,20,8,LAClippers
AmirCoffey,5,2,1,1,0,1,3,3,2,19,50.0,100.0,0,2,1,0,0,6,0,7,LAClippers
B.J.Boston,2,1,1,1,0,0,0,0,0,2,100.0,0,1,0,0,0,0,0,4,3,LAClippers
BonesHyland,0,0,0,0,0,1,0,0,1,2,0.0,0,0,0,0,0,0,0,4,0,LAClippers
LAClippers,127,50,39,63,9,32,22,24,29,240,50.5,0,12,38,10,6,7,17,100,160,LAClippers
