PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
GaryTrentJr.,28,2,2,4,8,9,0,0,0,31,54.5,80.0,0,2,0,1,0,1,14,28,TorontoRaptors
R.J.Barrett,26,8,8,11,1,3,7,13,3,36,53.8,66.7,3,5,0,0,0,1,20,26,TorontoRaptors
ScottieBarnes,20,5,8,10,1,6,1,1,8,34,35.0,0,2,3,5,2,1,2,5,24,TorontoRaptors
ImmanuelQuickley,17,8,3,10,3,6,2,2,9,30,54.5,0,1,7,2,0,0,1,-2,22,TorontoRaptors
DennisSchroder,9,1,0,1,3,5,0,0,6,27,80.0,100.0,0,1,1,1,0,1,31,13,TorontoRaptors
GradeyDick,6,0,0,0,2,2,0,0,4,12,44.4,50.0,0,0,2,2,0,2,14,10,TorontoRaptors
JontayPorter,6,4,0,3,2,4,0,0,2,18,28.6,0,2,2,0,0,2,3,1,9,TorontoRaptors
ThaddeusYoung,5,8,2,6,0,0,1,2,2,28,22.2,0,2,6,0,1,0,3,21,11,TorontoRaptors
ChrisBoucher,2,7,1,2,0,1,0,0,0,18,50.0,0,2,5,0,0,1,0,20,8,TorontoRaptors
JavonFreeman-Liberty,2,1,1,3,0,0,0,0,0,2,100.0,0,1,0,0,0,0,0,-3,1,TorontoRaptors
GarrettTemple,0,1,0,0,0,1,0,0,0,2,50.0,0,0,1,0,1,0,0,-3,1,TorontoRaptors
JalenMcDaniels,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,TorontoRaptors
TorontoRaptors,121,45,25,50,20,38,11,18,34,240,45.6,0,13,32,10,9,4,14,120,153,TorontoRaptors
JimmyButler,16,5,6,11,0,0,4,5,5,31,54.5,80.0,2,3,1,2,0,0,-8,21,MiamiHeat
BamAdebayo,16,5,7,13,0,0,2,3,4,36,53.8,66.7,1,4,2,1,0,3,-23,17,MiamiHeat
TylerHerro,16,7,5,11,2,9,0,0,3,32,35.0,0,1,6,3,0,0,2,-8,10,MiamiHeat
DuncanRobinson,14,3,4,6,2,5,0,0,1,21,54.5,0,1,2,2,0,0,0,-18,11,MiamiHeat
CalebMartin,10,3,4,5,0,0,2,2,5,26,80.0,100.0,1,2,1,0,0,1,-22,16,MiamiHeat
NikolaJovic,10,7,3,7,1,2,1,2,2,21,44.4,50.0,3,4,2,0,1,1,6,12,MiamiHeat
JoshRichardson,5,1,1,3,1,4,0,0,0,23,28.6,0,0,1,1,1,2,3,-24,3,MiamiHeat
KyleLowry,4,2,2,3,0,6,0,0,3,29,22.2,0,1,1,1,0,1,2,-7,2,MiamiHeat
HaywoodHighsmith,2,3,1,1,0,1,0,0,0,12,50.0,0,2,1,0,0,1,0,-19,5,MiamiHeat
ThomasBryant,2,0,1,1,0,0,0,0,0,4,100.0,0,0,0,0,0,0,1,-3,2,MiamiHeat
ColeSwider,2,0,1,1,0,1,0,0,0,2,50.0,0,0,0,1,0,0,0,3,0,MiamiHeat
OrlandoRobinson,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,3,2,MiamiHeat
MiamiHeat,97,37,35,62,6,28,9,12,24,240,45.6,0,12,25,14,4,5,13,-120,101,MiamiHeat
