PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
GradeyDick,18,2,3,5,4,5,0,0,0,22,71.4,83.3,1,1,1,0,0,1,-12,16,TorontoRaptors
KellyOlynyk,17,5,5,6,1,4,4,4,2,21,60.0,100.0,0,5,1,3,0,3,-20,22,TorontoRaptors
R.J.Barrett,13,5,6,8,0,2,1,2,2,24,58.3,100.0,2,3,4,1,0,3,-30,12,TorontoRaptors
BruceBrown,12,5,4,6,1,2,1,1,4,31,50.0,80.0,1,4,1,1,0,1,-14,18,TorontoRaptors
JakobPoeltl,12,6,5,10,0,0,2,2,1,20,60.0,75.0,3,3,0,0,0,2,-5,14,TorontoRaptors
ScottieBarnes,7,9,2,12,1,3,0,1,9,30,33.3,100.0,5,4,5,1,1,3,-6,9,TorontoRaptors
ImmanuelQuickley,7,3,1,3,1,9,2,2,3,26,50.0,0,0,3,3,1,1,2,-24,2,TorontoRaptors
GaryTrentJr.,4,1,2,7,0,0,0,0,0,22,40.0,100.0,0,1,2,2,0,1,-19,0,TorontoRaptors
JordanNwora,3,3,0,1,0,1,3,4,1,7,50.0,0,0,3,0,1,0,1,5,5,TorontoRaptors
MouhamadouGueye,2,3,1,3,0,0,0,0,0,6,50.0,0.0,2,1,0,0,2,1,4,5,TorontoRaptors
JontayPorter,2,2,1,1,0,1,0,0,1,7,33.3,0,0,2,1,0,0,2,2,3,TorontoRaptors
OchaiAgbaji,2,2,1,5,0,3,0,0,1,18,0.0,0,2,0,1,1,0,0,0,-2,TorontoRaptors
JalenMcDaniels,0,1,0,0,0,1,0,0,1,6,52.9,0,0,1,0,0,0,0,4,1,TorontoRaptors
TorontoRaptors,99,47,31,67,8,31,13,16,25,240,39.8,0,16,31,19,11,4,20,-115,105,TorontoRaptors
VictorWembanyama,27,14,8,10,2,4,5,6,5,29,71.4,83.3,2,12,7,2,10,2,20,46,SanAntonioSpurs
DevinVassell,25,3,4,8,5,7,2,2,6,27,60.0,100.0,1,2,0,1,0,1,17,29,SanAntonioSpurs
JeremySochan,16,6,7,10,0,2,2,2,0,30,58.3,100.0,0,6,2,1,2,2,13,18,SanAntonioSpurs
KeldonJohnson,12,4,4,6,0,2,4,5,6,28,50.0,80.0,0,4,0,3,1,1,27,21,SanAntonioSpurs
BlakeWesley,10,2,2,4,1,1,3,4,2,20,60.0,75.0,0,2,4,1,0,1,1,8,SanAntonioSpurs
MalakiBranham,10,0,3,8,1,4,1,1,3,21,33.3,100.0,0,0,0,0,0,1,9,5,SanAntonioSpurs
TreJones,7,7,2,4,1,2,0,0,10,28,50.0,0,0,7,1,1,0,1,22,21,SanAntonioSpurs
ZachCollins,6,2,2,4,0,1,2,2,3,19,40.0,100.0,1,1,0,1,0,2,3,9,SanAntonioSpurs
CediOsman,5,3,1,1,1,3,0,0,2,15,50.0,0,0,3,2,2,0,2,11,8,SanAntonioSpurs
SandroMamukelashvili,2,2,1,1,0,1,0,1,0,6,50.0,0.0,1,1,0,0,0,1,-4,2,SanAntonioSpurs
JulianChampagnie,2,1,1,1,0,2,0,0,0,10,33.3,0,0,1,1,0,0,0,0,0,SanAntonioSpurs
DevonteGraham,0,2,0,0,0,1,0,0,0,6,0.0,0,0,2,0,0,0,0,-4,1,SanAntonioSpurs
SanAntonioSpurs,122,46,35,57,11,30,19,23,37,240,52.9,0,5,41,17,12,13,14,115,168,SanAntonioSpurs
