PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TalenHorton-Tucker,27,3,6,12,5,7,0,0,6,31,52.2,100.0,0,3,1,2,0,2,18,29,UtahJazz
CollinSexton,27,3,3,10,3,7,12,13,6,35,46.7,66.7,1,2,2,0,0,3,18,22,UtahJazz
LauriMarkkanen,20,10,5,9,1,5,7,7,4,29,25.0,40.0,1,9,2,0,1,1,15,25,UtahJazz
WalkerKessler,14,14,6,8,0,0,2,4,0,32,80.0,75.0,3,11,1,0,5,1,9,28,UtahJazz
OchaiAgbaji,13,3,5,5,1,5,0,0,2,23,22.2,100.0,1,2,2,1,1,1,13,14,UtahJazz
JohnCollins,11,3,1,5,3,4,0,0,0,20,60.0,0.0,1,2,4,0,1,2,5,6,UtahJazz
LukaSamanic,5,1,1,1,1,1,0,0,0,2,28.6,0,0,1,0,0,0,1,-2,6,UtahJazz
KrisDunn,4,3,2,2,0,0,0,0,5,16,33.3,0,2,1,0,0,0,1,6,12,UtahJazz
KellyOlynyk,2,5,1,1,0,1,0,0,3,20,66.7,0,1,4,0,1,0,4,2,10,UtahJazz
SimoneFontecchio,2,4,1,4,0,3,0,0,3,25,100.0,100.0,2,2,1,2,0,3,9,4,UtahJazz
TaylorHendricks,0,2,0,0,0,1,0,0,1,7,0,0,0,2,1,0,0,1,-8,1,UtahJazz
UtahJazz,125,56,31,57,14,34,21,24,30,240,43.3,0,14,42,16,6,8,20,85,157,UtahJazz
CamThomas,32,4,7,16,5,7,3,3,3,37,52.2,100.0,2,2,3,1,1,1,-17,27,BrooklynNets
SpencerDinwiddie,17,8,6,9,1,6,2,3,11,36,46.7,66.7,1,7,1,0,2,0,-16,28,BrooklynNets
MikalBridges,13,1,1,8,3,8,2,5,5,35,25.0,40.0,0,1,2,0,0,3,-19,2,BrooklynNets
NicClaxton,11,7,4,5,0,0,3,4,0,26,80.0,75.0,2,5,3,0,3,3,-18,16,BrooklynNets
CameronJohnson,7,5,1,4,1,5,2,2,1,27,22.2,100.0,1,4,1,1,0,1,-6,6,BrooklynNets
Day&#039;RonSharpe,6,5,3,5,0,0,0,1,0,16,60.0,0.0,3,2,1,0,1,1,6,8,BrooklynNets
DorianFinney-Smith,6,2,0,2,2,5,0,0,3,21,28.6,0,2,0,0,1,0,4,-7,7,BrooklynNets
RoyceO&#039;Neale,6,1,0,0,2,6,0,0,1,23,33.3,0,0,1,1,1,0,2,-11,4,BrooklynNets
TrendonWatford,5,3,1,2,1,1,0,0,1,7,66.7,0,0,3,0,0,1,0,-1,9,BrooklynNets
JalenWilson,5,0,0,0,1,1,2,2,0,8,100.0,100.0,0,0,1,0,0,2,4,4,BrooklynNets
HarryGiles,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,BrooklynNets
BrooklynNets,108,42,23,51,16,39,14,20,25,240,43.3,0,13,29,13,4,8,17,-85,111,BrooklynNets
