PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JordanClarkson,36,6,7,15,4,5,10,11,3,38,50.0,100.0,1,5,5,1,0,1,5,31,UtahJazz
LauriMarkkanen,31,7,6,10,4,8,7,8,0,38,57.1,80.0,2,5,1,0,1,1,12,29,UtahJazz
CollinSexton,25,2,6,12,1,2,10,10,5,30,52.9,80.0,1,1,0,1,0,5,2,26,UtahJazz
JohnCollins,17,4,5,7,2,6,1,2,3,24,85.7,100.0,4,0,2,0,0,3,-12,15,UtahJazz
SimoneFontecchio,16,7,3,7,3,4,1,1,4,35,50.0,50.0,2,5,0,2,0,2,13,24,UtahJazz
KellyOlynyk,9,5,3,4,0,1,3,3,4,20,57.1,100.0,2,3,2,1,0,3,0,15,UtahJazz
WalkerKessler,8,8,4,6,0,0,0,0,1,29,57.1,0,3,5,0,0,6,4,15,21,UtahJazz
KeyonteGeorge,5,2,1,5,1,4,0,0,2,23,40.0,0,0,2,1,1,0,1,4,2,UtahJazz
KrisDunn,4,1,2,5,0,1,0,0,4,16,33.3,0,0,1,0,3,1,0,-3,9,UtahJazz
OchaiAgbaji,3,1,0,0,1,1,0,0,2,13,25.0,0.0,0,1,1,2,0,2,-6,7,UtahJazz
UtahJazz,154,46,37,71,16,32,32,35,28,265,53.3,0,17,29,13,11,8,22,30,179,UtahJazz
BojanBogdanovic,36,7,5,11,8,15,2,2,5,43,50.0,100.0,1,6,1,1,0,6,-5,35,DetroitPistons
CadeCunningham,31,5,9,14,3,7,4,5,12,40,57.1,80.0,0,5,6,1,0,5,-13,33,DetroitPistons
AlecBurks,27,4,4,8,5,9,4,5,1,34,52.9,80.0,0,4,2,0,0,4,-12,21,DetroitPistons
JalenDuren,17,10,6,7,0,0,5,5,3,36,85.7,100.0,4,6,2,0,1,0,-14,28,DetroitPistons
JadenIvey,11,1,2,5,2,3,1,2,2,22,50.0,50.0,0,1,2,0,0,2,0,7,DetroitPistons
IsaiahLivers,10,4,3,3,1,4,1,1,1,36,57.1,100.0,3,1,1,2,0,4,-13,13,DetroitPistons
JamesWiseman,8,9,4,7,0,0,0,0,0,17,57.1,0,5,4,3,0,0,1,11,11,DetroitPistons
KevinKnox,4,1,2,3,0,2,0,0,2,13,40.0,0,1,0,0,0,0,1,6,4,DetroitPistons
KillianHayes,2,4,1,3,0,0,0,0,6,13,33.3,0,0,4,0,0,1,2,4,11,DetroitPistons
AusarThompson,2,3,1,3,0,1,0,2,1,11,25.0,0.0,2,1,0,1,1,2,6,3,DetroitPistons
DetroitPistons,148,50,37,64,19,41,17,22,33,265,53.3,0,18,32,17,5,3,27,-30,166,DetroitPistons
